X,CH1
0,-6.00E-2
1,-2.40E-2
2,-6.00E-2
3,-2.40E-2
4,-6.00E-2
5,-2.40E-2
6,-2.40E-2
7,-6.00E-2
8,-6.00E-2
9,-2.40E-2
10,-2.40E-2
11,-7.20E-2
12,-6.00E-2
13,-2.40E-2
14,-6.00E-2
15,-2.40E-2
16,-6.00E-2
17,-2.40E-2
18,-6.00E-2
19,-2.40E-2
20,-6.00E-2
21,-2.40E-2
22,-2.40E-2
23,-7.20E-2
24,-6.00E-2
25,-2.40E-2
26,-6.00E-2
27,-2.40E-2
28,-6.00E-2
29,-2.40E-2
30,-6.00E-2
31,-2.40E-2
32,-6.00E-2
33,-2.40E-2
34,-6.00E-2
35,-2.40E-2
36,-6.00E-2
37,-2.40E-2
38,-6.00E-2
39,-2.40E-2
40,-2.40E-2
41,-6.00E-2
42,-6.00E-2
43,-2.40E-2
44,-6.00E-2
45,-2.40E-2
46,-2.40E-2
47,-7.20E-2
48,-6.00E-2
49,-2.40E-2
50,-6.00E-2
51,-2.40E-2
52,-6.00E-2
53,-2.40E-2
54,-6.00E-2
55,-2.40E-2
56,-6.00E-2
57,-2.40E-2
58,-6.00E-2
59,-2.40E-2
60,-2.40E-2
61,-6.00E-2
62,-6.00E-2
63,-2.40E-2
64,-6.00E-2
65,-2.40E-2
66,-6.00E-2
67,-2.40E-2
68,-2.40E-2
69,-6.00E-2
70,-2.40E-2
71,-6.00E-2
72,-6.00E-2
73,-2.40E-2
74,-2.40E-2
75,-6.00E-2
76,-2.40E-2
77,-7.20E-2
78,-6.00E-2
79,-2.40E-2
80,-6.00E-2
81,-2.40E-2
82,-6.00E-2
83,-2.40E-2
84,-6.00E-2
85,-2.40E-2
86,-6.00E-2
87,-2.40E-2
88,-6.00E-2
89,-2.40E-2
90,-6.00E-2
91,-2.40E-2
92,-6.00E-2
93,-2.40E-2
94,-2.40E-2
95,-6.00E-2
96,-2.40E-2
97,-7.20E-2
98,-2.40E-2
99,-7.20E-2
100,-6.00E-2
101,-2.40E-2
102,-6.00E-2
103,-2.40E-2
104,-6.00E-2
105,-2.40E-2
106,-6.00E-2
107,-2.40E-2
108,-6.00E-2
109,-2.40E-2
110,-6.00E-2
111,-2.40E-2
112,-2.40E-2
113,-6.00E-2
114,-6.00E-2
115,-1.20E-2
116,-2.40E-2
117,-6.00E-2
118,-2.40E-2
119,-6.00E-2
120,-6.00E-2
121,-2.40E-2
122,-6.00E-2
123,-2.40E-2
124,-6.00E-2
125,-2.40E-2
126,-6.00E-2
127,-2.40E-2
128,-6.00E-2
129,-2.40E-2
130,-6.00E-2
131,-2.40E-2
132,-2.40E-2
133,-7.20E-2
134,-6.00E-2
135,-2.40E-2
136,-6.00E-2
137,-1.20E-2
138,-2.40E-2
139,-7.20E-2
140,-6.00E-2
141,-2.40E-2
142,-6.00E-2
143,-2.40E-2
144,-2.40E-2
145,-7.20E-2
146,-6.00E-2
147,-2.40E-2
148,-6.00E-2
149,-2.40E-2
150,-6.00E-2
151,-2.40E-2
152,-6.00E-2
153,-2.40E-2
154,-6.00E-2
155,-2.40E-2
156,-2.40E-2
157,-7.20E-2
158,-6.00E-2
159,-2.40E-2
160,-6.00E-2
161,-2.40E-2
162,-2.40E-2
163,-7.20E-2
164,-6.00E-2
165,-2.40E-2
166,-6.00E-2
167,-2.40E-2
168,-6.00E-2
169,-2.40E-2
170,-6.00E-2
171,-2.40E-2
172,-6.00E-2
173,-2.40E-2
174,-2.40E-2
175,-7.20E-2
176,-6.00E-2
177,-2.40E-2
178,-6.00E-2
179,-2.40E-2
180,-6.00E-2
181,-2.40E-2
182,-6.00E-2
183,-2.40E-2
184,-6.00E-2
185,-2.40E-2
186,-6.00E-2
187,-2.40E-2
188,-6.00E-2
189,-2.40E-2
190,-6.00E-2
191,-2.40E-2
192,-2.40E-2
193,-7.20E-2
194,-6.00E-2
195,-2.40E-2
196,-6.00E-2
197,-2.40E-2
198,-6.00E-2
199,-2.40E-2
200,-2.40E-2
201,-7.20E-2
202,-6.00E-2
203,-2.40E-2
204,-6.00E-2
205,-2.40E-2
206,-2.40E-2
207,-7.20E-2
