X,CH1
336,-2.40E-2
337,4.00E-3
338,-2.40E-2
339,0.00E+0
340,-2.40E-2
341,4.00E-3
342,0.00E+0
343,-2.40E-2
344,0.00E+0
345,-2.40E-2
346,-2.40E-2
347,4.00E-3
348,-2.40E-2
349,0.00E+0
350,-2.40E-2
351,4.00E-3
352,-2.40E-2
353,4.00E-3
354,-2.40E-2
355,4.00E-3
356,-2.40E-2
357,4.00E-3
358,-2.40E-2
359,4.00E-3
360,-2.40E-2
361,4.00E-3
362,-2.40E-2
363,4.00E-3
364,0.00E+0
365,-2.40E-2
366,-2.40E-2
367,4.00E-3
368,-2.40E-2
369,0.00E+0
370,-2.40E-2
371,4.00E-3
372,-2.40E-2
373,4.00E-3
374,0.00E+0
375,-2.40E-2
376,-2.40E-2
377,4.00E-3
378,-2.40E-2
379,4.00E-3
380,-2.40E-2
381,0.00E+0
382,-2.40E-2
383,4.00E-3
384,0.00E+0
385,-2.40E-2
386,-2.40E-2
387,4.00E-3
388,-2.40E-2
389,4.00E-3
390,-2.40E-2
391,4.00E-3
392,-2.40E-2
393,4.00E-3
394,0.00E+0
395,-2.40E-2
396,-2.40E-2
397,4.00E-3
398,-2.40E-2
399,4.00E-3
400,-2.40E-2
401,4.00E-3
402,-2.40E-2
403,0.00E+0
404,4.00E-3
405,-2.80E-2
406,-2.40E-2
407,4.00E-3
408,-2.40E-2
409,4.00E-3
410,0.00E+0
411,-2.40E-2
412,-2.40E-2
413,0.00E+0
414,0.00E+0
415,-2.40E-2
416,0.00E+0
417,-2.40E-2
418,-2.40E-2
419,0.00E+0
420,-2.40E-2
421,4.00E-3
422,-2.40E-2
423,4.00E-3
424,-2.80E-2
425,4.00E-3
426,-2.40E-2
427,4.00E-3
428,-2.40E-2
429,0.00E+0
430,-2.40E-2
431,0.00E+0
432,-2.40E-2
433,4.00E-3
434,4.00E-3
435,-2.40E-2
436,-2.40E-2
437,0.00E+0
438,-2.40E-2
439,0.00E+0
440,-2.40E-2
441,0.00E+0
442,-2.40E-2
443,4.00E-3
444,0.00E+0
445,-2.40E-2
446,-2.40E-2
447,4.00E-3
448,-2.40E-2
449,4.00E-3
450,-2.40E-2
451,4.00E-3
452,0.00E+0
453,-2.40E-2
454,-2.40E-2
455,4.00E-3
456,0.00E+0
457,-2.40E-2
458,-2.40E-2
459,0.00E+0
460,-2.40E-2
461,0.00E+0
