U,I_1,I_2,I_3,I_4,I_5,I_6,I_7
83.52066829362087,0.2656032146348422,0.1801579177202619,0.1801579177202619,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.05198997234839148
83.64021665113665,0.36813757093233856,0.12889073957151373,0.12889073957151373,0.19724697710317796,0.1801579177202619,0.12889073957151373,0.15452432864588783
83.75976500865244,0.36813757093233856,0.1801579177202619,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.1801579177202619,0.12889073957151373
83.87931336616825,0.28269227401775826,0.12889073957151373,0.19724697710317796,0.19724697710317796,0.12889073957151373,0.12889073957151373,0.05198997234839148
83.99886172368403,0.3339594521665064,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373
84.11841008119981,0.4108602193896287,0.1801579177202619,0.1801579177202619,0.19724697710317796,0.1801579177202619,0.1801579177202619,0.05198997234839148
84.2379584387156,0.35959304124088054,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.12889073957151373,0.05198997234839148
84.3575067962314,0.43649380846400276,0.1801579177202619,0.19724697710317796,0.19724697710317796,0.11180168018859767,0.1801579177202619,0.12889073957151373
84.47705515374719,0.39377116000671264,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.12889073957151373
84.59660351126297,0.4706719272298349,0.1801579177202619,0.1801579177202619,0.19724697710317796,0.1801579177202619,0.12889073957151373,0.05198997234839148
84.71615186877875,0.4194047490810867,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.1801579177202619,0.12889073957151373,0.05198997234839148
84.83570022629456,0.5048500459956671,0.1801579177202619,0.1801579177202619,0.12889073957151373,0.11180168018859767,0.1801579177202619,0.12889073957151373
84.95524858381035,0.4621273975383769,0.12889073957151373,0.1801579177202619,0.1801579177202619,0.19724697710317796,0.12889073957151373,0.12889073957151373
85.07479694132613,0.5475726944529571,0.1801579177202619,0.11180168018859767,0.12889073957151373,0.11180168018859767,0.1801579177202619,0.05198997234839148
85.19434529884191,0.4877609866127509,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.12889073957151373,0.12889073957151373,0.12889073957151373
85.31389365635769,0.5988398726017053,0.1801579177202619,0.1801579177202619,0.12889073957151373,0.1801579177202619,0.19724697710317796,0.05198997234839148
85.4334420138735,0.513394575687125,0.12889073957151373,0.1801579177202619,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373
85.55299037138928,0.6159289319846214,0.1801579177202619,0.12889073957151373,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.026356383274017403
85.67253872890507,0.5646617538358731,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.05198997234839148
85.79208708642085,0.6330179913675374,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.12889073957151373
85.91163544393666,0.5902953429102473,0.12889073957151373,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.12889073957151373,0.05198997234839148
86.03118380145244,0.6842851695162856,0.1801579177202619,0.11180168018859767,0.12889073957151373,0.11180168018859767,0.1801579177202619,0.12889073957151373
86.15073215896822,0.6159289319846214,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.05198997234839148
86.27028051648401,0.7013742288992016,0.1801579177202619,0.19724697710317796,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.12889073957151373
86.38982887399979,0.6330179913675374,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.12889073957151373,0.12889073957151373,0.05198997234839148
86.5093772315156,0.7355523476650339,0.1801579177202619,0.1801579177202619,0.12889073957151373,0.1801579177202619,0.1801579177202619,0.12889073957151373
86.62892558903138,0.6671961101333697,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.1801579177202619,0.05198997234839148
86.74847394654716,0.7611859367394079,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.11180168018859767,0.11180168018859767,0.12889073957151373
86.86802230406295,0.7013742288992016,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.05198997234839148
86.98757066157876,0.769730466430866,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.11180168018859767,0.12889073957151373
87.10711901909454,0.7184632882821178,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.05198997234839148
87.22666737661032,0.7868195258137819,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.12889073957151373
87.3462157341261,0.7953640555052399,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.05198997234839148
87.46576409164192,0.7355523476650339,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.11180168018859767,0.12889073957151373
87.5853124491577,0.7440968773564919,0.12889073957151373,0.1801579177202619,0.1801579177202619,0.12889073957151373,0.12889073957151373,0.05198997234839148
87.70486080667348,0.8124531148881561,0.1801579177202619,0.11180168018859767,0.12889073957151373,0.1801579177202619,0.1801579177202619,0.12889073957151373
87.82440916418926,0.7611859367394079,0.11180168018859767,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.1801579177202619,0.05198997234839148
87.94395752170504,0.8209976445796141,0.19724697710317796,0.1801579177202619,0.19724697710317796,0.12889073957151373,0.12889073957151373,0.12889073957151373
88.06350587922086,0.769730466430866,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.05198997234839148
88.18305423673664,0.8295421742710721,0.19724697710317796,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.12889073957151373
88.30260259425242,0.8209976445796141,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.12889073957151373,0.05198997234839148
88.4221509517682,0.769730466430866,0.1801579177202619,0.1801579177202619,0.1801579177202619,0.19724697710317796,0.1801579177202619,0.12889073957151373
88.54169930928401,0.778274996122324,0.12889073957151373,0.12889073957151373,0.1801579177202619,0.12889073957151373,0.1801579177202619,0.12889073957151373
88.6612476667998,0.8295421742710721,0.1801579177202619,0.1801579177202619,0.12889073957151373,0.1801579177202619,0.11180168018859767,0.026356383274017403
