t,R1,R2,R3,R4
0.000000,26.444576,26.713388,26.714788,25.931266
1.422833,26.967388,27.019611,26.813948,25.988070
2.845148,27.499435,27.329858,26.924306,26.067786
4.268783,28.042653,27.636773,27.058545,26.137808
5.687971,28.534416,27.942846,27.172990,26.218381
7.113721,28.979297,28.224592,27.300042,26.296192
8.531612,29.398222,28.478256,27.366934,26.343614
9.956034,29.763936,28.708092,27.469685,26.385429
11.371069,30.187870,29.001567,27.597695,26.453515
12.797161,30.561653,29.219887,27.671867,26.539067
14.220438,30.909993,29.445813,27.788675,26.609488
15.635570,31.207706,29.618772,27.835643,26.625308
17.059417,31.520018,29.825973,27.908668,26.677056
18.479600,31.806431,29.991073,28.001381,26.716357
19.898428,32.088396,30.185171,28.043703,26.756926
21.308702,32.345656,30.356402,28.132437,26.804386
22.733502,32.596277,30.543721,28.224360,26.868114
24.157358,32.855802,30.690995,28.290043,26.907867
25.581134,33.100203,30.875898,28.340582,26.960418
27.001841,33.311959,31.018809,28.412657,26.989338
28.425986,33.479280,31.107872,28.432940,26.985901
29.842949,33.702164,31.255593,28.498750,27.023937
31.270488,33.881892,31.391872,28.560990,27.056997
32.693991,34.068398,31.505892,28.614343,27.079284
34.115726,34.230818,31.603130,28.648045,27.095379
35.525130,34.408569,31.771223,28.721470,27.148999
36.939054,34.560141,31.874691,28.781464,27.183089
38.358127,34.707001,31.982676,28.800497,27.196592
39.775126,34.841967,32.037193,28.842368,27.222759
41.182718,35.016033,32.177205,28.903897,27.240224
42.599357,35.113520,32.266036,28.947359,27.258206
44.017994,35.260649,32.336558,28.983078,27.263295
45.437762,35.373134,32.436347,29.032026,27.319408
46.862877,35.476253,32.515196,29.082185,27.345984
48.281525,35.617852,32.613872,29.098936,27.363261
49.704979,35.712650,32.648426,29.118887,27.358125
51.129436,35.817709,32.787317,29.208205,27.393732
52.547215,35.893573,32.838316,29.216421,27.425738
53.970826,35.986134,32.895069,29.238793,27.409528
55.387242,36.055538,32.943727,29.265080,27.442437
56.811403,36.181240,33.033392,29.302995,27.470249
58.234356,36.270647,33.113707,29.367227,27.500725
59.662140,36.311855,33.157943,29.359379,27.495175
61.078466,36.415873,33.210159,29.410150,27.510746
62.502494,36.481638,33.270372,29.431869,27.524167
63.919626,36.553084,33.324338,29.426886,27.521027
65.344241,36.619132,33.379318,29.472568,27.548728
66.773397,36.715238,33.416709,29.515828,27.571203
68.188306,36.801424,33.482774,29.521668,27.606872
69.609508,36.850408,33.539450,29.547270,27.594391
71.035033,36.875278,33.560348,29.555356,27.585279
72.451118,36.953161,33.606104,29.580621,27.616702
73.875570,37.049355,33.686400,29.640719,27.639796
75.300481,37.090576,33.752275,29.659850,27.663663
76.714515,37.204246,33.818908,29.702011,27.706929
78.139424,37.255653,33.852741,29.706459,27.709534
79.568181,37.301041,33.905340,29.746528,27.706007
80.983865,37.342267,33.950529,29.771708,27.740139
82.407233,37.395889,33.963618,29.794645,27.745018
83.828390,37.452372,34.018658,29.793608,27.749562
85.252833,37.506691,34.064626,29.823290,27.768198
86.669985,37.513248,34.089150,29.834123,27.774888
88.093655,37.567814,34.133071,29.861744,27.771904
89.515841,37.647135,34.208354,29.889029,27.810479
90.941082,37.648116,34.202910,29.913662,27.802636
92.355916,37.697956,34.243913,29.944833,27.832548
93.779481,37.732762,34.270696,29.948684,27.827572
95.204746,37.776055,34.317510,29.971819,27.850809
96.618894,37.825603,34.350874,29.989728,27.864609
98.027783,37.863973,34.373902,30.031961,27.882362
99.451638,37.868297,34.364939,30.007627,27.853730
100.880781,37.912264,34.433557,30.043967,27.911642
102.297426,37.923905,34.454922,30.053017,27.904908
103.720673,37.968244,34.473405,30.067498,27.891065
