t,theta
7.299700000E0,-7.937944087E0
7.334622222E0,-7.836539671E0
7.369555556E0,-7.427137955E0
7.404477778E0,-6.893357570E0
7.439411111E0,-6.342652146E0
7.474333333E0,-5.676647218E0
7.509255556E0,-4.956976725E0
7.544188889E0,-4.254426207E0
7.579111111E0,-3.417624128E0
7.614044444E0,-2.613151824E0
7.648966667E0,-1.767534017E0
7.683888889E0,-8.603965413E-1
7.718822222E0,4.763654778E-2
7.753744444E0,8.808604211E-1
7.788677778E0,1.675994951E0
7.823600000E0,2.359504176E0
7.858522222E0,2.994019710E0
7.893455556E0,3.684879848E0
7.928377778E0,4.278831136E0
7.963311111E0,4.587896048E0
7.998233333E0,4.974500334E0
8.033155556E0,5.238433083E0
8.068088889E0,5.285928206E0
8.103011111E0,5.311953336E0
8.137944444E0,5.294059504E0
8.172866667E0,4.537494467E0
8.207800000E0,4.064003642E0
8.242722222E0,3.635520930E0
8.277644444E0,2.901626204E0
8.312577778E0,2.322494509E0
8.347500000E0,1.463699636E0
8.382433333E0,7.608550848E-1
8.417355556E0,-1.397538955E-1
8.452277778E0,-9.527852362E-1
8.487211111E0,-1.772070789E0
8.522133333E0,-2.598248838E0
8.557066667E0,-3.420197094E0
8.591988889E0,-4.132917384E0
8.626911111E0,-4.863034144E0
8.661844444E0,-5.574586217E0
8.696766667E0,-6.234012839E0
8.731700000E0,-6.650743792E0
8.766622222E0,-7.013302086E0
8.801544444E0,-7.302798055E0
8.836477778E0,-7.547162136E0
8.871400000E0,-7.546643985E0
8.906333333E0,-7.521230540E0
8.941255556E0,-7.469158632E0
8.976188889E0,-7.134233560E0
9.011111111E0,-6.818648987E0
9.046033333E0,-6.348555758E0
9.080966667E0,-5.863656553E0
9.115888889E0,-5.294704480E0
9.150822222E0,-4.617607800E0
9.185744444E0,-3.832385506E0
9.220666667E0,-3.089325720E0
9.255600000E0,-2.304216855E0
9.290522222E0,-1.535823368E0
9.325455556E0,1.436884668E-1
9.360377778E0,7.857735058E-1
9.395300000E0,1.496250427E0
9.430233333E0,2.095323345E0
9.465155556E0,2.732747800E0
9.500088889E0,3.321487236E0
9.535011111E0,3.780683782E0
9.569944444E0,4.007052098E0
9.604866667E0,4.384855362E0
9.639788889E0,4.581479752E0
9.674722222E0,4.640238894E0
9.709644444E0,4.618148758E0
9.744577778E0,4.610125772E0
9.779500000E0,4.325458498E0
9.814422222E0,4.009947459E0
9.849355556E0,3.425359588E0
9.884277778E0,2.958534912E0
9.919211111E0,2.421533300E0
9.954133333E0,1.696396874E0
9.989055556E0,1.062174234E0
1.002398889E1,3.777836046E-1
1.005891111E1,-4.749130231E-1
1.009384444E1,-1.202044474E0
1.012876667E1,-2.095373501E0
1.016368889E1,-2.771611678E0
1.019862222E1,-3.410769777E0
1.023354444E1,-4.103518064E0
1.026847778E1,-4.872086619E0
1.030340000E1,-5.381616626E0
1.033833333E1,-5.916334809E0
1.037325556E1,-6.422163269E0
1.040817778E1,-6.848220978E0
1.044311111E1,-7.022660758E0
1.047803333E1,-7.174718542E0
1.051296667E1,-7.224670425E0
1.054788889E1,-7.098600935E0
1.058281111E1,-6.872202577E0
1.061774444E1,-6.585147159E0
1.065266667E1,-6.120322143E0
1.068760000E1,-5.613082607E0
1.072252222E1,-5.003444282E0
1.075744444E1,-4.476145843E0
1.079237778E1,-3.775185436E0
1.082730000E1,-3.037543790E0
1.086223333E1,-2.395077543E0
1.089715556E1,-1.704396932E0
1.093207778E1,-7.714180566E-1
1.096701111E1,-1.465347166E-1
1.100193333E1,5.111297536E-1
1.103686667E1,1.176068396E0
1.107178889E1,1.773261081E0
1.110672222E1,2.392523549E0
1.114164444E1,2.806791732E0
1.117656667E1,3.269095131E0
1.121150000E1,3.581500719E0
1.124642222E1,3.705451465E0
1.128135556E1,3.775815359E0
1.131627778E1,3.973930780E0
1.135120000E1,3.925583657E0
1.138613333E1,3.678118217E0
1.142105556E1,3.609718646E0
1.145598889E1,3.359016318E0
1.149091111E1,2.907860025E0
1.152583333E1,2.387314985E0
1.156076667E1,1.974148025E0
1.159568889E1,1.335962734E0
1.163062222E1,5.967211925E-1
1.166554444E1,-7.090301463E-1
1.170046667E1,-1.491615076E0
1.173540000E1,-2.290231623E0
1.177032222E1,-2.858235531E0
1.180525556E1,-3.536715526E0
1.184017778E1,-4.299633933E0
1.187511111E1,-4.945379670E0
1.191003333E1,-5.311294474E0
1.194495556E1,-5.807220042E0
1.197988889E1,-6.232958138E0
1.201481111E1,-6.588488117E0
1.204974444E1,-6.794407832E0
1.208466667E1,-6.947199721E0
1.211958889E1,-6.929266893E0
1.215452222E1,-6.920104881E0
1.218944444E1,-6.741296200E0
1.222437778E1,-6.601130936E0
1.225930000E1,-6.276101630E0
1.229422222E1,-5.895153061E0
1.232915556E1,-5.344788000E0
1.236407778E1,-4.954912435E0
1.239901111E1,-4.327140160E0
1.243393333E1,-3.691148363E0
1.246885556E1,-3.057300135E0
1.250378889E1,-2.429897517E0
1.253871111E1,-1.699580016E0
1.257364444E1,-9.197041949E-1
1.260856667E1,-2.515540580E-1
1.264350000E1,4.067864875E-1
1.267842222E1,1.022229979E0
1.271334444E1,1.610133429E0
1.274827778E1,2.103412028E0
1.278320000E1,2.630485313E0
1.281813333E1,3.329647762E0
1.285305556E1,3.389680391E0
1.288797778E1,3.620577721E0
1.292291111E1,3.652329751E0
1.295783333E1,3.642429309E0
1.299276667E1,3.421888767E0
1.302768889E1,3.333533940E0
1.306261111E1,3.024883518E0
1.309754444E1,2.678805131E0
1.313246667E1,2.116069489E0
1.316740000E1,1.702233552E0
1.320232222E1,1.103681967E0
1.323724444E1,4.630159542E-1
1.327217778E1,-2.034557920E-1
1.330710000E1,-8.368484506E-1
1.334203333E1,-1.502329621E0
1.337695556E1,-2.132193757E0
1.341188889E1,-2.749869723E0
1.344681111E1,-3.379594391E0
1.348173333E1,-4.005110198E0
1.351666667E1,-4.623849028E0
1.355158889E1,-5.015714540E0
1.358652222E1,-5.399733425E0
1.362144444E1,-5.872332798E0
1.365636667E1,-6.113768956E0
1.369130000E1,-6.302461172E0
1.372622222E1,-6.503437443E0
1.376115556E1,-6.556178802E0
1.379607778E1,-6.488062069E0
1.383100000E1,-6.286278145E0
1.386593333E1,-6.106168331E0
1.390085556E1,-5.904528456E0
1.393578889E1,-5.540700724E0
1.397071111E1,-4.648603426E0
1.400563333E1,-4.026221373E0
1.404056667E1,-3.408622009E0
1.407548889E1,-2.797260895E0
1.411042222E1,-2.195971822E0
1.414534444E1,-1.526154060E0
