,I,R1,R2,R3,R4,P1,Tmax1,P2,Tmax2,P3,Tmax3,P4,Tmax4
0.020,0.02,100.0,81.588,42.902,19.846,0.04,308.2764894037932,0.032635199999999996,307.708282634559,0.0171608,305.0244905548342,0.0079384,303.03116379851264
0.025,0.025,100.0,81.588,42.902,19.846,0.06250000000000001,312.9192339360304,0.0509925,312.03065838980405,0.026813750000000004,307.83986188215664,0.012403750000000003,304.7285162650384
0.030,0.03,100.0,81.588,42.902,19.846,0.09,318.5885475098419,0.07342919999999999,317.3079647300094,0.0386118,311.27615692307154,0.0178614,306.7996191950177
0.035,0.035,100.0,81.588,42.902,19.846,0.12250000000000001,325.200875817082,0.0999453,323.4449939194048,0.05255495000000001,315.24531944509874,0.024311350000000002,309.1747913016358
0.040,0.04,100.0,81.588,42.902,19.846,0.16,332.91542963863776,0.13054079999999998,330.6220328743245,0.0686432,319.9122539691083,0.0317536,311.9834008837691
