,I,R1,R2,R3,R4,P1,Tmax1,P2,Tmax2,P3,Tmax3,P4,Tmax4
0.020,0.02,100.0,81.588,42.902,19.846,0.04,309.75824546798054,0.032635199999999996,307.4926977518677,0.0171608,302.7202040272641,0.0079384,300.8689432834236
0.025,0.025,100.0,81.588,42.902,19.846,0.06250000000000001,315.72455489177725,0.0509925,312.18489979873306,0.026813750000000004,304.7283627009257,0.012403750000000003,301.8358023724232
0.030,0.03,100.0,81.588,42.902,19.846,0.09,323.0175469042912,0.07342919999999999,317.92034402258633,0.0386118,307.182830241298,0.0178614,303.01753923998865
0.035,0.035,100.0,81.588,42.902,19.846,0.12250000000000001,331.86392940393034,0.0999453,324.8862768833653,0.05255495000000001,310.1967101009247,0.024311350000000002,304.46054972552776
0.040,0.04,100.0,81.588,42.902,19.846,0.16,341.8805934638558,0.13054079999999998,332.7670664538106,0.0686432,313.5818841706805,0.0317536,306.0895655164607
