t   R1  R2  R3  R4
0                        300.0007137581418        300.0005804533994        300.0002900836745        300.00014104363606
5                        300.6507362264865        300.5300756531912        300.2653815987384        300.1289238116176
10                       301.2749416444669        301.0408511305617        300.5226608034304        300.2539495013539
15                       301.8923391316329        301.54777408388907       300.77928065912          300.3787720705961
20                       302.47672206037515       302.03142504179056       301.0273913008412        300.50011619407564
25                       303.05285134951134       302.5092580008356        301.2733746390703        300.62059070611457
30                       303.6289806386476        302.9870909598807        301.5193579772995        300.7410652181535
35                       304.16069156483826       303.43318216030974       301.7538691065853        300.85740330132955
40                       304.66279024906527       303.8581121883281        301.9807320965754        300.97098376526367
45                       305.1648889332923        304.2830422163465        302.2075950865655        301.0845642291978
50                       305.66698761751934       304.7079722443648        302.43445807655564       301.19814469313195
55                       306.1690863017463        305.1329022723832        302.6613210665458        301.31172515706606
60                       306.6711849859733        305.55783230040157       302.88818405653586       301.4253056210002
65                       307.15240013096314       305.9672398378947        303.10904909965626       301.53681210027685
70                       307.5500811190042        306.3145574132866        303.3059223552977        301.64002264092346
75                       307.94776210704526       306.66187498867856       303.5027956109391        301.74323318157013
80                       308.3454430950863        307.0091925640706        303.69966886658045       301.8464437222168
85                       308.7431240831274        307.35651013946256       303.8965421222219        301.9496542628635
90                       309.1408050711684        307.7038277148545        304.0934153778632        302.05286480351015
95                       309.5384860592094        308.05114529024655       304.29028863350464       302.15607534415676
100                      309.93616704725054       308.3984628656385        304.487161889146         302.25928588480343
105                      310.3338480352915        308.74578044103055       304.6840351447874        302.3624964254501
110                      310.73152902333266       309.0930980164225        304.88090840042884       302.4657069660968
115                      311.12921001137363       309.4404155918145        305.07778165607016       302.56891750674345
120                      311.5268909994148        309.7877331672065        305.2746549117116        302.67212804739006
125                      311.9245719874558        310.13505074259854       305.4715281673529        302.77533858803673
130                      312.2691030456764        310.44033533713673       305.64969219377247       302.87122733015804
135                      312.53390920916604       310.68257046039423       305.7997923763593        302.95613337449134
140                      312.7987153726558        310.92480558365173       305.94989255894603       303.04103941882465
145                      313.0635215361456        311.16704070690923       306.0999927415328        303.12594546315796
150                      313.32832769963534       311.4092758301667        306.2500929241196        303.21085150749127
155                      313.59313386312516       311.65151095342424       306.40019310670635       303.29575755182464
160                      313.8579400266149        311.8937460766817        306.55029328929305       303.38066359615794
165                      314.12274619010464       312.1359811999392        306.70039347187986       303.46556964049125
170                      314.3875523535944        312.3782163231966        306.8504936544666        303.55047568482456
175                      314.65235851708417       312.6204514464541        307.00059383705343       303.6353817291579
180                      314.9171646805739        312.86268656971157       307.1506940196402        303.72028777349124
185                      315.18197084406364       313.1049216929691        307.30079420222694       303.80519381782455
190                      315.4467770075534        313.3471568162266        307.45089438481375       303.89009986215785
195                      315.7115831710431        313.5893919394841        307.60099456740045       303.97500590649116
200                      315.9763893345329        313.8316270627416        307.7510947499872        304.05991195082447
205                      316.24119549802265       314.073862185999         307.901194932574         304.1448179951578
210                      316.5060016615124        314.3160973092566        308.05129511516077       304.2297240394911
215                      316.7708078250022        314.558332432514         308.2013952977475        304.3146300838244
220                      317.03561398849195       314.8005675557715        308.35149548033434       304.3995361281577
225                      317.3004201519816        315.04280267902897       308.5015956629211        304.484442172491
230                      317.56522631547136       315.2850378022865        308.6516958455079        304.5693482168244
235                      317.83003247896113       315.52727292554397       308.8017960280946        304.6542542611577
240                      318.0948386424509        315.76950804880147       308.95189621068135       304.739160305491
245                      318.35964480594066       316.01174317205897       309.10199639326817       304.8240663498243
250                      318.6244509694304        316.2539782953164        309.2520965758549        304.9089723941576
255                      318.88925713292014       316.496213418574         309.4021967584417        304.9938784384909
260                      319.0844912241943        316.6802885175199        309.5229850642563        305.0657030028907
265                      319.2623322974146        316.8498236103879        309.636445400878         305.1342571973072
270                      319.44017337063485       317.01935870325593       309.74990573749966       305.20281139172357
275                      319.6180144438551        317.188893796124         309.8633660741213        305.27136558614
280                      319.7958555170754        317.35842888899197       309.976826410743         305.3399197805564
285                      319.97369659029556       317.52796398186          310.09028674736464       305.4084739749729
290                      320.1515376635158        317.697499074728         310.2037470839863        305.47702816938926
295                      320.3293787367361        317.8670341675961        310.31720742060793       305.5455823638057
300                      320.5072198099563        318.03656926046415       310.43066775722957       305.61413655822207
305                      320.68506088317656       318.20610435333214       310.54412809385127       305.68269075263856
310                      320.86290195639685       318.3756394462002        310.6575884304729        305.75124494705494
315                      321.0407430296171        318.5451745390682        310.7710487670946        305.8197991414713
320                      321.2185841028373        318.7147096319362        310.8845091037162        305.88835333588776
325                      321.3964251760576        318.88424472480426       310.99796944033784       305.95690753030425
330                      321.57426624927785       319.05377981767225       311.11142977695954       306.0254617247206
335                      321.7521073224981        319.22331491054035       311.2248901135812        306.094015919137
340                      321.9299483957183        319.3928500034084        311.3383504502029        306.16257011355344
345                      322.1077894689386        319.5623850962764        311.4518107868245        306.2311243079699
350                      322.28563054215886       319.73192018914443       311.5652711234461        306.2996785023863
355                      322.4634716153791        319.9014552820124        311.6787314600678        306.3682326968027
360                      322.6413126885994        320.0709903748805        311.79219179668945       306.4367868912191
365                      322.8191537618196        320.24052546774857       311.90565213331115       306.50534108563556
370                      322.99699483503986       320.41006056061656       312.01911246993285       306.573895280052
375                      323.17483590826015       320.57959565348466       312.1325728065545        306.6424494744684
380                      323.3526769814804        320.7491307463527        312.24603314317613       306.7110036688848
385                      323.5155973777091        320.90535018671363       312.3517739951954        306.7755618193587
390                      323.61883506597223       321.0083070170462        312.4266369088047        306.82413579406244
395                      323.7220727542353        321.11126384737884       312.5014998224141        306.87270976876624
400                      323.8253104424984        321.2142206777114        312.5763627360235        306.92128374347
405                      323.9285481307614        321.31717750804404       312.6512256496328        306.9698577181738
410                      324.0317858190245        321.4201343383766        312.7260885632422        307.0184316928775
415                      324.13502350728754       321.52309116870924       312.80095147685154       307.06700566758127
420                      324.23826119555065       321.6260479990418        312.87581439046096       307.115579642285
425                      324.34149888381364       321.72900482937445       312.95067730407027       307.16415361698876
430                      324.4447365720767        321.831961659707         313.02554021767963       307.21272759169256
435                      324.5479742603398        321.93491849003965       313.10040313128906       307.26130156639636
440                      324.6512119486029        322.0378753203722        313.1752660448984        307.3098755411001
445                      324.7544496368659        322.14083215070485       313.25012895850773       307.35844951580384
450                      324.85768732512895       322.2437889810375        313.32499187211715       307.40702349050764
455                      324.96092501339206       322.34674581137006       313.3998547857265        307.4555974652114
460                      325.06416270165516       322.4497026417027        313.4747176993358        307.5041714399151
465                      325.16740038991816       322.55265947203526       313.54958061294525       307.55274541461887
