t   R1  R2  R3  R4
0                        300.1502275574806        300.1501613844382        300.15000496417605       300.1499327226695
1.5                      300.8517366390432        300.71251669851176       300.41306881245174       300.24501547749674
3                        301.5064584159492        301.2352074861832        300.6509030427826        300.3282055206141
4.5                      302.1145057437117        301.7195512952949        300.86832432324456       300.40532764258575
6                        302.6985040066392        302.18415628997536       301.0753088149071        300.47896720885035
7.5                      303.218135654861         302.595930928384         301.2543595483124        300.5432858171927
9                        303.73776730308276       303.00770556679265       301.43341028171767       300.60760442553504
10.5                     304.2573989513046        303.41948020520124       301.6124610151229        300.67192303387736
12                       304.7049541433875        303.77255952997075       301.76192534448063       300.7259080147034
13.5                     305.09209230605984       304.07643837124874       301.8865893057398        300.77123098422896
15                       305.47923046873217       304.3803172125268        302.0112532669989        300.8165539537546
16.5                     305.86636863140455       304.68419605380484       302.1359172282581        300.86187692328014
18                       306.2535067940768        304.98807489508283       302.26058118951704       300.90719989280564
19.5                     306.64064495674916       305.2919537363609        302.38524515077614       300.9525228623312
21                       307.02778311942143       305.5958325776389        302.5099091120353        300.99784583185675
22.5                     307.40107751289395       305.8886065554575        302.62946001236776       301.0413494792125
24                       307.6309001164762        306.06629376651426       302.696021008551         301.0659983331717
25.5                     307.86072272005845       306.2439809775711        302.7625820047343        301.0906471871309
27                       308.09054532364064       306.42166818862785       302.82914300091755       301.1152960410902
28.5                     308.32036792722295       306.59935539968467       302.8957039971008        301.1399448950494
30                       308.5501905308052        306.7770426107415        302.9622649932841        301.1645937490086
31.5                     308.7800131343875        306.9547298217982        303.02882598946735       301.1892426029678
33                       309.0098357379697        307.132417032855         303.0953869856506        301.213891456927
34.5                     309.23965834155194       307.3101042439118        303.1619479818339        301.23854031088626
36                       309.4694809451342        307.4877914549686        303.22850897801715       301.26318916484547
37.5                     309.69930354871644       307.6654786660254        303.29506997420043       301.2878380188047
39                       309.92912615229875       307.8431658770823        303.3616309703837        301.312486872764
40.5                     310.158948755881         308.020853088139         303.42819196656694       301.3371357267232
42                       310.38877135946325       308.1985402991959        303.4947529627502        301.3617845806824
43.5                     310.61859396304544       308.3762275102527        303.56131395893357       301.3864334346416
45                       310.83181350517634       308.5407939981951        303.62235206644914       301.4090812254832
46.5                     310.96730053233006       308.6439316461025        303.65753301338475       301.4223604026375
48                       311.1027875594839        308.7470692940097        303.69271396032025       301.43563957979194
49.5                     311.2382745866375        308.850206941917         303.7278949072558        301.4489187569462
51                       311.3737616137913        308.9533445898242        303.7630758541914        301.4621979341006
52.5                     311.509248640945         309.05648223773153       303.79825680112697       301.4754771112549
54                       311.6447356680988        309.1596198856388        303.8334377480626        301.4887562884092
55.5                     311.78022269525246       309.26275753354605       303.8686186949981        301.50203546556367
57                       311.91570972240623       309.36589518145337       303.90379964193363       301.51531464271795
58.5                     312.0511967495599        309.4690328293606        303.93898058886924       301.5285938198723
60                       312.1866837767137        309.5721704772678        303.97416153580485       301.54187299702664
61.5                     312.3221708038674        309.67530812517504       304.0093424827403        301.555152174181
63                       312.4576578310212        309.77844577308235       304.0445234296759        301.56843135133533
64.5                     312.5931448581749        309.8815834209896        304.0797043766114        301.58171052848974
66                       312.72863188532864       309.9847210688969        304.11488532354707       301.594989705644
67.5                     312.8494327406494        310.0764314999789        304.14568581038674       301.6066512177473
69                       312.92929032904175       310.1362842356692        304.16427410544406       301.61380287576884
70.5                     313.009147917434         310.1961369713595        304.1828624005013        301.6209545337903
72                       313.0890055058263        310.2559897070498        304.2014506955586        301.6281061918118
73.5                     313.1688630942186        310.3158424427401        304.22003899061593       301.6352578498333
75                       313.2487206826109        310.3756951784304        304.2386272856732        301.6424095078548
76.5                     313.32857827100315       310.4355479141207        304.2572155807305        301.64956116587626
78                       313.4084358593955        310.495400649811         304.2758038757879        301.6567128238978
79.5                     313.4882934477879        310.55525338550126       304.29439217084513       301.6638644819193
81                       313.5681510361801        310.61510612119156       304.31298046590246       301.6710161399408
82.5                     313.6480086245724        310.67495885688186       304.33156876095967       301.67816779796226
84                       313.7278662129647        310.73481159257216       304.350157056017         301.6853194559837
85.5                     313.807723801357         310.7946643282625        304.3687453510743        301.6924711140053
87                       313.8875813897493        310.8545170639527        304.38733364613165       301.69962277202677
88.5                     313.9674389781416        310.91436979964305       304.4059219411889        301.70677443004814
90                       314.03271650664897       310.96309933359515       304.42071816648604       301.7124921436284
91.5                     314.07115347036785       310.9913520643476        304.4285335360883        301.7155700958505
93                       314.1095904340868        311.0196047951           304.4363489056906        301.7186480480728
94.5                     314.14802739780566       311.0478575258524        304.4441642752929        301.7217260002949
96                       314.1864643615246        311.07611025660486       304.4519796448952        301.724803952517
97.5                     314.2249013252436        311.10436298735726       304.45979501449744       301.72788190473926
99                       314.26333828896253       311.1326157181097        304.4676103840997        301.73095985696136
100.5                    314.30177525268147       311.1608684488622        304.475425753702         301.7340378091836
102                      314.3402122164004        311.1891211796145        304.4832411233042        301.73711576140573
