,t,y
0,0.0,0.0
1,0.0333333334,0.032
2,0.06666666670000002,0.0864
3,0.09999999999999998,0.16
4,0.1333333334,0.2304
5,0.1666666667,0.32
6,0.19999999999999998,0.4128
7,0.23333333340000004,0.5184000000000001
8,0.26666666670000005,0.6432
9,0.29999999999999993,0.7744
10,0.33333333340000004,0.9152
11,0.36666666670000003,1.0656
12,0.4,1.2224
13,0.4333333334,1.4016
14,0.4666666667,1.5648
