X,CH1
337,9.60E-2
338,4.80E-2
339,1.04E-1
340,5.60E-2
341,9.60E-2
342,5.60E-2
343,1.12E-1
344,5.60E-2
345,1.12E-1
346,1.12E-1
347,5.60E-2
348,6.40E-2
349,1.12E-1
350,6.40E-2
351,1.12E-1
352,1.12E-1
353,6.40E-2
354,6.40E-2
355,1.20E-1
356,7.20E-2
357,1.12E-1
358,1.12E-1
359,7.20E-2
360,6.40E-2
361,1.20E-1
362,1.12E-1
363,6.40E-2
364,7.20E-2
365,1.04E-1
366,6.40E-2
367,1.04E-1
368,1.04E-1
369,5.60E-2
370,1.04E-1
371,4.80E-2
372,9.60E-2
373,5.60E-2
374,9.60E-2
375,4.80E-2
376,4.80E-2
377,9.60E-2
378,4.80E-2
379,8.80E-2
380,4.00E-2
381,8.80E-2
382,7.20E-2
383,3.20E-2
384,7.20E-2
385,3.20E-2
386,6.40E-2
387,2.40E-2
388,6.40E-2
389,2.40E-2
390,5.60E-2
391,2.40E-2
392,1.60E-2
393,5.60E-2
394,4.80E-2
395,1.60E-2
396,4.80E-2
397,8.00E-3
398,1.60E-2
399,4.80E-2
400,5.60E-2
401,8.00E-3
402,1.60E-2
403,6.40E-2
404,7.20E-2
405,2.40E-2
406,3.20E-2
407,8.00E-2
408,8.80E-2
409,4.00E-2
410,4.80E-2
411,1.04E-1
412,7.20E-2
413,1.12E-1
414,8.80E-2
415,1.36E-1
416,1.04E-1
417,1.44E-1
418,1.12E-1
419,1.60E-1
420,1.36E-1
421,1.76E-1
422,1.52E-1
423,1.92E-1
424,1.60E-1
425,2.08E-1
426,1.76E-1
427,2.16E-1
428,1.92E-1
429,2.40E-1
430,2.00E-1
431,2.48E-1
432,2.08E-1
433,2.56E-1
434,2.16E-1
435,2.64E-1
436,2.24E-1
437,2.72E-1
438,2.32E-1
439,2.72E-1
440,2.32E-1
441,2.80E-1
442,2.40E-1
443,2.80E-1
444,2.80E-1
445,2.40E-1
446,2.48E-1
447,2.80E-1
448,2.80E-1
449,2.40E-1
450,2.72E-1
451,2.32E-1
452,2.72E-1
453,2.32E-1
454,2.64E-1
455,2.24E-1
456,2.56E-1
457,2.16E-1
458,2.48E-1
459,2.00E-1
460,2.32E-1
461,1.84E-1
462,2.16E-1
463,1.76E-1
464,1.52E-1
465,2.08E-1
466,2.00E-1
467,1.44E-1
468,1.28E-1
469,1.84E-1
470,1.60E-1
471,1.12E-1
472,1.44E-1
473,9.60E-2
474,1.28E-1
475,8.00E-2
476,1.12E-1
477,7.20E-2
478,9.60E-2
479,5.60E-2
480,8.00E-2
481,3.20E-2
482,3.20E-2
483,7.20E-2
484,1.60E-2
485,6.40E-2
486,1.60E-2
487,5.60E-2
488,8.00E-3
489,4.80E-2
490,0.00E+0
491,4.80E-2
492,4.80E-2
493,0.00E+0
494,8.00E-3
495,4.80E-2
496,1.60E-2
497,6.40E-2
498,3.20E-2
499,7.20E-2
500,4.80E-2
501,9.60E-2
502,6.40E-2
503,1.20E-1
504,8.80E-2
505,1.44E-1
506,1.20E-1
507,1.68E-1
508,1.44E-1
509,2.00E-1
510,1.76E-1
511,2.40E-1
512,2.00E-1
513,2.64E-1
514,2.40E-1
515,2.88E-1
516,2.64E-1
517,3.20E-1
518,2.88E-1
519,3.44E-1
520,3.04E-1
521,3.68E-1
522,3.36E-1
523,3.84E-1
524,3.60E-1
525,4.00E-1
526,3.76E-1
527,4.16E-1
528,3.76E-1
529,4.32E-1
530,4.00E-1
531,4.48E-1
532,4.16E-1
533,4.56E-1
534,4.32E-1
535,4.72E-1
536,4.72E-1
537,4.32E-1
538,4.72E-1
539,4.40E-1
540,4.32E-1
541,4.88E-1
542,4.80E-1
543,4.32E-1
544,4.32E-1
545,4.72E-1
546,4.72E-1
547,4.24E-1
548,4.64E-1
549,4.24E-1
550,4.56E-1
551,4.08E-1
552,4.32E-1
553,3.84E-1
554,4.08E-1
555,3.52E-1
556,3.84E-1
557,3.36E-1
558,3.60E-1
559,3.04E-1
560,3.36E-1
561,2.80E-1
562,3.04E-1
563,2.48E-1
564,2.80E-1
565,2.24E-1
566,2.48E-1
567,1.92E-1
568,2.24E-1
569,1.68E-1
570,1.92E-1
571,1.28E-1
572,1.68E-1
573,1.12E-1
574,1.36E-1
575,8.80E-2
576,1.12E-1
577,5.60E-2
578,8.80E-2
579,4.80E-2
580,7.20E-2
581,2.40E-2
582,5.60E-2
583,1.60E-2
584,4.80E-2
585,8.00E-3
586,4.00E-2
587,0.00E+0
588,8.00E-3
589,4.00E-2
590,8.00E-3
591,5.60E-2
592,2.40E-2
593,6.40E-2
594,4.00E-2
595,8.80E-2
596,6.40E-2
597,1.12E-1
598,8.80E-2
599,1.44E-1
600,1.20E-1
601,1.84E-1
602,1.60E-1
603,2.24E-1
604,2.00E-1
605,2.64E-1
606,2.32E-1
607,2.96E-1
608,2.72E-1
609,3.36E-1
610,3.12E-1
611,3.68E-1
612,3.36E-1
613,3.92E-1
614,3.68E-1
615,4.40E-1
616,4.08E-1
617,4.72E-1
618,4.48E-1
619,5.12E-1
620,4.88E-1
