"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-9.347295016E-2,-1.536768675E-1,-8.126319647E-1,8.323007161E-1
1.930641000E-2,-5.562721491E-1,-1.399702579E-1,1.372964025E0,1.487971972E0
3.863225400E-2,-6.398670673E-1,-1.929620802E-1,6.253255606E-1,9.152574965E-1
5.796939000E-2,-5.739244223E-1,-1.384669393E-1,1.377427459E0,1.498622281E0
7.726748600E-2,-7.138991952E-1,-4.097420350E-2,-9.121035337E-1,1.158992581E0
9.661084600E-2,-6.221933961E-1,1.466123611E-1,4.405164625E-3,6.392489437E-1
1.159389400E-1,-5.540569425E-1,-2.760470845E-2,1.175345182E0,1.299683582E0
1.352411320E-1,-6.489718556E-1,4.661744833E-2,1.127876863E-1,6.603474223E-1
1.545850450E-1,-7.021850348E-1,-5.955841765E-2,-7.893632650E-1,1.058161326E0
1.739012780E-1,-5.957307816E-1,-2.303695083E-1,3.399350643E-1,7.235475951E-1
1.932424140E-1,-5.011716485E-1,7.067577541E-2,1.094694614E0,1.206036643E0
2.125438410E-1,-5.395922065E-1,-1.201635748E-1,1.233180091E-1,5.663977095E-1
2.318472170E-1,-5.810434222E-1,1.056706905E-1,-2.957429290E-1,6.604859070E-1
2.511872650E-1,-5.422164202E-1,8.727955818E-2,7.406562567E-1,9.220564289E-1
2.705019210E-1,-5.286104679E-1,8.119761199E-2,9.450811744E-1,1.085909989E0
2.898420170E-1,-5.668339133E-1,-9.291240573E-2,2.797558159E-2,5.750791542E-1
3.091566730E-1,-5.922120214E-1,-1.092037410E-1,-2.444779277E-1,6.499307597E-1
3.284985040E-1,-5.821096301E-1,-2.576326430E-1,3.807961047E-1,7.417761613E-1
3.478166910E-1,-6.871496439E-1,-1.041941810E-2,4.381804913E-2,6.886241492E-1
3.671309010E-1,-6.375715733E-1,2.309236079E-1,-7.847054601E-1,1.037104567E0
3.864706770E-1,-2.654409111E-1,-1.430569738E-1,5.037824512E-1,5.871294007E-1
4.057920530E-1,2.231134176E-1,-2.876655161E-1,5.293189526E0,5.305693772E0
4.251120520E-1,-8.218907565E-2,-3.213372827E-1,9.262016296E0,9.267953311E0
4.444265480E-1,3.937319815E-1,-1.647616550E-2,2.009319544E0,2.047598927E0
4.637410440E-1,9.056122899E-1,7.437466830E-2,-2.275324583E0,2.450054524E0
4.830555080E-1,-2.268887460E-1,-1.805189997E-1,-6.714530468E0,6.720787530E0
5.023954120E-1,-1.360597610E0,-6.395027041E-2,-1.121491432E1,1.129732795E1
5.217098760E-1,-1.238314033E0,1.269594533E-3,-1.072685146E1,1.079809083E1
5.410339720E-1,-5.030924678E-1,2.766264230E-2,-6.177859306E0,6.198371791E0
5.603741960E-1,2.778250873E-1,-1.220395491E-1,1.290035725E0,1.325244355E0
5.797022020E-1,5.108845830E-1,-2.611271441E-1,8.271854401E0,8.291728750E0
5.990241930E-1,3.976891637E-1,-2.788522840E-1,8.296466827E0,8.310672481E0
6.183654720E-1,5.347732306E-1,-1.974435747E-1,1.068003082E1,1.069523374E1
6.376789500E-1,5.946120620E-1,-1.824043989E-1,7.307386398E0,7.333807391E0
6.568713090E-1,3.927092552E-1,-1.705685258E-1,1.154659390E0,1.231483857E0
6.762115330E-1,-2.984744310E-1,-1.496217586E-2,-6.187003613E0,6.194217025E0
6.955264770E-1,-1.046500206E0,-3.624020144E-2,-1.035095596E1,1.040378611E1
7.148414210E-1,-1.201067805E0,-6.537144631E-2,-1.066744709E1,1.073504843E1
7.341776770E-1,-6.760989428E-1,-1.924387738E-2,-7.547600269E0,7.577845996E0
7.535186690E-1,1.119957492E-1,-7.874972373E-2,-1.769617677E0,1.774905994E0
7.728341890E-1,5.378045440E-1,-1.636534482E-1,4.840472221E0,4.873006003E0
7.921498370E-1,5.794498324E-1,-2.070901692E-1,9.541482925E0,9.561304559E0
8.114907650E-1,5.369167328E-1,-1.848996431E-1,1.083222580E1,1.084710022E1
8.308197890E-1,5.551692247E-1,-1.804221421E-1,8.627846718E0,8.647572145E0
8.501356930E-1,4.181556404E-1,-1.398924589E-1,3.323782921E0,3.352902764E0
8.694770050E-1,-7.383815944E-2,-8.303875476E-2,-3.102090836E0,3.104080389E0
