"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.352684702E0,1.451240897E0,7.119853795E-2,1.198550129E1,1.207325186E1
1.372026654E0,9.990212917E-1,4.615068436E-1,6.490430832E-1,1.277610673E0
1.391343262E0,-3.242763877E-1,-3.467501998E-1,-7.109483719E0,7.125317511E0
1.410685214E0,-1.324003577E0,8.335777372E-2,-1.600207520E1,1.605697184E1
1.430000542E0,-1.450513005E-1,3.970844746E-1,-1.098996544E1,1.099809330E1
1.449342494E0,1.135135531E0,8.289553225E-3,4.400431156E0,4.544490703E0
1.468659102E0,1.289490342E0,-6.172766089E-1,1.761253929E1,1.767046564E1
1.487975582E0,1.253045321E0,1.290545762E-1,1.045460510E1,1.053022058E1
1.507317534E0,7.149230838E-1,2.973163724E-1,4.555059969E-1,8.983305373E-1
1.526629568E0,-4.943999946E-1,-3.093567193E-1,-7.504534721E0,7.527162435E0
1.545946048E0,-1.317144275E0,1.401358992E-1,-1.560764027E1,1.566374610E1
1.565288000E0,-9.041125304E-4,3.911696970E-1,-9.736174583E0,9.744029457E0
1.584604480E0,1.099834323E0,-1.138031408E-1,5.573459148E0,5.682080039E0
1.603921088E0,1.185886383E0,-5.466992855E-1,1.669763184E1,1.674861533E1
1.623294513E0,1.343659878E0,2.121978700E-1,9.205849648E0,9.305810955E0
1.642610993E0,5.340341926E-1,1.988503337E-1,3.306209743E-1,6.588203114E-1
1.661952817E0,-4.649713039E-1,-3.157923520E-1,-7.858608723E0,7.878683531E0
1.681269425E0,-1.413945556E0,1.488967687E-1,-1.514546394E1,1.521205083E1
1.700585905E0,-1.512284875E-1,4.233718812E-1,-8.596253395E0,8.608001292E0
1.719923140E0,9.258885980E-1,-1.648188680E-1,6.587181091E0,6.653975480E0
1.739239620E0,1.158711195E0,-5.213115811E-1,1.581041336E1,1.586138544E1
1.758555972E0,1.333049655E0,2.714753449E-1,8.234945297E0,8.346558829E0
1.777897668E0,7.140303254E-1,1.884984821E-1,1.546778977E-1,7.545172201E-1
1.797214148E0,-5.498858690E-1,-2.841206491E-1,-8.172005653E0,8.195411851E0
1.816530500E0,-1.470745087E0,1.365457922E-1,-1.455977535E1,1.463450697E1
1.835844978E0,-8.451126516E-2,3.818506300E-1,-7.518867493E0,7.529031839E0
1.855186674E0,9.997370243E-1,-1.939397603E-1,7.362951756E0,7.433044148E0
1.874503026E0,1.166466951E0,-4.370626509E-1,1.488021564E1,1.493226328E1
1.893819250E0,1.273719072E0,-4.804917872E-1,1.486880779E1,1.493099721E1
1.913135474E0,1.528960586E0,3.349170089E-1,7.410802364E0,7.574290829E0
1.932479467E0,-6.966818571E-1,-1.910559535E-1,-8.458036423E0,8.488830786E0
1.951795819E0,-1.348123908E0,1.625845432E-1,-1.394692612E1,1.401287336E1
1.971112171E0,1.464418322E-1,3.105790317E-1,-6.505587101E0,6.514642590E0
1.990453739E0,1.206786990E0,-2.244550586E-1,7.933289528E0,8.027689434E0
2.009770091E0,1.193879128E0,-2.810253501E-1,1.392535210E1,1.397926156E1
2.029091877E0,1.020893931E0,2.787814140E-1,6.800950527E0,6.882795331E0
2.048433701E0,3.373129368E-1,4.205580335E-3,-5.567433313E-2,3.419025235E-1
2.067750181E0,-7.019357085E-1,-1.439659297E-1,-8.689567566E0,8.719060982E0
2.087066661E0,-1.258422613E0,2.275458127E-1,-1.330688095E1,1.336818930E1
2.106383013E0,1.565363854E-1,2.793668211E-1,-5.605710030E0,5.614849454E0
2.125704987E0,1.144176722E0,-2.752910256E-1,8.274489403E0,8.357756900E0
2.145046939E0,1.145997524E0,-2.232919335E-1,1.302414513E1,1.307637281E1
2.164363547E0,9.857791662E-1,2.800184190E-1,6.253010750E0,6.336427567E0
2.183679899E0,3.039692938E-1,-3.218619898E-2,-2.473983467E-1,3.932419420E-1
2.202996507E0,-6.468324661E-1,-1.297720820E-1,-8.866821289E0,8.891330204E0
2.222345619E0,-1.321814895E0,2.291640341E-1,-1.265209484E1,1.272301908E1
2.241662227E0,-7.470392436E-2,2.898503542E-1,-4.736409187E0,4.745857762E0
2.260978963E0,9.219555259E-1,-2.896035612E-1,8.450757980E0,8.505832273E0
2.280321043E0,1.131785989E0,-1.988645643E-1,1.213304996E1,1.218734541E1
