"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.658819139E-1,-9.610071778E-3,6.206818223E-1,7.761341609E-1
1.929431300E-2,-6.045742035E-1,-1.098332331E-1,3.000283837E-1,6.838057748E-1
3.862148600E-2,-2.589925425E-3,-1.239749789E-1,-8.930704743E-2,1.528144359E-1
5.795782000E-2,-4.970919490E-1,1.868525147E-1,7.225592136E-1,8.967196246E-1
7.727610300E-2,-6.212970018E-1,-5.205468833E-2,3.003775477E-1,6.920594817E-1
9.662410200E-2,-7.111292481E-1,-3.105106950E-1,-7.731775194E-2,7.798074981E-1
1.159049250E-1,-7.439427376E-1,-1.180571392E-1,-2.798056975E-2,7.537713162E-1
1.352230370E-1,-7.416307926E-1,1.257737279E-1,9.829944372E-2,7.586158737E-1
1.545665250E-1,-6.695669889E-1,5.491586402E-2,2.470142841E-1,7.157875113E-1
1.738846370E-1,-5.967408419E-1,-1.511176825E-1,3.535620570E-1,7.098889452E-1
1.932027330E-1,-6.058234572E-1,-9.566912800E-2,3.684368730E-1,7.154861094E-1
2.125462370E-1,-6.058304906E-1,-9.561391175E-2,3.684377074E-1,7.154851135E-1
2.318710690E-1,-5.741311908E-1,3.974863887E-2,4.649165571E-1,7.398337540E-1
2.511897250E-1,-6.331697106E-1,1.428822726E-1,2.212026268E-1,6.857476419E-1
2.705483440E-1,-6.753298640E-1,-5.956481025E-2,1.096768826E-1,6.867659066E-1
2.898697700E-1,-6.862771511E-1,1.198779643E-1,2.070801556E-1,7.267938121E-1
3.091955000E-1,-6.344674230E-1,-5.958781019E-2,3.139820993E-1,7.104114136E-1
3.285446100E-1,-6.549588442E-1,5.224793404E-2,2.059163004E-1,6.885509836E-1
3.478109770E-1,-6.967222691E-1,6.712357700E-2,-2.541428432E-2,7.004094379E-1
3.671265830E-1,-6.476217508E-1,-8.070045710E-2,1.641441435E-1,6.729560132E-1
3.864705510E-1,-5.497475863E-1,-9.215857834E-2,2.930220068E-1,6.297440024E-1
4.057930700E-1,-4.546665847E-1,-6.808228046E-2,4.672991335E-1,6.555344235E-1
4.251077990E-1,-3.793307245E-1,-6.394995749E-2,3.680569530E-1,5.323977049E-1
4.444263910E-1,-3.646244407E-1,-2.407372929E-2,1.507681981E-2,3.657291862E-1
4.637704230E-1,-3.270265460E-1,-4.769347981E-2,-1.323785782E-1,3.560128056E-1
4.830890150E-1,-2.589441240E-1,-3.842033818E-2,9.032874554E-2,2.769250151E-1
5.024329830E-1,-2.385876030E-1,-2.903143503E-2,2.465487421E-1,3.443154814E-1
5.217259750E-1,-1.808135509E-1,-9.085074067E-3,3.082925677E-1,3.575197702E-1
5.410435430E-1,-1.773475856E-1,-1.979422942E-2,2.066935897E-1,2.730681557E-1
5.603610470E-1,-1.496270001E-1,-3.168607876E-2,1.194199547E-1,1.940447689E-1
5.797039590E-1,-1.397018731E-1,-1.613916829E-2,4.666365683E-2,1.481707898E-1
5.990215270E-1,-1.194685847E-1,-2.608377673E-2,5.631528422E-2,1.346273277E-1
6.183332710E-1,-8.878539503E-2,-8.972911164E-3,9.386184812E-2,1.295121849E-1
6.376505830E-1,-8.885086328E-2,-6.259904709E-3,9.531083517E-3,8.957959514E-2
6.569932390E-1,-7.907225192E-2,-1.734190062E-2,3.489798307E-2,8.815345576E-2
6.763106150E-1,-5.792637914E-2,-1.556451898E-4,8.793287724E-2,1.052980557E-1
6.956279910E-1,-2.310009860E-2,3.908873070E-3,2.090620250E-1,2.103706827E-1
7.149452390E-1,-7.893383736E-4,-2.369428985E-2,3.300224245E-1,3.308728503E-1
7.343113040E-1,-1.873733103E-2,-1.652296633E-2,1.785143465E-1,1.802538984E-1
7.536286160E-1,-5.228441954E-2,-9.516652673E-3,1.376665942E-2,5.489761485E-2
7.729459920E-1,-3.401387483E-2,1.460903324E-2,-5.516722798E-2,6.643636487E-2
7.922886480E-1,-1.809014753E-2,1.649377984E-3,1.250471547E-2,2.205315837E-2
8.116060240E-1,-1.881318726E-2,1.939502195E-3,1.263523288E-2,2.274525870E-2
8.309233360E-1,2.323331684E-2,3.346920479E-3,8.050752431E-2,8.385970641E-2
8.502796020E-1,-1.823292580E-3,5.775290541E-3,2.560465783E-2,2.631115503E-2
8.696026090E-1,-3.631205764E-3,2.037175000E-2,8.041109145E-2,8.303094291E-2
8.889249710E-1,2.155654505E-2,2.111874335E-2,2.033666521E-1,2.055934852E-1
9.082388740E-1,2.051282115E-2,-7.197659928E-3,1.490856111E-1,1.506622102E-1
9.275898030E-1,1.961624250E-2,-9.087399580E-3,8.116344362E-2,8.399334725E-2
9.469054210E-1,5.781810358E-2,1.324966270E-2,1.361760348E-1,1.485341682E-1
9.662201070E-1,9.223183990E-2,1.964876894E-3,6.937032938E-2,1.154245019E-1
9.855596920E-1,-4.066152498E-2,-3.957614675E-2,-6.095811725E-1,6.122163317E-1
1.004871336E0,-2.547576129E-1,2.253142186E-2,-1.009937450E-1,2.749706218E-1
1.024195303E0,1.265413761E0,2.798772156E-1,6.304376602E0,6.436207547E0
1.043541795E0,1.072495580E0,1.954725757E-2,1.063937664E1,1.069331399E1
1.062857879E0,1.480637074E0,-4.078580141E-1,7.690728664E0,7.842572390E0
1.082172317E0,8.971751928E-1,-8.376001567E-2,-5.008051395E0,5.088469106E0
1.101518166E0,-3.050146103E-1,3.009955287E-1,-1.569503880E1,1.570088771E1
1.120854966E0,-9.338410497E-1,3.078489751E-2,-1.653804207E1,1.656441494E1
1.140148719E0,-3.543962836E-1,2.077108622E-2,-1.089507103E1,1.090085322E1
1.159492527E0,1.185651422E0,-5.985430628E-2,-6.694961190E-1,1.362929523E0
1.178804425E0,1.463170528E0,-1.696227789E-1,9.029356956E0,9.148711763E0
1.198124822E0,1.509018779E0,-3.235528618E-2,1.364484501E1,1.372807269E1
1.217439950E0,1.715749621E0,-3.399418667E-2,1.392622375E1,1.403155944E1
1.236780128E0,2.010672569E0,-1.778939962E-1,9.336037636E0,9.551756341E0
1.256102156E0,1.650998950E0,-4.517961666E-2,-7.990066409E-1,1.834734407E0
1.275416088E0,4.778794348E-1,1.794807166E-1,-1.053916740E1,1.055152272E1
1.294758344E0,-9.207918644E-1,-1.349824108E-2,-1.500175762E1,1.502999573E1
1.314074777E0,-8.432138562E-1,4.928597808E-2,-1.345638466E1,1.348286790E1
1.333399589E0,4.127048254E-1,1.597341150E-1,-5.976390362E0,5.992752457E0
1.352733092E0,1.365165710E0,-6.231320649E-2,4.487814903E0,4.691273064E0
1.372059176E0,1.125463367E0,-5.744643882E-2,4.520606995E0,4.658954334E0
1.391378362E0,1.388495803E0,-7.818139344E-2,1.388256741E1,1.395205041E1
1.410678126E0,1.497246742E0,-1.576137543E-2,1.034553337E1,1.045332755E1
1.430028653E0,1.417222857E0,-8.303711563E-2,3.975036383E0,4.220939473E0
1.449347216E0,6.460741162E-1,4.025266320E-2,-5.799309254E0,5.835325172E0
1.468664720E0,-6.488094926E-1,1.057219654E-1,-1.363085651E1,1.364669851E1
1.487988602E0,-9.238014817E-1,2.514988557E-2,-1.459512329E1,1.462435180E1
1.507331508E0,1.018266454E-1,9.374595433E-2,-9.261567116E0,9.262601277E0
1.526644328E0,1.312089205E0,2.431187313E-3,1.168885902E-1,1.317287719E0
1.545968714E0,1.546067834E0,-1.834810823E-1,9.545635223E0,9.671770410E0
1.565314164E0,1.386544704E0,-1.018455625E-1,1.325859356E1,1.333128583E1
1.584622966E0,1.412251711E0,-3.215676546E-2,1.199704456E1,1.207992414E1
1.603942951E0,1.460521579E0,-8.647941053E-2,7.282232285E0,7.427752622E0
1.623283579E0,9.977934361E-1,-1.857050322E-2,-1.634562254E0,1.915131945E0
