"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-5.447214246E-1,-1.443411559E-1,-1.969097853E-1,5.969332150E-1
1.932887400E-2,-6.210596561E-1,-3.032914400E-1,7.738301158E-1,1.037551850E0
3.862123800E-2,-6.353529692E-1,-2.371659279E-1,7.756315470E-1,1.030303533E0
5.794783500E-2,-7.187077403E-1,-4.120886922E-1,-1.346667767E0,1.581098346E0
7.727745800E-2,-6.847023964E-1,-5.950735882E-2,-3.136279583E-1,7.554607823E-1
9.654997700E-2,-6.093883514E-1,3.137227520E-2,1.598289251E0,1.710808848E0
1.158503210E-1,-6.081376076E-1,-2.096368372E-2,1.597416401E0,1.709388775E0
1.352437930E-1,-6.353639960E-1,-1.819839478E-1,4.623502791E-1,8.065812701E-1
1.545670540E-1,-6.175433397E-1,-1.450155675E-1,3.002295792E-1,7.018027440E-1
1.739109650E-1,-5.241073966E-1,-2.454593927E-1,1.648750424E0,1.747374270E0
1.932205330E-1,-6.331844330E-1,1.332309395E-1,2.346716821E-1,6.882904967E-1
2.125602720E-1,-6.792678833E-1,-8.293467015E-2,-7.788138390E-1,1.036742018E0
2.318900760E-1,-6.184942126E-1,3.670176864E-2,6.020802259E-1,8.639344358E-1
2.512233030E-1,-6.103162766E-1,5.999705568E-2,1.176506519E0,1.326745339E0
2.705347270E-1,-6.937716603E-1,-9.155372530E-2,-3.546569049E-1,7.845270687E-1
2.898749350E-1,-7.305886149E-1,-6.066129357E-2,-7.634810209E-1,1.058462463E0
3.091914020E-1,-6.048896313E-1,-1.711501479E-1,5.181443095E-1,8.146516830E-1
3.284986490E-1,-5.782657862E-1,-1.099119335E-1,6.807987094E-1,8.999771304E-1
3.478399090E-1,-6.599195004E-1,-6.415154319E-3,-4.626179636E-1,8.059468229E-1
3.671503410E-1,-6.331849098E-1,1.604790241E-1,-1.875590980E-1,6.795991925E-1
3.864822240E-1,-4.461409748E-1,7.030678540E-2,1.063200116E0,1.155153367E0
4.057949390E-1,-3.826617897E-1,1.937087253E-2,6.422254443E-1,7.478360765E-1
4.251278280E-1,-4.120337963E-1,1.432739496E-1,-4.328259230E-1,6.145222157E-1
4.444364880E-1,-3.255224824E-1,1.570367813E-1,5.004962534E-2,3.648703910E-1
4.637772130E-1,-1.831360608E-1,3.002929874E-2,1.019894242E0,1.036641134E0
4.830907660E-1,-2.194892764E-1,-1.867931103E-3,3.589166105E-1,4.207138753E-1
5.023964040E-1,-2.717213333E-1,5.472731218E-2,-5.874248743E-1,6.495348679E-1
5.217370090E-1,-2.035453916E-1,7.216843963E-2,-3.497695923E-2,2.187747650E-1
5.410496690E-1,-8.841254562E-2,8.976977551E-4,6.417582631E-1,6.478203859E-1
5.603267900E-1,-1.274180859E-1,1.919901115E-3,-1.077266112E-1,1.668654470E-1
5.796382780E-1,-1.443468779E-1,6.686419994E-2,-6.245790124E-1,6.445198097E-1
5.989750460E-1,-1.006965488E-1,3.079362027E-2,2.601067424E-1,2.806128283E-1
