"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.015519798E-1,-4.912113026E-2,-1.977078468E-1,2.276270694E-1
1.932044700E-2,-7.409262061E-1,-1.574518830E-1,2.207024097E0,2.333391974E0
3.866553100E-2,-7.420335412E-1,-1.501021385E-1,2.207184553E0,2.333411254E0
5.787735900E-2,-8.519582152E-1,-3.600450978E-2,1.321350813E0,1.572608373E0
7.719794300E-2,-5.047677755E-1,-2.092995197E-1,8.674658090E-2,5.532827175E-1
9.654391100E-2,-4.410790801E-1,-2.801540792E-1,7.978760451E-2,5.285859673E-1
1.158644950E-1,2.746313512E-1,-8.551383764E-2,3.120780468E0,3.134007933E0
1.351683510E-1,-4.297790527E-1,1.430656016E-1,-2.412292957E0,2.454452100E0
1.545119990E-1,5.190988064E0,-4.809943736E-1,4.530259609E0,6.906588506E0
1.738302710E-1,5.700268269E0,-2.875478983E0,5.953015327E0,8.729251354E0
1.931485590E-1,2.105071545E0,4.816237986E-1,-2.421964407E0,3.244872768E0
2.124922070E-1,1.442445219E-1,-3.493386805E-1,4.508162022E0,4.523977101E0
2.318008630E-1,7.647308111E-1,-4.408207163E-2,6.573353767E0,6.617834706E0
2.511620080E-1,9.073562026E-1,1.089697778E-1,8.452411652E0,8.501672331E0
2.705048560E-1,6.873710155E-1,-1.227638349E-1,8.688035965E0,8.716049495E0
2.898222640E-1,5.560180172E-3,-1.262450367E-1,4.429198205E-1,4.605938475E-1
3.091397360E-1,-1.603604406E-1,-1.834701896E0,-7.501002312E0,7.723786778E0
3.284822640E-1,6.479306698E0,-7.563632727E-2,-5.903658390E0,8.765860969E0
3.477996720E-1,2.169147730E0,1.528474092E-1,-6.751166344E0,7.092729461E0
3.671170800E-1,-2.717353404E-1,8.224323392E-2,-2.722292900E0,2.737057303E0
3.864598960E-1,-3.687257692E-2,-1.763457619E-2,3.784724951E0,3.784945643E0
4.057773040E-1,6.161557138E-2,-1.919344813E-1,9.412248611E0,9.414407005E0
4.251214000E-1,1.864939779E-1,-1.337661743E-1,9.186447144E0,9.189313604E0
4.444388720E-1,1.205398515E-1,5.031949654E-2,4.213335991E0,4.215360255E0
4.637563440E-1,-3.370109200E-1,-3.200636059E-2,-1.259133935E0,1.303847780E0
4.830992240E-1,-9.879935384E-1,-7.391194254E-2,-6.556084156E0,6.630522880E0
5.024166960E-1,-1.519773364E0,4.069966078E-2,-9.443360329E0,9.564958015E0
5.217235760E-1,-1.258907557E0,7.975395024E-2,-6.992062569E0,7.104938275E0
5.410659760E-1,-5.740498900E-1,-5.123265088E-2,-3.611437082E-1,6.801344270E-1
5.603830320E-1,-1.373903900E-1,-1.478374898E-1,6.202945232E0,6.206227646E0
5.797253680E-1,5.640818179E-2,-5.652744323E-2,8.590802193E0,8.591173351E0
5.990424240E-1,1.326092631E-1,-4.460065439E-2,7.632153988E0,7.633436247E0
6.183848240E-1,3.149965405E-2,-1.228920296E-1,3.830426693E0,3.832527016E0
6.376969520E-1,-4.953753054E-1,-3.893986344E-2,-2.860548973E0,2.903386546E0
6.570137520E-1,-3.640734851E-1,-4.702047631E-2,-2.873407841E0,2.896762511E0
6.763306160E-1,-1.251206517E0,7.909263670E-2,-8.204846382E0,8.300076960E0
6.956728240E-1,-9.283027649E-1,7.366002072E-3,-4.873813152E0,4.961436780E0
7.149896880E-1,-3.316754103E-1,-3.803564608E-2,1.070807457E0,1.121643392E0
7.342963120E-1,-3.697690740E-2,-8.555833250E-2,6.586957455E0,6.587616870E0
7.536382000E-1,2.863232605E-2,-1.134541407E-1,8.819691658E0,8.820467822E0
7.729546800E-1,-2.916686423E-2,-7.506361604E-2,6.794833183E0,6.795310386E0
7.922712240E-1,-2.852520943E-1,-5.077711120E-2,1.716194630E0,1.740480129E0
8.116130480E-1,-8.242756128E-1,2.330097184E-2,-4.201388359E0,4.281546142E0
8.309295920E-1,-1.367139339E0,2.879068628E-2,-8.161057472E0,8.274826762E0
8.502460720E-1,-1.358706355E0,1.057967078E-2,-7.886931419E0,8.003117024E0
8.695879600E-1,-7.781875730E-1,-2.369337343E-2,-3.528275251E0,3.613151467E0
8.889044400E-1,-2.164963186E-1,-7.415607572E-2,2.759553671E0,2.769026226E0
9.082463920E-1,-3.689523041E-2,-7.087061554E-2,7.370809555E0,7.371242595E0
9.275594800E-1,-1.358044427E-2,-6.602442265E-2,8.147286415E0,8.147565255E0
9.468759600E-1,-1.267020106E-1,-9.030829370E-2,5.568354130E0,5.570527507E0
9.662177200E-1,-4.358444810E-1,-7.631767541E-2,3.948953152E-1,5.930658556E-1
9.855341360E-1,-9.632613063E-1,1.838160306E-2,-5.393450737E0,5.478824790E0
1.004850552E0,-1.426815629E0,3.807678819E-2,-8.324004173E0,8.445489812E0
1.024195064E0,-1.334312558E0,1.692922786E-2,-6.765815258E0,6.896153472E0
1.043511480E0,-7.744129896E-1,-1.233890653E-2,-1.846896291E0,2.002721557E0
1.062827960E0,-2.822885215E-1,-6.028933823E-2,4.019034863E0,4.029387403E0
1.082169912E0,-6.591619551E-2,-9.071942419E-2,7.667513847E0,7.668333819E0
1.101486264E0,3.436781093E-2,-9.141620994E-2,7.662414074E0,7.663036442E0
1.120802744E0,-4.607103020E-2,-7.852637023E-2,4.250483513E0,4.251458458E0
1.140140600E0,-4.338490069E-1,-1.948096044E-2,-1.242126822E0,1.315858469E0
1.159457080E0,-1.028304219E0,2.721790597E-2,-6.223103046E0,6.307548011E0
1.178773432E0,-1.430556655E0,2.599850111E-2,-7.952200890E0,8.079892775E0
1.198115256E0,-1.203717589E0,4.478048068E-3,-5.584566116E0,5.712821964E0
1.217431608E0,-6.678888202E-1,-3.764122725E-2,-3.770111203E-1,7.678735071E-1
1.236774774E0,-8.219056726E-1,-3.376524523E-2,-3.521845639E-1,8.948200900E-1
1.256090998E0,-3.246161342E-1,-7.695411891E-2,5.101677895E0,5.112574196E0
1.275432950E0,-1.014420316E-1,-6.641400605E-2,6.850115776E0,6.851188762E0
1.294749174E0,-2.841954827E-1,-6.471545249E-2,2.938715458E0,2.953134556E0
1.314065654E0,-7.179033756E-1,-1.733343862E-2,-2.541807413E0,2.641300935E0
1.333419382E0,-1.231594920E0,1.370518096E-2,-6.845861435E0,6.955776928E0
1.352735990E0,-1.367061377E0,-1.877367496E-3,-7.476321697E0,7.600279367E0
1.372052598E0,-9.464918375E-1,1.647559367E-2,-4.255857944E0,4.359867554E0
1.391369206E0,-4.082738459E-1,-5.458047241E-2,1.070078492E0,1.146618742E0
1.410685942E0,-1.497494131E-1,-8.968874812E-2,5.828794479E0,5.831407552E0
1.430011510E0,-1.178768128E-1,-7.928991318E-2,7.580137253E0,7.581468367E0
1.449353718E0,-1.621611267E-1,-7.959570736E-2,5.912736893E0,5.915495691E0
1.468670454E0,-3.899855316E-1,-3.963651136E-2,1.536482334E0,1.585697869E0
1.487987190E0,-8.681843281E-1,5.957304500E-3,-3.734812498E0,3.834397464E0
1.507304054E0,-1.322973967E0,-5.649598897E-4,-7.119950771E0,7.241820173E0
1.526654198E0,-1.288402557E0,-1.428779960E-2,-6.723046303E0,6.845402609E0
1.545982906E0,-9.243950248E-1,-4.294605460E-3,-2.893426180E0,3.037505500E0
1.565324613E0,-4.630907774E-1,-6.404484808E-2,2.396059752E0,2.441240902E0
1.584641759E0,-1.969143599E-1,-9.223330021E-2,6.389557362E0,6.393256254E0
1.603953544E0,-1.044509932E-1,-9.427636862E-2,7.227056980E0,7.228426567E0
1.623304697E0,-1.088281050E-1,-8.034438640E-2,4.818603516E0,4.820501905E0
1.642627858E0,-3.901982605E-1,-5.938296020E-2,1.446895897E-1,4.203761362E-1
1.661936586E0,-8.899041414E-1,2.802458964E-2,-4.676306248E0,4.760310377E0
1.681284780E0,-1.359591961E0,1.257126033E-2,-7.105429649E0,7.234347161E0
1.700595648E0,-1.297365189E0,-1.090743206E-2,-5.807404518E0,5.950564901E0
1.719909575E0,-8.274538517E-1,-2.895798720E-2,-1.547435760E0,1.755014494E0
1.739261311E0,-3.748309910E-1,-6.450694054E-2,3.507467985E0,3.528029349E0
1.758578659E0,-4.596616030E-1,-6.526369601E-2,3.522506714E0,3.552970826E0
1.777894397E0,-7.703229785E-2,-8.097726852E-2,6.672477245E0,6.673413211E0
1.797237025E0,-1.799057573E-1,-8.196436614E-2,3.676053762E0,3.681365983E0
1.816557600E0,-6.572423577E-1,-1.712318510E-2,-1.112126589E0,1.291931217E0
1.835898742E0,-4.019468725E-1,-2.527093515E-2,-1.142737508E0,1.211630686E0
1.855210668E0,-1.351100802E0,-8.856740315E-4,-6.846150875E0,6.978198619E0
1.874549689E0,-1.080834866E0,-2.533572540E-2,-4.776653767E0,4.897475586E0
1.893867264E0,-5.891812444E-1,-1.797752269E-2,-3.029729128E-1,6.627596215E-1
1.913182877E0,-2.676562667E-1,-5.226874352E-2,4.356607437E0,4.365134621E0
1.932520569E0,-1.880603880E-1,-9.396885335E-2,6.753172874E0,6.756444385E0
1.951837561E0,-2.105968446E-1,-1.089610755E-1,5.995821476E0,6.000508205E0
1.971154425E0,-3.858712316E-1,-6.846468151E-2,2.486003399E0,2.516703582E0
1.990495650E0,-7.550019622E-1,2.078393660E-2,-2.252849817E0,2.376087590E0
2.009815015E0,-1.182041168E0,2.791432291E-2,-5.845643997E0,5.964021653E0
2.029134184E0,-1.297126174E0,-2.748537436E-2,-6.407587051E0,6.537619106E0
2.048471901E0,-9.455979466E-1,-3.738556057E-2,-3.638367653E0,3.759424469E0
2.067788466E0,-4.995614290E-1,-2.979988046E-2,9.196810722E-1,1.047025754E0
2.087110538E0,-2.710462809E-1,-6.626917422E-2,5.017884254E0,5.025636286E0
2.106454050E0,-2.101971954E-1,-8.140202612E-2,6.602420807E0,6.606267453E0
2.125769232E0,-1.714127809E-1,-8.195548505E-2,5.139719009E0,5.143229583E0
2.145089642E0,-3.659590483E-1,-4.554093257E-2,1.286183476E0,1.338008945E0
2.164418359E0,-8.087872267E-1,2.261710120E-3,-3.251138926E0,3.350230769E0
2.183741608E0,-1.247923851E0,5.830930604E-5,-6.107415199E0,6.233605246E0
2.203059022E0,-1.299404263E0,1.762430998E-3,-5.769364834E0,5.913884099E0
2.222373500E0,-9.324774146E-1,7.866190746E-3,-2.497324467E0,2.665746705E0
2.241718035E0,-5.390325785E-1,-4.030509666E-2,2.050099134E0,2.120162042E0
2.261040412E0,-2.929875255E-1,-9.482866526E-2,5.562527657E0,5.571045512E0
2.280362691E0,-1.919023395E-1,-9.631074965E-2,6.305779457E0,6.309433955E0
2.299696722E0,-2.262793928E-1,-6.988099217E-2,4.189155579E0,4.195844394E0
2.319012229E0,-4.803198874E-1,-2.048321441E-2,1.066317558E-1,4.924399330E-1
2.338353788E0,-9.313843250E-1,9.032812086E-4,-4.016809464E0,4.123376752E0
2.357670180E0,-1.311720371E0,-1.375636552E-2,-6.105092525E0,6.244433867E0
2.376990601E0,-1.131781220E0,-2.641954459E-2,-5.010053635E0,5.136366823E0
2.396334848E0,-7.189879417E-1,-2.141444571E-2,-1.416166902E0,1.588373675E0
2.415651323E0,-3.915165961E-1,-5.567581952E-2,2.954257965E0,2.980608187E0
2.434966516E0,-2.533752322E-1,-6.820777804E-2,5.830297947E0,5.836199573E0
2.454277052E0,-2.456904054E-1,-6.960806996E-2,5.885842323E0,5.891379203E0
2.473627029E0,-3.802984655E-1,-7.024092227E-2,3.229226112E0,3.252301031E0
2.492944011E0,-6.989321709E-1,-4.705907777E-2,-9.485511184E-1,1.179181903E0
2.512266137E0,-1.079794645E0,1.528068818E-2,-4.611822128E0,4.736569784E0
2.531607151E0,-1.274231553E0,-2.603265748E-4,-5.886820793E0,6.023149107E0
2.550918456E0,-1.054281592E0,1.491621952E-3,-4.145476341E0,4.277439187E0
2.570262513E0,-6.604011655E-1,-4.723178595E-2,-3.025273383E-1,7.279308562E-1
2.589576798E0,-3.704143763E-1,-6.906337291E-2,3.751805544E0,3.770679169E0
2.608894046E0,-2.725202143E-1,-8.281048387E-2,5.872145653E0,5.879049193E0
2.628245196E0,-2.894286513E-1,-7.042445242E-2,5.266255856E0,5.274673382E0
2.647556178E0,-4.540061355E-1,-4.406011850E-2,2.197899580E0,2.244732819E0
2.666871137E0,-6.958816648E-1,-1.072346978E-2,-1.893896699E0,2.017724211E0
2.686217350E0,-1.124381423E0,-1.306584384E-2,-4.995758533E0,5.120742878E0
2.705529468E0,-1.275836706E0,-1.275994442E-2,-5.511669159E0,5.657421589E0
2.724851875E0,-1.050404310E0,5.069753155E-3,-3.186216831E0,3.354899792E0
2.744162954E0,-6.929211020E-1,-4.366230965E-2,7.573882341E-1,1.027464349E0
2.763497677E0,-4.125297964E-1,-6.932739168E-2,4.367394924E0,4.387382539E0
2.782817909E0,-2.783688605E-1,-8.426014334E-2,5.786655903E0,5.793960263E0
2.802163877E0,-2.425479144E-1,-7.142081112E-2,4.509299278E0,4.516382447E0
2.821480609E0,-4.322757125E-1,-6.123051792E-2,1.165213943E0,1.244321100E0
2.840794581E0,-8.252915740E-1,-1.201995835E-2,-2.755909920E0,2.876854210E0
2.860138766E0,-1.166550398E0,1.333161909E-2,-5.202831268E0,5.332023140E0
2.879459417E0,-1.228345037E0,1.302353805E-3,-4.961480141E0,5.111273658E0
2.898772733E0,-9.618016481E-1,-2.125258557E-2,-2.210997820E0,2.411229032E0
2.918116180E0,-6.148689389E-1,-7.081727684E-2,1.717856407E0,1.825954417E0
2.937429116E0,-3.785372078E-1,-7.037121803E-2,4.777209759E0,4.792700242E0
2.956771883E0,-2.582904994E-1,-7.160206139E-2,5.508402824E0,5.514919992E0
2.976088591E0,-3.921042681E-1,-5.838335305E-2,3.739530325E0,3.760484201E0
