t   R1  R2  R3  R4
0                        300.0005464710773        300.00044440963393       300.0002220953133        300.00010798653386
5                        300.49821992340344       300.4058391719738        300.20318278653406       300.09870729327025
10                       300.97612719654387       300.79690164683274       300.4001621776262        300.19443008697726
15                       301.44882214765585       301.1850145329756        300.59663675463867       300.28999736655186
20                       301.89624032747435       301.5553097976198        300.7865964647065        300.38290146109017
25                       302.3373393144695        301.92115065688927       300.9749274580383        300.47513975936937
30                       302.7784383014646        302.2869915161588        301.16325845137          300.5673780576486
35                       303.1855294793295        302.62853009148745       301.34280603472945       300.65644940258017
40                       303.56994878444067       302.953867144189         301.51649801144055       300.7434094452798
45                       303.95436808955196       303.2792041968905        301.69018998815176       300.8303694879794
50                       304.33878739466326       303.60454124959205       301.8638819648629        300.917329530679
55                       304.72320669977455       303.9298783022935        302.0375739415741        301.00428957337857
60                       305.1076260048858        304.255215354995         302.2112659182853        301.09124961607824
65                       305.47605635026855       304.5686680008881        302.3803657169243        301.17662176427444
70                       305.7805308567375        304.8345830195476        302.53109680327475       301.25564233445704
75                       306.08500536320645       305.1004980382071        302.6818278896252        301.3346629046397
80                       306.3894798696754        305.36641305686663       302.83255897597564       301.4136834748222
85                       306.69395437614435       305.63232807552606       302.98329006232603       301.4927040450048
90                       306.9984288826132        305.8982430941856        303.1340211486765        301.5717246151874
95                       307.3029033890822        306.16415811284503       303.28475223502693       301.65074518537006
100                      307.6073778955511        306.4300731315045        303.4354833213774        301.72976575555265
105                      307.9118524020201        306.69598815016406       303.5862144077278        301.80878632573524
110                      308.216326908489         306.9619031688235        303.73694549407827       301.88780689591783
115                      308.520801414958         307.227818187483         303.8876765804287        301.96682746610037
120                      308.8252759214269        307.49373320614245       304.03840766677916       302.045848036283
125                      309.12975042789583       307.759648224802         304.1891387531296        302.1248686064656
130                      309.39353201934597       307.9933817424953        304.32554558585707       302.1982834246523
135                      309.5962742382678        308.1788430087393        304.4404660381501        302.26328961484495
140                      309.79901645718957       308.3643042749833        304.55538649044297       302.32829580503767
145                      310.0017586761114        308.5497655412273        304.670306942736         302.3933019952304
150                      310.2045008950333        308.73522680747135       304.785227395029         302.4583081854231
155                      310.40724311395513       308.9206880737153        304.900147847322         302.52331437561577
160                      310.609985332877         309.1061493399593        305.015068299615         302.5883205658085
165                      310.81272755179884       309.2916106062033        305.129988751908         302.6533267560012
170                      311.0154697707207        309.4770718724473        305.244909204201         302.7183329461939
175                      311.2182119896425        309.66253313869134       305.3598296564939        302.78333913638664
180                      311.42095420856435       309.8479944049353        305.4747501087869        302.84834532657925
185                      311.6236964274862        310.03345567117935       305.5896705610799        302.91335151677197
190                      311.826438646408         310.21891693742344       305.7045910133729        302.9783577069647
195                      312.02918086532986       310.4043782036674        305.8195114656659        303.0433638971574
200                      312.2319230842517        310.58983946991145       305.93443191795893       303.1083700873501
205                      312.4346653031735        310.7753007361555        306.04935237025194       303.1733762775428
210                      312.6374075220954        310.96076200239946       306.16427282254483       303.2383824677355
