Wavelength,Nothing,Pure_water,Empty_cuvette,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,
614,NAN,-0.004,0.698,0.000,0.006,0.011,0.017,0.013,0.021,0.030,0.049,0.054,0.111,0.213,
615,NAN,0.000,0.716,0.000,0.006,0.010,0.012,0.007,0.014,0.026,0.041,0.055,0.100,0.202,
616,NAN,-0.004,0.706,-0.005,0.005,0.003,0.011,0.004,0.016,0.025,0.042,0.055,0.099,0.194,
617,NAN,0.000,0.689,-0.003,0.012,0.006,0.017,0.011,0.020,0.033,0.050,0.059,0.107,0.197,
618,NAN,0.001,0.676,0.001,0.014,0.011,0.021,0.011,0.022,0.037,0.051,0.059,0.104,0.192,
619,NAN,0.000,0.676,-0.003,0.000,0.010,0.017,0.001,0.018,0.034,0.047,0.051,0.090,0.186,
620,NAN,0.003,0.671,-0.004,-0.007,0.005,0.012,-0.002,0.017,0.029,0.043,0.051,0.088,0.179,
621,NAN,0.002,0.682,-0.001,-0.003,0.005,0.005,-0.002,0.017,0.029,0.046,0.057,0.083,0.176,
622,-3.013,0.001,0.671,0.000,-0.003,0.008,0.005,-0.003,0.016,0.030,0.049,0.056,0.086,0.176,
623,NAN,0.002,0.654,0.001,-0.004,0.006,0.000,-0.002,0.012,0.026,0.045,0.047,0.079,0.158,
624,NAN,-0.001,0.655,-0.002,-0.002,0.001,-0.004,-0.007,0.007,0.018,0.040,0.043,0.071,0.149,
625,NAN,0.001,0.653,-0.006,-0.004,-0.003,0.001,-0.006,0.004,0.019,0.041,0.045,0.074,0.151,
626,NAN,-0.001,0.657,-0.003,-0.004,0.002,0.002,-0.007,0.009,0.022,0.039,0.043,0.077,0.148,
627,NAN,-0.001,0.657,-0.001,-0.006,0.007,-0.005,-0.011,0.009,0.023,0.033,0.040,0.074,0.144,
628,NAN,0.001,0.646,-0.002,-0.004,0.006,0.005,-0.004,0.009,0.023,0.040,0.048,0.078,0.154,
629,NAN,0.001,0.646,0.002,-0.003,0.003,0.005,-0.004,0.012,0.021,0.039,0.046,0.074,0.151,
630,NAN,0.001,0.653,-0.007,-0.010,-0.002,0.000,-0.010,0.009,0.018,0.032,0.042,0.071,0.145,
631,NAN,-0.002,0.645,-0.004,-0.010,0.001,0.005,-0.010,0.006,0.019,0.034,0.045,0.075,0.148,
632,NAN,0.002,0.631,-0.003,-0.002,0.004,0.009,-0.004,0.005,0.020,0.037,0.044,0.074,0.143,
633,NAN,0.000,0.639,-0.006,-0.003,0.005,0.002,0.003,0.003,0.015,0.036,0.043,0.076,0.138,
634,NAN,0.001,0.670,0.003,-0.001,0.012,0.006,0.003,0.008,0.022,0.042,0.052,0.082,0.144,
635,NAN,0.000,0.641,0.001,-0.004,0.006,0.004,-0.003,0.009,0.021,0.044,0.049,0.079,0.145,
636,NAN,0.001,0.628,-0.006,-0.001,-0.001,0.005,-0.002,0.003,0.016,0.033,0.041,0.077,0.137,
637,NAN,-0.003,0.631,-0.002,0.000,0.004,0.014,0.003,0.004,0.016,0.038,0.042,0.080,0.136,
638,NAN,0.000,0.640,0.000,-0.005,0.001,0.009,0.003,0.002,0.012,0.040,0.040,0.078,0.138,
639,NAN,-0.002,0.630,-0.006,0.001,-0.003,0.005,-0.002,-0.002,0.008,0.029,0.035,0.073,0.132,
640,NAN,-0.003,0.618,-0.003,0.007,0.001,0.009,0.003,0.002,0.014,0.033,0.034,0.076,0.133,
641,NAN,-0.009,0.646,-0.001,0.007,0.003,0.017,0.009,0.007,0.019,0.040,0.037,0.085,0.141,
642,NAN,-0.005,0.650,0.005,0.008,0.007,0.017,0.002,0.005,0.018,0.033,0.039,0.081,0.144,
643,NAN,0.004,0.642,-0.001,0.007,0.000,0.016,0.007,-0.004,0.014,0.032,0.039,0.074,0.139,
644,NAN,0.005,0.650,-0.001,0.009,0.004,0.025,0.018,0.003,0.024,0.040,0.047,0.080,0.141,
645,NAN,-0.002,0.629,0.002,0.008,0.004,0.022,0.004,0.002,0.023,0.035,0.043,0.076,0.134,
646,NAN,-0.007,0.622,-0.001,0.012,0.005,0.014,0.000,-0.001,0.016,0.028,0.039,0.069,0.131,
647,NAN,-0.004,0.628,-0.002,0.009,0.002,0.012,0.005,0.004,0.016,0.030,0.033,0.074,0.126,
648,NAN,0.000,0.661,-0.005,0.004,0.001,0.014,0.005,0.008,0.016,0.032,0.032,0.079,0.129,
649,NAN,0.002,0.642,-0.006,0.004,0.001,0.008,0.003,-0.001,0.009,0.021,0.029,0.074,0.123,
650,NAN,-0.002,0.618,-0.003,0.008,0.003,0.012,0.008,0.001,0.011,0.022,0.034,0.069,0.122,
651,NAN,-0.003,0.620,-0.001,0.006,0.002,0.019,0.001,0.001,0.017,0.032,0.036,0.073,0.120,
652,NAN,0.001,0.610,-0.004,0.001,-0.001,0.018,-0.001,-0.001,0.016,0.033,0.038,0.067,0.117,
653,NAN,-0.001,0.612,-0.004,0.005,-0.004,0.016,0.003,0.000,0.014,0.029,0.042,0.074,0.123,
654,NAN,0.005,0.606,0.000,0.006,-0.008,0.013,0.006,0.001,0.009,0.029,0.036,0.074,0.121,
655,NAN,0.003,0.642,0.005,0.009,0.004,0.019,0.014,0.008,0.015,0.034,0.033,0.073,0.126,
656,NAN,-0.005,0.651,-0.001,0.005,0.001,0.019,0.013,0.004,0.012,0.032,0.030,0.072,0.126,
657,NAN,-0.008,0.617,-0.006,0.005,-0.004,0.009,-0.002,-0.006,0.004,0.026,0.026,0.069,0.119,
658,NAN,-0.004,0.628,-0.008,0.007,-0.007,0.009,0.002,-0.007,0.008,0.023,0.023,0.068,0.118,
659,NAN,0.000,0.639,-0.003,0.008,0.003,0.020,0.015,0.004,0.019,0.026,0.032,0.074,0.127,
660,NAN,0.003,0.628,0.000,0.005,0.003,0.023,0.013,0.006,0.017,0.028,0.034,0.074,0.124,
661,NAN,0.008,0.623,0.000,0.004,-0.001,0.022,0.017,0.004,0.014,0.030,0.033,0.075,0.118,
662,NAN,-0.001,0.618,0.004,0.009,-0.001,0.021,0.019,0.004,0.014,0.027,0.034,0.078,0.123,
663,NAN,0.001,0.612,-0.004,0.005,-0.007,0.014,0.004,-0.004,0.007,0.023,0.021,0.066,0.111,
664,NAN,0.004,0.640,-0.005,0.006,-0.007,0.006,0.009,-0.004,0.006,0.023,0.020,0.067,0.110,
665,NAN,-0.002,0.646,-0.006,0.009,-0.001,0.012,0.015,-0.002,0.005,0.024,0.024,0.069,0.109,
666,NAN,-0.005,0.605,-0.017,0.006,-0.007,0.002,-0.001,-0.016,-0.005,0.013,0.018,0.051,0.096,
667,NAN,-0.008,0.613,-0.018,0.001,-0.013,0.005,-0.008,-0.014,-0.002,0.016,0.019,0.060,0.103,
668,NAN,-0.003,0.595,-0.003,0.003,-0.009,0.007,-0.004,-0.011,0.004,0.019,0.021,0.060,0.106,
669,NAN,0.001,0.571,0.002,0.005,-0.002,0.009,0.002,-0.011,0.006,0.020,0.026,0.065,0.105,
670,NAN,-0.002,0.595,-0.006,0.001,-0.014,0.012,0.005,-0.010,-0.001,0.014,0.025,0.057,0.092,
671,NAN,-0.002,0.591,-0.002,0.007,-0.006,0.016,0.014,-0.008,0.001,0.016,0.020,0.061,0.100,
672,NAN,-0.001,0.588,-0.004,0.007,-0.004,0.015,0.012,-0.010,0.003,0.013,0.021,0.061,0.099,
673,NAN,0.001,0.595,-0.013,-0.002,-0.014,-0.001,0.005,-0.022,-0.011,-0.002,0.012,0.044,0.081,
674,NAN,0.001,0.618,-0.016,0.002,-0.012,-0.001,0.000,-0.017,-0.006,0.002,0.008,0.045,0.089,
675,NAN,0.002,0.605,-0.010,0.013,-0.006,0.014,0.004,-0.008,0.010,0.018,0.023,0.057,0.105,
676,NAN,0.000,0.596,-0.009,0.009,-0.004,0.010,0.009,-0.009,0.005,0.013,0.015,0.056,0.101,
677,NAN,-0.001,0.595,-0.003,0.007,-0.002,0.011,0.014,-0.008,0.000,0.013,0.015,0.059,0.098,
678,NAN,0.000,0.605,-0.004,0.009,-0.005,0.016,0.014,-0.009,-0.005,0.015,0.015,0.054,0.099,
679,NAN,-0.001,0.601,-0.008,0.006,-0.010,0.014,0.015,-0.017,-0.003,0.010,0.017,0.055,0.093,
680,NAN,-0.003,0.604,-0.005,0.016,-0.012,0.014,0.023,-0.017,0.007,0.015,0.014,0.057,0.093,
681,NAN,-0.001,0.609,-0.001,0.022,-0.011,0.007,0.018,-0.012,0.000,0.017,0.014,0.052,0.089,
682,NAN,0.007,0.594,-0.006,0.011,-0.017,-0.001,0.004,-0.020,-0.009,0.012,0.011,0.053,0.080,
683,NAN,0.000,0.628,0.001,0.019,-0.008,0.010,0.018,-0.019,0.004,0.016,0.013,0.057,0.097,
684,-3.176,-0.009,0.608,-0.005,0.028,-0.008,0.021,0.021,-0.017,0.004,0.016,0.011,0.059,0.098,
685,-3.439,-0.001,0.617,-0.011,0.026,-0.013,0.019,0.022,-0.012,0.010,0.018,0.018,0.065,0.100,
686,NAN,0.000,0.610,-0.006,0.017,-0.006,0.024,0.027,-0.009,0.011,0.015,0.025,0.062,0.106,
687,NAN,-0.002,0.595,-0.012,0.013,-0.007,0.013,0.021,-0.016,0.006,0.008,0.012,0.050,0.092,
688,-3.029,-0.001,0.587,-0.013,0.013,-0.007,0.008,0.019,-0.013,0.004,0.010,0.009,0.052,0.090,
689,NAN,0.000,0.593,-0.006,0.019,-0.011,0.011,0.026,-0.019,0.009,0.010,0.013,0.052,0.088,
690,-2.684,0.000,0.585,-0.008,0.022,-0.015,0.011,0.024,-0.023,0.003,0.004,0.009,0.057,0.085,
691,-2.312,-0.004,0.600,-0.014,0.022,-0.013,0.015,0.026,-0.013,0.000,0.007,0.015,0.059,0.084,
692,NAN,-0.002,0.619,-0.009,0.023,-0.009,0.016,0.031,-0.006,0.015,0.019,0.023,0.057,0.091,
693,NAN,-0.003,0.615,0.002,0.020,-0.007,0.017,0.030,-0.005,0.016,0.021,0.016,0.053,0.095,
694,-3.346,-0.002,0.604,0.001,0.019,-0.003,0.025,0.030,-0.002,0.016,0.021,0.017,0.063,0.102,
695,NAN,0.006,0.576,-0.002,0.019,-0.003,0.011,0.017,-0.015,0.012,0.008,0.013,0.060,0.086,
696,NAN,0.017,0.588,-0.004,0.029,-0.001,0.019,0.026,-0.001,0.022,0.022,0.020,0.062,0.090,
697,NAN,0.007,0.611,-0.003,0.031,-0.006,0.018,0.036,-0.004,0.023,0.026,0.021,0.058,0.088,
698,NAN,0.002,0.604,0.001,0.016,-0.010,0.003,0.018,-0.023,0.007,0.000,0.003,0.047,0.069,
699,NAN,-0.004,0.585,-0.007,0.011,-0.007,0.006,0.014,-0.010,0.001,0.000,0.006,0.048,0.071,
700,NAN,-0.006,0.576,-0.009,0.026,-0.008,0.017,0.019,-0.004,0.009,0.013,0.015,0.052,0.082,
701,NAN,0.002,0.569,-0.009,0.024,-0.011,0.006,0.013,-0.012,0.003,-0.002,0.004,0.042,0.074,
702,NAN,0.006,0.590,-0.008,0.017,-0.006,0.009,0.017,-0.014,-0.001,0.004,0.007,0.049,0.074,
703,NAN,0.001,0.590,-0.007,0.018,-0.009,0.006,0.017,-0.008,0.003,0.009,0.006,0.050,0.076,
704,NAN,0.005,0.608,-0.001,0.024,-0.006,0.013,0.030,-0.010,0.001,0.007,0.012,0.047,0.074,
705,NAN,-0.005,0.603,-0.008,0.017,-0.018,0.010,0.029,-0.020,-0.003,0.004,0.013,0.034,0.070,
706,-3.068,-0.012,0.611,-0.009,0.014,-0.025,0.005,0.015,-0.019,0.002,0.005,0.003,0.045,0.072,
707,-2.607,-0.003,0.585,-0.010,0.002,-0.014,-0.001,-0.003,-0.024,0.002,0.000,-0.002,0.049,0.065,
708,NAN,0.005,0.573,-0.003,0.011,-0.013,0.009,0.012,-0.015,0.004,0.005,0.012,0.047,0.068,
709,NAN,-0.004,0.597,0.002,0.030,-0.005,0.014,0.028,-0.003,0.011,0.019,0.018,0.051,0.075,
710,-2.477,0.001,0.588,-0.008,0.020,-0.014,0.003,0.020,-0.013,-0.001,0.007,0.003,0.043,0.063,
711,-3.830,0.003,0.566,-0.013,0.007,-0.018,-0.001,0.015,-0.017,0.000,-0.006,0.004,0.041,0.062,
712,NAN,-0.002,0.571,-0.007,0.019,-0.011,0.012,0.029,-0.005,0.011,0.008,0.014,0.044,0.076,
713,NAN,-0.010,0.575,-0.004,0.019,-0.008,-0.003,0.017,-0.014,0.000,0.003,0.002,0.033,0.059,
714,NAN,-0.002,0.577,-0.005,0.005,-0.020,-0.001,0.016,-0.017,0.003,-0.005,0.008,0.045,0.060,
715,NAN,0.007,0.581,-0.010,0.014,-0.020,0.007,0.018,-0.017,0.005,0.001,0.003,0.050,0.066,
716,NAN,-0.002,0.571,-0.001,0.020,-0.013,0.001,0.018,-0.023,-0.008,0.003,-0.001,0.038,0.065,
717,NAN,0.006,0.568,-0.002,0.021,-0.012,0.010,0.028,-0.013,0.004,0.017,0.009,0.051,0.067,
718,NAN,0.006,0.599,-0.003,0.016,-0.009,0.014,0.028,-0.012,0.014,0.013,0.012,0.058,0.068,
719,-2.872,-0.006,0.563,-0.009,0.007,-0.024,-0.005,0.004,-0.032,-0.001,-0.015,-0.008,0.029,0.054,
720,NAN,0.002,0.564,0.002,0.014,-0.014,0.012,0.020,-0.010,0.013,0.001,0.007,0.044,0.071,
721,NAN,-0.003,0.544,0.001,0.017,-0.016,0.013,0.023,-0.010,0.003,-0.001,0.011,0.044,0.063,
722,NAN,-0.007,0.537,-0.001,0.026,-0.014,0.009,0.016,-0.019,-0.003,-0.005,0.005,0.047,0.064,
723,-2.480,0.007,0.562,-0.004,0.016,-0.012,0.008,0.022,-0.017,0.001,-0.005,-0.004,0.040,0.075,
724,-2.629,0.001,0.563,-0.017,0.012,-0.021,0.008,0.018,-0.020,0.005,-0.002,-0.004,0.040,0.075,
725,NAN,-0.005,0.566,-0.014,0.012,-0.028,0.001,0.016,-0.026,-0.005,0.003,-0.001,0.040,0.056,
726,NAN,-0.002,0.556,-0.020,0.007,-0.034,-0.005,0.012,-0.030,-0.019,-0.009,-0.010,0.027,0.043,
727,-3.232,0.005,0.588,-0.015,0.008,-0.025,0.010,0.022,-0.023,-0.003,-0.007,0.001,0.044,0.064,
728,NAN,-0.004,0.578,-0.013,0.013,-0.018,0.005,0.014,-0.031,-0.001,-0.010,-0.006,0.042,0.054,
729,NAN,0.003,0.567,-0.023,0.005,-0.027,-0.008,-0.001,-0.030,-0.019,-0.017,-0.025,0.032,0.049,
730,-3.061,0.006,0.544,-0.019,0.005,-0.028,0.006,0.008,-0.025,-0.015,-0.008,-0.012,0.025,0.057,
731,-3.173,-0.009,0.564,-0.013,0.019,-0.019,0.017,0.017,-0.017,0.005,-0.002,0.005,0.042,0.066,
732,NAN,-0.001,0.550,-0.013,0.012,-0.022,0.018,0.017,-0.014,0.005,0.000,0.006,0.042,0.054,
733,NAN,-0.003,0.549,-0.014,0.006,-0.029,0.013,0.012,-0.029,-0.008,-0.007,-0.006,0.038,0.049,
734,NAN,-0.010,0.521,-0.016,0.010,-0.029,-0.006,0.005,-0.032,-0.018,-0.025,-0.018,0.029,0.051,
735,-2.428,0.000,0.559,-0.004,0.019,-0.019,0.009,0.021,-0.015,0.005,-0.004,0.007,0.043,0.070,
736,-2.390,-0.007,0.579,-0.007,0.020,-0.017,0.013,0.021,-0.011,0.005,-0.003,0.010,0.045,0.064,
737,-2.640,-0.004,0.540,-0.014,0.018,-0.019,0.007,0.014,-0.024,-0.011,-0.009,0.002,0.036,0.051,
738,NAN,0.013,0.541,-0.018,0.018,-0.021,0.012,0.019,-0.010,0.005,-0.001,0.009,0.036,0.062,
739,NAN,0.004,0.587,0.000,0.021,-0.005,0.020,0.021,-0.001,0.008,0.009,0.015,0.051,0.080,
740,NAN,-0.001,0.574,-0.013,0.016,-0.015,0.010,0.016,-0.020,0.001,0.000,0.001,0.033,0.051,
741,NAN,-0.002,0.584,-0.018,0.014,-0.024,0.016,0.027,-0.025,-0.003,0.000,0.004,0.038,0.044,
742,-2.707,-0.006,0.554,-0.009,0.020,-0.017,0.024,0.026,-0.024,-0.005,-0.009,0.005,0.043,0.058,
743,-2.520,0.002,0.539,-0.011,0.022,-0.013,0.016,0.027,-0.014,-0.002,0.006,0.001,0.046,0.058,
744,NAN,0.006,0.563,-0.008,0.039,-0.006,0.007,0.025,-0.014,0.007,0.015,0.005,0.041,0.057,
745,-2.611,0.002,0.583,-0.013,0.037,-0.015,0.001,0.027,-0.026,0.000,-0.002,0.014,0.044,0.058,
746,-2.098,-0.010,0.538,-0.009,0.030,-0.009,0.022,0.048,-0.014,0.003,0.010,0.015,0.049,0.069,
747,NAN,-0.008,0.518,-0.024,0.015,-0.023,0.008,0.034,-0.032,-0.014,-0.008,-0.011,0.039,0.054,
748,NAN,-0.003,0.526,-0.015,0.012,-0.024,0.012,0.017,-0.028,-0.013,-0.014,-0.006,0.040,0.048,
749,NAN,0.003,0.522,-0.006,0.028,-0.019,0.028,0.035,-0.009,0.007,0.000,0.019,0.045,0.068,
750,NAN,-0.001,0.515,-0.007,0.022,-0.015,0.020,0.040,-0.003,-0.001,0.007,0.000,0.044,0.069,
751,NAN,-0.003,0.528,-0.018,0.015,-0.028,0.005,0.027,-0.022,-0.011,-0.010,-0.012,0.044,0.043,
752,-2.393,-0.008,0.544,-0.005,0.025,-0.020,0.009,0.019,-0.026,-0.007,-0.005,-0.009,0.041,0.046,
753,-2.698,-0.009,0.545,0.002,0.018,-0.015,0.021,0.037,-0.017,-0.004,-0.002,-0.003,0.041,0.059,
754,-3.033,0.000,0.538,-0.010,0.027,-0.024,0.015,0.031,-0.016,-0.005,-0.001,-0.008,0.044,0.059,
755,-3.304,-0.005,0.536,-0.005,0.035,-0.022,0.016,0.035,-0.020,-0.005,0.004,-0.006,0.054,0.062,
756,NAN,-0.004,0.558,-0.007,0.028,-0.011,0.023,0.034,-0.008,-0.006,0.011,0.002,0.059,0.061,
757,NAN,0.005,0.520,-0.016,0.020,-0.029,0.000,0.000,-0.030,-0.023,-0.013,-0.008,0.028,0.035,
758,NAN,0.006,0.531,-0.013,0.024,-0.022,0.006,0.014,-0.024,-0.004,-0.016,-0.003,0.033,0.043,
759,NAN,0.005,0.568,-0.016,0.013,-0.027,0.010,0.010,-0.027,-0.007,-0.020,-0.015,0.035,0.039,
760,NAN,-0.003,0.568,-0.007,0.024,-0.019,0.018,0.008,-0.025,-0.005,-0.017,-0.008,0.032,0.042,
761,NAN,-0.010,0.541,0.001,0.035,-0.016,0.019,0.033,-0.020,-0.002,-0.006,0.002,0.036,0.065,
762,NAN,-0.012,0.545,-0.008,0.030,-0.010,0.010,0.029,-0.018,-0.010,0.002,-0.004,0.046,0.063,
763,NAN,0.009,0.529,-0.007,0.022,-0.020,0.009,0.029,-0.020,-0.012,-0.011,-0.018,0.040,0.046,
764,-2.529,0.012,0.564,0.001,0.033,-0.013,0.016,0.033,-0.009,0.002,-0.006,-0.005,0.042,0.047,
765,NAN,0.006,0.530,-0.016,0.026,-0.021,0.011,0.016,-0.023,0.005,-0.010,-0.011,0.035,0.037,
766,NAN,-0.007,0.521,-0.018,0.021,-0.026,0.017,0.037,-0.020,0.002,-0.009,-0.011,0.052,0.050,
767,-2.842,-0.004,0.565,0.002,0.033,-0.025,0.024,0.034,-0.026,0.008,-0.002,0.000,0.050,0.063,
768,NAN,0.008,0.535,0.007,0.031,-0.012,0.006,0.018,-0.027,-0.002,-0.012,-0.004,0.040,0.050,
769,NAN,0.007,0.506,-0.008,0.021,-0.013,-0.001,0.027,-0.018,-0.007,-0.013,-0.011,0.029,0.037,
770,NAN,0.003,0.519,-0.006,0.015,-0.021,0.001,0.027,-0.026,-0.005,-0.006,-0.011,0.027,0.045,
771,NAN,0.001,0.489,-0.017,0.004,-0.031,-0.008,0.017,-0.043,-0.008,-0.011,-0.021,0.024,0.030,
772,-2.909,0.011,0.519,-0.018,0.025,-0.025,0.002,0.018,-0.039,-0.012,-0.016,-0.024,0.018,0.038,
773,-2.438,-0.015,0.552,-0.008,0.030,-0.022,0.017,0.035,-0.016,0.001,-0.005,0.002,0.042,0.055,
774,NAN,-0.019,0.528,0.001,0.018,-0.019,0.010,0.024,-0.022,-0.011,-0.008,0.001,0.030,0.042,
775,NAN,-0.006,0.533,-0.012,0.008,-0.018,-0.002,0.012,-0.028,-0.008,-0.022,-0.006,0.019,0.032,
776,NAN,-0.014,0.542,-0.027,-0.003,-0.023,0.000,0.021,-0.023,-0.007,-0.005,-0.011,0.017,0.028,
777,NAN,0.005,0.519,-0.012,0.003,-0.034,-0.011,0.011,-0.032,-0.023,-0.019,-0.025,0.015,0.011,
778,-2.956,-0.001,0.532,0.003,0.023,-0.016,0.013,0.028,-0.021,-0.007,-0.001,-0.013,0.040,0.042,
779,NAN,0.005,0.551,-0.013,0.004,-0.020,0.000,0.024,-0.025,-0.011,-0.014,-0.011,0.020,0.037,
780,NAN,0.000,0.526,-0.018,-0.002,-0.042,-0.015,0.012,-0.031,-0.029,-0.029,-0.025,0.022,0.027,
781,NAN,0.003,0.596,-0.008,0.019,-0.029,-0.005,0.013,-0.022,-0.009,-0.011,-0.004,0.032,0.045,
782,-2.238,0.001,0.522,-0.002,0.014,-0.023,0.011,0.031,-0.025,-0.012,-0.011,-0.015,0.017,0.034,
783,NAN,-0.004,0.514,-0.008,0.006,-0.022,0.012,0.035,-0.029,-0.006,-0.016,-0.023,0.018,0.038,
784,-2.636,0.003,0.518,-0.023,0.004,-0.036,0.005,0.014,-0.035,-0.015,-0.020,-0.020,0.019,0.047,
785,NAN,-0.001,0.508,-0.014,0.018,-0.035,-0.008,0.014,-0.036,-0.018,-0.024,-0.010,0.017,0.029,
786,NAN,-0.008,0.532,-0.027,0.001,-0.032,0.002,0.011,-0.031,-0.018,-0.018,0.003,0.020,0.030,
787,NAN,-0.009,0.564,-0.021,0.000,-0.024,0.015,0.024,-0.030,-0.012,-0.017,0.010,0.028,0.031,
788,NAN,0.012,0.540,-0.007,0.019,-0.015,0.014,0.024,-0.026,-0.004,-0.002,0.004,0.046,0.024,
789,NAN,0.021,0.509,-0.008,0.015,-0.002,0.013,0.042,-0.022,-0.002,0.004,0.007,0.040,0.032,
790,NAN,0.001,0.472,0.001,0.020,-0.002,0.007,0.035,-0.012,0.001,0.007,0.001,0.020,0.023,
791,-2.115,-0.005,0.456,-0.006,0.024,-0.003,-0.001,0.013,-0.021,-0.004,-0.012,-0.014,0.026,0.028,
792,-2.613,-0.015,0.485,-0.001,0.021,-0.010,0.017,0.037,-0.021,-0.003,0.006,-0.012,0.035,0.033,
793,-2.713,-0.012,0.555,-0.001,0.036,-0.007,0.033,0.047,-0.014,-0.001,0.001,0.000,0.044,0.041,
794,-3.182,0.007,0.558,-0.013,0.018,-0.018,0.006,0.038,-0.034,-0.025,-0.014,-0.004,0.024,0.029,
795,-2.400,0.009,0.484,-0.020,0.003,-0.023,-0.008,0.025,-0.056,-0.035,-0.017,-0.008,0.019,0.019,
796,-2.592,0.004,0.510,-0.003,0.014,-0.024,0.032,0.032,-0.015,-0.003,-0.002,0.008,0.040,0.042,
797,NAN,0.016,0.519,0.004,0.029,-0.040,0.026,0.025,-0.018,-0.017,0.000,-0.007,0.027,0.030,
798,-2.139,-0.010,0.470,-0.004,0.037,-0.017,0.017,0.022,-0.013,-0.014,-0.006,0.001,0.027,0.029,
799,-2.558,-0.001,0.491,-0.007,0.038,-0.007,0.033,0.031,-0.001,-0.008,0.011,0.015,0.051,0.045,
800,NAN,0.003,0.510,-0.009,0.031,-0.024,0.021,0.013,-0.028,-0.010,-0.008,0.005,0.045,0.048,
801,NAN,0.005,0.496,-0.014,0.026,-0.022,-0.002,0.028,-0.030,-0.022,-0.008,-0.003,0.027,0.038,
802,-2.055,0.010,0.504,-0.023,0.013,-0.034,-0.012,0.039,-0.028,-0.013,-0.012,-0.004,0.046,0.039,
803,-2.148,-0.007,0.519,-0.029,-0.001,-0.042,-0.001,0.039,-0.033,-0.025,-0.008,0.000,0.041,0.040,
804,NAN,0.005,0.540,-0.014,0.005,-0.012,0.006,0.024,-0.034,-0.017,-0.005,-0.018,0.023,0.039,
805,NAN,-0.016,0.523,-0.018,0.035,0.018,0.011,0.041,-0.009,-0.007,-0.007,0.010,0.051,0.058,
806,-1.966,-0.006,0.486,-0.026,0.040,-0.008,0.000,0.051,-0.012,-0.007,0.001,0.010,0.039,0.051,
807,NAN,-0.006,0.463,-0.040,0.005,-0.041,-0.006,0.030,-0.034,-0.023,-0.002,-0.017,0.031,0.039,
808,-4.084,-0.012,0.498,-0.024,0.010,-0.027,0.001,0.033,-0.039,-0.010,-0.011,-0.021,0.035,0.034,
809,NAN,0.011,0.475,0.015,0.043,-0.001,0.025,0.047,0.017,0.016,0.009,0.020,0.051,0.073,
810,-2.311,0.026,0.485,-0.003,0.041,-0.007,-0.001,0.042,0.002,-0.004,-0.004,0.003,0.044,0.067,
811,-1.668,0.000,0.520,-0.028,0.028,-0.039,0.000,0.054,-0.024,-0.004,-0.002,-0.003,0.054,0.041,
812,NAN,-0.005,0.472,-0.029,0.035,-0.028,0.012,0.033,-0.022,-0.007,-0.009,-0.012,0.058,0.045,
813,NAN,0.009,0.469,-0.002,0.027,-0.031,0.016,0.030,-0.035,-0.011,-0.007,-0.018,0.037,0.040,
814,NAN,-0.007,0.483,-0.019,0.029,-0.029,0.004,0.060,-0.037,0.004,-0.002,-0.018,0.040,0.014,
815,NAN,0.004,0.467,-0.025,0.043,-0.040,0.006,0.052,-0.036,0.002,-0.024,-0.018,0.064,0.043,
816,NAN,-0.001,0.479,-0.015,0.030,-0.050,0.032,0.073,-0.016,-0.003,-0.008,0.008,0.058,0.066,
817,-2.048,-0.016,0.477,0.014,0.034,-0.022,0.042,0.081,-0.006,0.016,0.025,0.026,0.081,0.080,
818,NAN,-0.005,0.494,-0.002,0.031,-0.019,0.030,0.060,-0.008,0.015,0.006,0.001,0.056,0.074,
819,NAN,-0.014,0.486,-0.023,0.015,-0.042,0.005,0.039,-0.048,-0.019,-0.024,-0.001,0.017,0.060,
820,NAN,0.000,0.488,-0.009,0.029,-0.012,0.016,0.067,-0.029,0.019,0.015,0.003,0.038,0.060,
821,NAN,-0.002,0.514,-0.027,0.036,-0.029,0.006,0.040,-0.039,-0.002,-0.008,0.009,0.040,0.035,
822,NAN,-0.007,0.491,-0.017,0.035,-0.052,0.002,0.016,-0.028,0.004,-0.024,0.013,0.019,0.014,
823,NAN,0.019,0.431,-0.015,0.023,-0.032,0.004,0.028,-0.026,-0.001,-0.023,-0.001,0.041,0.030,
824,NAN,0.000,0.473,-0.010,0.048,-0.015,0.013,0.044,-0.026,-0.024,-0.032,-0.011,0.041,0.062,
825,NAN,-0.009,0.447,-0.002,0.037,-0.001,0.024,0.058,-0.008,-0.017,-0.001,-0.008,0.053,0.047,
826,NAN,0.014,0.437,0.004,0.040,0.015,0.022,0.058,-0.012,0.007,-0.010,0.007,0.046,0.026,
827,-2.583,-0.023,0.484,0.007,0.063,0.016,0.040,0.079,-0.012,0.035,-0.001,0.017,0.055,0.050,
828,-3.106,-0.013,0.452,-0.006,0.031,-0.012,0.035,0.066,-0.014,0.012,0.006,0.016,0.057,0.039,
829,NAN,-0.019,0.479,0.005,0.042,-0.010,0.056,0.083,-0.005,0.021,0.024,0.028,0.059,0.055,
830,NAN,0.000,0.490,0.020,0.032,0.005,0.026,0.075,-0.021,-0.001,-0.024,-0.008,0.017,0.039,
831,NAN,-0.007,0.379,0.001,0.044,-0.011,0.022,0.052,0.003,0.007,-0.017,-0.035,0.059,0.058,
832,-3.357,0.006,0.393,-0.002,0.040,-0.019,0.031,0.063,0.020,0.018,0.011,0.001,0.066,0.044,
