WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
192.363	8009.835	8023.275	8003.955	0		
192.734	6044.038	6058.555	6035.400	0		
193.105	4847.009	4864.941	4844.100	0		
193.475	5118.775	5142.952	5123.611	0		
193.846	-65.517	-49.883	-49.373	0		
194.217	-54.981	-49.373	-47.164	0		
194.587	-48.524	-38.499	-43.426	0		
194.958	-39.859	-28.816	-31.704	0		
195.329	-29.665	-23.041	-28.137	0		
195.699	-24.909	-12.340	-36.800	0		
196.070	-27.457	-10.642	-21.342	0		
196.440	-21.682	-10.642	-5.208	0		
196.811	-10.982	-9.793	-4.698	0		
197.182	-10.132	-4.528	-4.868	0		
197.552	-3.849	2.094	10.584	0		
197.923	8.716	4.811	1.585	0		
198.293	20.091	7.018	8.377	0		
198.663	21.789	14.489	18.563	0		
199.034	39.781	27.560	32.992	0		
199.404	49.454	31.804	35.199	0		
199.775	47.588	41.139	51.830	0		
200.145	38.763	49.624	55.903	0		
200.516	50.982	51.830	52.848	0		
200.886	48.776	51.491	57.769	0		
201.256	50.303	56.581	76.940	0		
201.627	57.090	69.137	84.574	0		
201.997	72.699	79.994	85.422	0		
202.367	77.280	80.503	93.393	0		
202.737	83.047	96.107	92.376	0		
203.108	86.100	95.937	80.503	0		
203.478	82.029	92.545	82.877	0		
203.848	79.315	89.832	95.428	0		
204.218	82.029	98.990	102.890	0		
204.588	76.601	90.849	104.077	0		
204.959	86.609	101.364	108.486	0		
205.329	94.241	101.025	116.964	0		
205.699	100.177	103.399	109.673	0		
206.069	93.054	98.820	107.299	0		
206.439	108.656	101.364	113.064	0		
206.809	97.124	100.516	110.012	0		
207.179	90.849	112.386	94.411	0		
207.549	95.598	116.286	94.072	0		
207.919	97.463	123.576	99.838	0		
208.289	97.294	115.777	108.825	0		
208.659	94.920	115.099	113.742	0		
209.029	90.680	103.060	121.711	0		
209.399	85.591	100.346	128.831	0		
209.769	81.690	101.364	126.627	0		
210.139	84.404	93.732	116.794	0		
210.509	89.492	100.007	113.234	0		
210.879	88.644	104.416	104.077	0		
211.249	89.662	99.668	95.937	0		
211.618	86.270	90.680	93.393	0		
211.988	74.565	105.773	96.616	0		
212.358	73.547	98.990	93.902	0		
212.728	81.351	97.803	100.346	0		
213.098	69.476	95.768	90.340	0		
213.467	78.637	102.212	87.627	0		
213.837	77.280	98.990	86.948	0		
214.207	72.699	98.651	89.323	0		
214.576	76.940	97.294	85.422	0		
214.946	83.725	105.603	96.276	0		
215.316	77.788	112.556	98.481	0		
215.685	75.414	104.416	94.072	0		
216.055	81.011	102.551	93.224	0		
216.425	75.074	110.351	97.124	0		
216.794	70.155	101.025	104.077	0		
217.164	66.592	86.270	103.908	0		
217.533	67.270	84.234	108.316	0		
217.903	68.797	93.054	116.116	0		
218.272	65.913	88.814	115.777	0		
218.642	66.422	90.680	111.708	0		
219.011	64.047	94.241	110.351	0		
219.381	76.092	100.855	108.147	0		
219.750	74.056	94.241	92.884	0		
220.120	80.842	94.241	93.224	0		
220.489	86.100	97.294	96.616	0		
220.858	89.323	99.159	95.937	0		
221.228	86.439	97.633	94.750	0		
221.597	87.966	101.703	101.364	0		
221.966	89.662	98.651	101.534	0		
222.336	86.270	96.276	91.697	0		
222.705	86.948	88.983	87.796	0		
223.074	82.538	101.703	95.598	0		
223.443	81.181	83.895	98.990	0		
223.813	78.128	87.118	89.153	0		
224.182	83.895	86.948	89.323	0		
224.551	81.351	97.803	96.955	0		
224.920	80.163	81.690	92.206	0		
