WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
192.363	8009.835	8023.275	8021.070	0		
192.734	6044.038	6058.555	6059.515	0		
193.105	4847.009	4864.941	4860.741	0		
193.475	5118.775	5142.952	5136.344	0		
193.846	-65.517	-49.883	-50.053	0		
194.217	-54.981	-49.373	-50.053	0		
194.587	-48.524	-38.499	-61.438	0		
194.958	-39.859	-28.816	-44.106	0		
195.329	-29.665	-23.041	-33.233	0		
195.699	-24.909	-12.340	-26.438	0		
196.070	-27.457	-10.642	-13.869	0		
196.440	-21.682	-10.642	6.169	0		
196.811	-10.982	-9.793	-2.151	0		
197.182	-10.132	-4.528	-3.340	0		
197.552	-3.849	2.094	-3.340	0		
197.923	8.716	4.811	1.415	0		
198.293	20.091	7.018	18.054	0		
198.663	21.789	14.489	31.464	0		
199.034	39.781	27.560	36.556	0		
199.404	49.454	31.804	49.454	0		
199.775	47.588	41.139	49.963	0		
200.145	38.763	49.624	45.891	0		
200.516	50.982	51.830	47.757	0		
200.886	48.776	51.491	55.563	0		
201.256	50.303	56.581	56.581	0		
201.627	57.090	69.137	64.386	0		
201.997	72.699	79.994	66.422	0		
202.367	77.280	80.503	81.351	0		
202.737	83.047	96.107	90.340	0		
203.108	86.100	95.937	97.803	0		
203.478	82.029	92.545	102.721	0		
203.848	79.315	89.832	110.521	0		
204.218	82.029	98.990	110.521	0		
204.588	76.601	90.849	112.725	0		
204.959	86.609	101.364	118.998	0		
205.329	94.241	101.025	114.421	0		
205.699	100.177	103.399	101.025	0		
206.069	93.054	98.820	100.855	0		
206.439	108.656	101.364	105.264	0		
206.809	97.124	100.516	98.481	0		
207.179	90.849	112.386	104.756	0		
207.549	95.598	116.286	112.047	0		
207.919	97.463	123.576	108.825	0		
208.289	97.294	115.777	106.960	0		
208.659	94.920	115.099	102.042	0		
209.029	90.680	103.060	100.516	0		
209.399	85.591	100.346	102.381	0		
209.769	81.690	101.364	95.768	0		
210.139	84.404	93.732	84.743	0		
210.509	89.492	100.007	96.785	0		
210.879	88.644	104.416	98.990	0		
211.249	89.662	99.668	101.364	0		
211.618	86.270	90.680	109.503	0		
211.988	74.565	105.773	112.895	0		
212.358	73.547	98.990	116.625	0		
212.728	81.351	97.803	110.521	0		
213.098	69.476	95.768	111.030	0		
213.467	78.637	102.212	110.860	0		
213.837	77.280	98.990	106.960	0		
214.207	72.699	98.651	102.381	0		
214.576	76.940	97.294	103.738	0		
214.946	83.725	105.603	97.294	0		
215.316	77.788	112.556	92.036	0		
