WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
252.919	74.565	84.234	110.803	0		
253.287	70.155	90.680	111.482	0		
253.654	77.110	88.983	106.734	0		
254.022	83.556	90.171	100.968	0		
254.390	92.884	95.598	90.623	0		
254.757	88.135	100.007	83.838	0		
255.125	89.492	95.937	85.026	0		
255.492	85.591	102.212	86.722	0		
255.860	82.199	98.990	88.249	0		
256.227	78.467	94.072	92.149	0		
256.595	89.492	87.627	87.061	0		
256.962	95.598	87.627	89.605	0		
257.329	101.873	85.761	94.693	0		
257.697	104.416	88.983	94.185	0		
258.064	103.399	90.001	94.185	0		
258.431	95.428	91.867	105.208	0		
258.799	95.428	87.966	100.629	0		
259.166	84.913	84.234	91.810	0		
259.533	79.315	84.913	97.407	0		
259.901	78.297	92.545	98.255	0		
260.268	74.905	102.551	89.945	0		
260.635	77.449	105.603	99.442	0		
261.002	78.637	107.638	105.886	0		
261.369	82.029	106.282	100.629	0		
261.737	87.966	100.686	97.237	0		
262.104	87.287	88.135	105.716	0		
262.471	79.315	92.545	103.003	0		
262.838	82.708	97.294	106.564	0		
263.205	81.690	103.060	115.042	0		
263.572	76.262	110.860	124.706	0		
263.939	79.146	119.846	118.942	0		
264.306	84.065	121.033	110.803	0		
264.673	77.788	112.895	109.786	0		
265.040	66.252	111.030	98.255	0		
265.407	74.735	112.725	92.319	0		
265.774	76.601	108.825	90.453	0		
266.141	64.386	116.794	94.693	0		
266.508	68.967	120.355	101.647	0		
266.874	80.672	121.542	97.746	0		
267.241	79.654	115.608	100.968	0		
267.608	82.199	125.271	100.120	0		
267.975	92.206	108.825	103.512	0		
268.342	94.580	111.708	106.395	0		
268.708	88.475	109.503	116.568	0		
269.075	90.340	112.047	108.769	0		
269.442	87.457	95.768	112.499	0		
269.808	90.849	97.294	106.734	0		
270.175	91.528	91.528	97.237	0		
270.542	95.089	87.118	93.676	0		
270.908	85.761	80.333	97.068	0		
271.275	87.796	82.029	102.834	0		
271.641	86.609	83.895	101.138	0		
272.008	81.351	82.877	91.132	0		
272.375	89.153	79.994	90.284	0		
272.741	94.580	86.948	83.330	0		
273.107	97.124	93.224	79.937	0		
273.474	96.276	94.580	85.026	0		
273.840	94.241	92.884	100.460	0		
274.207	95.937	107.130	102.325	0		
274.573	92.715	100.177	105.886	0		
274.940	86.439	90.171	101.307	0		
275.306	91.358	86.439	98.933	0		
275.672	97.633	91.697	96.729	0		
276.039	95.428	89.832	94.863	0		
276.405	97.294	97.124	99.103	0		
276.771	91.019	98.990	100.290	0		
277.137	90.510	108.995	97.237	0		
277.504	89.662	111.708	90.114	0		
277.870	78.128	108.995	93.167	0		
278.236	77.619	100.686	104.869	0		
278.602	92.545	112.047	107.073	0		
278.968	95.259	110.182	111.821	0		
279.334	92.036	104.077	117.077	0		
279.700	99.499	103.568	114.195	0		
280.066	101.703	111.708	101.307	0		
280.432	95.089	107.638	98.594	0		
280.798	88.983	108.995	99.612	0		
281.164	92.206	107.130	99.951	0		
281.530	87.457	109.503	106.225	0		
281.896	83.556	102.890	112.499	0		
282.262	86.609	105.434	107.582	0		
282.628	82.029	107.130	103.682	0		
282.994	81.181	110.351	100.629	0		
283.360	86.779	104.247	100.968	0		
283.726	87.627	101.364	95.033	0		
284.092	87.966	98.651	97.407	0		
284.457	96.785	89.662	96.050	0		
284.823	95.768	91.528	91.301	0		
285.189	95.259	88.305	87.061	0		
285.555	90.171	105.434	86.213	0		
285.920	95.259	114.082	86.722	0		
286.286	93.732	118.998	92.149	0		
286.652	93.732	116.964	102.494	0		
287.017	92.715	120.694	107.243	0		
287.383	97.124	106.451	107.921	0		
287.749	86.948	96.107	110.295	0		
288.114	87.457	95.089	112.160	0		
288.480	89.323	98.820	114.195	0		
288.845	92.715	99.159	115.042	0		
289.211	99.499	93.732	116.060	0		
289.576	106.621	93.732	121.655	0		
289.942	107.130	92.715	120.807	0		
290.307	104.077	94.241	109.277	0		
290.672	98.481	103.908	106.395	0		
291.038	97.463	104.925	110.464	0		
291.403	94.580	110.182	107.582	0		
291.768	89.492	111.538	100.629	0		
292.134	97.463	112.386	98.764	0		
292.499	95.937	106.790	101.477	0		
292.864	99.329	117.133	101.647	0		
293.230	97.124	119.677	99.781	0		
293.595	98.481	118.490	96.898	0		
293.960	98.481	113.403	109.447	0		
294.325	92.884	107.469	97.237	0		
294.690	88.135	104.077	88.757	0		
295.055	91.188	97.972	93.506	0		
295.421	97.972	101.025	106.225	0		
295.786	95.259	104.247	100.629	0		
296.151	105.264	114.251	114.873	0		
296.516	101.194	109.503	119.451	0		
296.881	98.311	111.369	113.516	0		
297.246	91.867	104.416	112.838	0		
297.611	92.715	100.007	111.312	0		
297.976	100.007	94.072	100.460	0		
298.341	109.673	95.089	101.816	0		
298.705	111.538	93.224	106.225	0		
299.070	108.995	100.516	96.898	0		
299.435	101.703	108.316	91.810	0		
299.800	97.803	107.299	98.933	0		
300.165	89.832	105.773	95.033	0.113965188127001		
300.530	87.966	108.147	91.301	0.0401361106971976		
300.894	97.972	110.860	99.781	0.016980172870916		
301.259	100.346	110.521	101.138	0.00636443864089481		
301.624	95.768	117.642	98.764	0.0295844051680688		
301.988	96.616	125.441	97.068	0.0033537008089481		
302.353	93.902	117.812	106.225	0.0836722620544961		
302.718	84.404	114.590	111.482	0.183127146919828		
303.082	83.725	114.251	121.485	0.324310178996594		
303.447	81.520	113.912	127.419	0.526686952465449		
303.811	73.547	115.777	130.809	0.827852899863981		
304.176	73.887	124.763	119.451	0.341834378040057		
304.541	81.860	126.458	104.529	0.169106837518976		
304.905	87.966	118.320	101.647	0.114833753729119		
305.270	89.492	116.116	93.676	0.0427140851632053		
305.634	90.171	119.168	91.980	0.0178893908509848		
305.998	95.089	119.168	94.693	-0.00436397374165979		
306.363	84.913	114.421	99.951	0.133961201484668		
306.727	79.994	115.268	105.716	0.295557413875837		
307.091	89.662	111.708	105.208	0.307740440181728		
307.456	105.434	106.112	108.938	0.0602984065190326		
307.820	101.703	108.316	107.751	0.0673974870328543		
308.184	104.756	108.486	103.512	-0.00890529428696058		
308.549	107.638	118.490	99.612	-0.0544747682750069		
308.913	99.159	123.067	92.489	-0.0540957650595163		
309.277	90.001	124.085	95.881	0.0509133317715527		
309.641	92.036	121.881	94.693	0.0170881448447696		
310.005	90.340	117.303	96.559	0.0401106855419638		
310.370	99.159	114.929	91.810	-0.0479497834285		
310.734	104.247	117.133	103.682	-0.00472135367248143		
