WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
252.919	74.565	84.234	108.034	0		
253.287	70.155	90.680	110.577	0		
253.654	77.110	88.983	116.512	0		
254.022	83.556	90.171	126.345	0		
254.390	92.884	95.598	123.632	0		
254.757	88.135	100.007	111.425	0		
255.125	89.492	95.937	110.577	0		
255.492	85.591	102.212	108.882	0		
255.860	82.199	98.990	100.912	0		
256.227	78.467	94.072	93.111	0		
256.595	89.492	87.627	111.425	0		
256.962	95.598	87.627	112.951	0		
257.329	101.873	85.761	105.660	0		
257.697	104.416	88.983	108.034	0		
258.064	103.399	90.001	103.116	0		
258.431	95.428	91.867	100.403	0		
258.799	95.428	87.966	99.894	0		
259.166	84.913	84.234	107.864	0		
259.533	79.315	84.913	99.725	0		
259.901	78.297	92.545	109.051	0		
260.268	74.905	102.551	105.999	0		
260.635	77.449	105.603	99.555	0		
261.002	78.637	107.638	98.707	0		
261.369	82.029	106.282	106.677	0		
261.737	87.966	100.686	100.912	0		
262.104	87.287	88.135	97.350	0		
262.471	79.315	92.545	92.771	0		
262.838	82.708	97.294	94.298	0		
263.205	81.690	103.060	92.602	0		
263.572	76.262	110.860	103.964	0		
263.939	79.146	119.846	106.847	0		
264.306	84.065	121.033	105.999	0		
264.673	77.788	112.895	105.490	0		
265.040	66.252	111.030	97.520	0		
265.407	74.735	112.725	85.139	0		
265.774	76.601	108.825	89.040	0		
266.141	64.386	116.794	99.216	0		
266.508	68.967	120.355	94.807	0		
266.874	80.672	121.542	99.385	0		
267.241	79.654	115.608	95.824	0		
267.608	82.199	125.271	90.058	0		
267.975	92.206	108.825	92.771	0		
268.342	94.580	111.708	96.163	0		
268.708	88.475	109.503	93.959	0		
269.075	90.340	112.047	95.485	0		
269.442	87.457	95.768	93.959	0		
269.808	90.849	97.294	93.619	0		
270.175	91.528	91.528	97.181	0		
270.542	95.089	87.118	106.677	0		
270.908	85.761	80.333	112.612	0		
271.275	87.796	82.029	114.138	0		
271.641	86.609	83.895	110.916	0		
272.008	81.351	82.877	102.777	0		
272.375	89.153	79.994	99.216	0		
272.741	94.580	86.948	94.637	0		
273.107	97.124	93.224	90.397	0		
273.474	96.276	94.580	90.058	0		
273.840	94.241	92.884	99.046	0		
274.207	95.937	107.130	95.485	0		
274.573	92.715	100.177	99.555	0		
274.940	86.439	90.171	103.116	0		
275.306	91.358	86.439	101.760	0		
275.672	97.633	91.697	95.824	0		
276.039	95.428	89.832	104.982	0		
276.405	97.294	97.124	105.321	0		
276.771	91.019	98.990	104.812	0		
277.137	90.510	108.995	110.238	0		
277.504	89.662	111.708	112.442	0		
277.870	78.128	108.995	107.356	0		
278.236	77.619	100.686	94.637	0		
278.602	92.545	112.047	91.754	0		
278.968	95.259	110.182	80.220	0		
279.334	92.036	104.077	73.943	0		
279.700	99.499	103.568	76.997	0		
280.066	101.703	111.708	93.280	0		
280.432	95.089	107.638	100.064	0		
280.798	88.983	108.995	101.929	0		
281.164	92.206	107.130	106.847	0		
281.530	87.457	109.503	106.169	0		
281.896	83.556	102.890	102.777	0		
282.262	86.609	105.434	98.538	0		
282.628	82.029	107.130	107.864	0		
282.994	81.181	110.351	106.338	0		
283.360	86.779	104.247	102.608	0		
283.726	87.627	101.364	103.964	0		
284.092	87.966	98.651	104.473	0		
284.457	96.785	89.662	94.298	0		
284.823	95.768	91.528	93.619	0		
285.189	95.259	88.305	86.665	0		
285.555	90.171	105.434	92.432	0		
285.920	95.259	114.082	90.736	0		
286.286	93.732	118.998	93.619	0		
286.652	93.732	116.964	89.040	0		
287.017	92.715	120.694	93.111	0		
287.383	97.124	106.451	88.701	0		
287.749	86.948	96.107	89.888	0		
288.114	87.457	95.089	92.263	0		
288.480	89.323	98.820	99.046	0		
288.845	92.715	99.159	111.595	0		
289.211	99.499	93.732	105.321	0		
289.576	106.621	93.732	109.221	0		
289.942	107.130	92.715	111.934	0		
290.307	104.077	94.241	117.020	0		
290.672	98.481	103.908	100.742	0		
291.038	97.463	104.925	104.812	0		
291.403	94.580	110.182	101.251	0		
291.768	89.492	111.538	101.929	0		
292.134	97.463	112.386	97.181	0		
292.499	95.937	106.790	97.859	0		
292.864	99.329	117.133	99.385	0		
293.230	97.124	119.677	96.163	0		
293.595	98.481	118.490	97.520	0		
293.960	98.481	113.403	102.268	0		
294.325	92.884	107.469	109.051	0		
294.690	88.135	104.077	105.999	0		
295.055	91.188	97.972	105.490	0		
295.421	97.972	101.025	111.086	0		
295.786	95.259	104.247	109.051	0		
296.151	105.264	114.251	109.221	0		
296.516	101.194	109.503	112.612	0		
296.881	98.311	111.369	110.916	0		
297.246	91.867	104.416	102.947	0		
297.611	92.715	100.007	99.894	0		
297.976	100.007	94.072	98.029	0		
298.341	109.673	95.089	96.502	0		
298.705	111.538	93.224	100.742	0		
299.070	108.995	100.516	99.725	0		
299.435	101.703	108.316	99.555	0		
299.800	97.803	107.299	108.034	0		
300.165	89.832	105.773	109.051	0.421137288268149		
300.530	87.966	108.147	110.747	0.274115361227535		
300.894	97.972	110.860	109.730	0.110363985535424		
301.259	100.346	110.521	114.308	0.112277271845885		
301.624	95.768	117.642	106.847	0.109400728693419		
301.988	96.616	125.441	103.964	0.0544951937541108		
302.353	93.902	117.812	99.385	0.0372319745509932		
302.718	84.404	114.590	96.333	0.0806756499830797		
303.082	83.725	114.251	86.835	0.0267082054993064		
303.447	81.520	113.912	84.121	0.0298453511493101		
303.811	73.547	115.777	78.524	0.0719406233219279		
304.176	73.887	124.763	84.460	0.0793270365049512		
304.541	81.860	126.458	93.450	0.0864573616616533		
304.905	87.966	118.320	98.538	0.0887369684879945		
305.270	89.492	116.116	100.064	0.107935160205537		
305.634	90.171	119.168	110.747	0.203466978372001		
305.998	95.089	119.168	105.151	0.110962069493139		
306.363	84.913	114.421	96.163	0.100221565045515		
306.727	79.994	115.268	96.842	0.193585048386432		
307.091	89.662	111.708	100.064	0.205913220752511		
307.456	105.434	106.112	100.573	-0.0836442725782835		
307.820	101.703	108.316	106.508	0.0535404924591696		
308.184	104.756	108.486	112.782	0.0574761650711328		
308.549	107.638	118.490	103.116	-0.0306893111551622		
308.913	99.159	123.067	100.403	0.0100851318471006		
309.277	90.001	124.085	95.315	0.0460179884257637		
309.641	92.036	121.881	97.690	0.0363570460737752		
310.005	90.340	117.303	91.245	0.00583448336214107		
310.370	99.159	114.929	106.169	0.0457324454363232		
310.734	104.247	117.133	109.899	0.0472116292292909		
311.098	104.756	120.355	112.273	0.0670911407026034		
311.462	102.551	120.863	101.590	-0.00704014728393613		
311.826	107.299	133.069	108.882	0.0102393197667983		
312.190	97.803	136.120	100.742	0.0202884234177211		
312.554	99.329	130.866	93.111	-0.0476546581217185		
312.918	98.481	135.273	89.379	-0.082583397833264		
313.282	102.381	138.663	100.064	-0.0182996808865318		
313.646	104.416	132.561	98.368	-0.0458186887904634		
314.010	111.708	127.306	107.864	-0.0297697601065605		
314.373	106.790	125.949	116.342	0.0852370855467056		
314.737	105.095	114.251	123.802	0.212572166432663		
315.101	105.434	105.773	119.903	0.129400964664044		
315.465	110.521	101.873	120.072	0.07432005555719		
315.829	100.855	105.943	113.629	0.119107436571124		
316.192	100.007	101.025	107.016	0.0663941209029356		
316.556	98.481	99.838	99.725	0.0191677926533516		
