WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
258.431	95.428	91.867	93.167	0		
258.799	95.428	87.966	99.781	0		
259.166	84.913	84.234	102.494	0		
259.533	79.315	84.913	101.138	0		
259.901	78.297	92.545	104.360	0		
260.268	74.905	102.551	101.138	0		
260.635	77.449	105.603	94.524	0		
261.002	78.637	107.638	92.319	0		
261.369	82.029	106.282	99.103	0		
261.737	87.966	100.686	99.272	0		
262.104	87.287	88.135	109.447	0		
262.471	79.315	92.545	117.416	0		
262.838	82.708	97.294	117.586	0		
263.205	81.690	103.060	122.841	0		
263.572	76.262	110.860	118.942	0		
263.939	79.146	119.846	113.516	0		
264.306	84.065	121.033	105.886	0		
264.673	77.788	112.895	108.260	0		
265.040	66.252	111.030	97.237	0		
265.407	74.735	112.725	104.021	0		
265.774	76.601	108.825	107.243	0		
266.141	64.386	116.794	106.395	0		
266.508	68.967	120.355	106.056	0		
266.874	80.672	121.542	102.664	0		
267.241	79.654	115.608	102.494	0		
267.608	82.199	125.271	94.354	0		
267.975	92.206	108.825	101.477	0		
268.342	94.580	111.708	104.529	0		
268.708	88.475	109.503	112.160	0		
269.075	90.340	112.047	107.073	0		
269.442	87.457	95.768	118.264	0		
269.808	90.849	97.294	111.821	0		
270.175	91.528	91.528	114.873	0		
270.542	95.089	87.118	120.468	0		
270.908	85.761	80.333	112.838	0		
271.275	87.796	82.029	102.664	0		
271.641	86.609	83.895	111.990	0		
272.008	81.351	82.877	104.699	0		
272.375	89.153	79.994	110.634	0		
272.741	94.580	86.948	110.125	0		
273.107	97.124	93.224	102.325	0		
273.474	96.276	94.580	94.015	0		
273.840	94.241	92.884	95.202	0		
274.207	95.937	107.130	86.722	0		
274.573	92.715	100.177	101.647	0		
274.940	86.439	90.171	110.803	0		
275.306	91.358	86.439	115.890	0		
275.672	97.633	91.697	118.433	0		
276.039	95.428	89.832	112.329	0		
276.405	97.294	97.124	110.464	0		
276.771	91.019	98.990	116.907	0		
