WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
192.363	8009.835	8023.275	8018.918	0		
192.734	6044.038	6058.555	6054.130	0		
193.105	4847.009	4864.941	4857.402	0		
193.475	5118.775	5142.952	5137.848	0		
193.846	-65.517	-49.883	-44.899	0		
194.217	-54.981	-49.373	-42.690	0		
194.587	-48.524	-38.499	-37.254	0		
194.958	-39.859	-28.816	-32.667	0		
195.329	-29.665	-23.041	-35.725	0		
195.699	-24.909	-12.340	-36.064	0		
196.070	-27.457	-10.642	-28.590	0		
196.440	-21.682	-10.642	-25.532	0		
196.811	-10.982	-9.793	-16.190	0		
197.182	-10.132	-4.528	-0.057	0		
197.552	-3.849	2.094	9.452	0		
197.923	8.716	4.811	15.225	0		
198.293	20.091	7.018	29.484	0		
198.663	21.789	14.489	37.462	0		
199.034	39.781	27.560	35.764	0		
199.404	49.454	31.804	51.547	0		
199.775	47.588	41.139	57.317	0		
200.145	38.763	49.624	52.396	0		
200.516	50.982	51.830	57.317	0		
200.886	48.776	51.491	68.175	0		
201.256	50.303	56.581	64.782	0		
201.627	57.090	69.137	65.970	0		
201.997	72.699	79.994	76.149	0		
202.367	77.280	80.503	89.888	0		
202.737	83.047	96.107	91.415	0		
203.108	86.100	95.937	94.807	0		
203.478	82.029	92.545	100.233	0		
203.848	79.315	89.832	104.642	0		
204.218	82.029	98.990	92.941	0		
204.588	76.601	90.849	97.520	0		
204.959	86.609	101.364	98.368	0		
205.329	94.241	101.025	103.286	0		
205.699	100.177	103.399	105.829	0		
206.069	93.054	98.820	123.802	0		
206.439	108.656	101.364	126.345	0		
206.809	97.124	100.516	135.668	0		
207.179	90.849	112.386	131.600	0		
207.549	95.598	116.286	130.413	0		
207.919	97.463	123.576	124.650	0		
208.289	97.294	115.777	119.903	0		
208.659	94.920	115.099	106.677	0		
209.029	90.680	103.060	105.829	0		
209.399	85.591	100.346	102.268	0		
209.769	81.690	101.364	95.315	0		
210.139	84.404	93.732	93.789	0		
210.509	89.492	100.007	103.964	0		
210.879	88.644	104.416	106.508	0		
211.249	89.662	99.668	109.560	0		
211.618	86.270	90.680	118.377	0		
211.988	74.565	105.773	120.242	0		
212.358	73.547	98.990	118.885	0		
212.728	81.351	97.803	124.989	0		
213.098	69.476	95.768	119.394	0		
213.467	78.637	102.212	105.660	0		
213.837	77.280	98.990	105.321	0		
214.207	72.699	98.651	95.824	0		
214.576	76.940	97.294	81.407	0		
214.946	83.725	105.603	92.602	0		
215.316	77.788	112.556	96.502	0		
215.685	75.414	104.416	103.625	0		
216.055	81.011	102.551	111.086	0		
216.425	75.074	110.351	116.003	0		
216.794	70.155	101.025	107.864	0		
217.164	66.592	86.270	112.273	0		
217.533	67.270	84.234	102.608	0		
217.903	68.797	93.054	96.842	0		
218.272	65.913	88.814	92.602	0		
218.642	66.422	90.680	96.333	0		
219.011	64.047	94.241	95.824	0		
219.381	76.092	100.855	94.976	0		
219.750	74.056	94.241	101.420	0		
220.120	80.842	94.241	102.268	0		
220.489	86.100	97.294	99.046	0		
220.858	89.323	99.159	100.573	0		
221.228	86.439	97.633	100.573	0		
221.597	87.966	101.703	105.999	0		
221.966	89.662	98.651	111.425	0		
222.336	86.270	96.276	104.982	0		
222.705	86.948	88.983	92.093	0		
223.074	82.538	101.703	92.263	0		
223.443	81.181	83.895	87.683	0		
223.813	78.128	87.118	85.648	0		
224.182	83.895	86.948	92.263	0		
224.551	81.351	97.803	102.608	0		
224.920	80.163	81.690	101.760	0		
225.289	86.439	91.528	99.046	0		
225.658	83.895	94.920	101.420	0		
226.027	79.146	91.019	103.795	0		
226.397	79.824	90.171	103.286	0		
