Wavelength,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,Empty_cuvette,Nothing,Pure_water
418.778,127.08,106.169,117.529,116.342,130.866,122.163,112.273,107.469,121.655,107.469,107.751,140.81,131.148,119.677
419.133,127.249,102.608,122.446,116.681,127.984,114.025,111.425,113.064,125.554,113.064,112.669,141.149,137.42,115.608
419.489,140.471,106.169,118.207,118.546,127.306,119.62,112.103,116.625,127.08,115.438,103.003,142.505,123.35,122.05
419.845,142.166,112.612,117.19,115.834,127.136,117.755,110.238,115.777,127.419,116.116,96.898,141.827,120.129,123.406
420.201,142.844,114.986,118.716,120.072,137.646,120.976,112.442,118.32,123.859,108.995,106.564,144.878,114.364,133.069
420.557,136.403,113.29,109.221,127.532,129.679,114.703,118.377,124.932,139.962,110.86,108.43,142.674,112.16,126.458
420.912,128.944,122.785,101.251,132.109,123.915,120.129,120.92,111.708,136.742,109.334,101.307,133.521,112.499,125.102
421.268,114.703,124.819,100.233,138.211,125.949,125.045,118.038,109.334,137.081,113.912,108.599,139.115,124.537,122.898
421.624,109.447,124.989,99.385,145.33,136.29,119.959,122.276,115.777,129.961,106.451,117.586,140.471,121.146,124.932
421.979,115.89,120.411,110.577,147.872,129.34,115.89,124.311,108.656,125.893,107.808,116.399,130.47,118.772,116.964
422.335,122.502,125.328,112.612,149.397,133.578,114.195,110.069,97.633,117.586,102.042,116.907,134.538,126.741,107.808
422.69,127.249,116.173,117.02,149.736,141.375,116.738,107.186,115.777,111.99,106.621,120.637,144.878,119.79,108.147
423.046,132.504,116.173,121.259,144.991,141.036,107.582,110.916,118.998,109.447,99.329,117.077,139.284,130.809,114.59
423.401,139.454,109.73,122.785,137.533,131.205,114.703,108.882,118.829,114.025,105.943,117.416,137.589,138.437,115.099
423.757,135.894,107.016,117.868,136.007,131.035,117.755,116.851,122.898,123.859,106.96,112.16,141.149,143.861,123.406
424.112,134.03,111.425,125.836,128.21,127.984,112.16,121.429,127.984,118.433,115.947,108.09,136.911,142.335,124.763
424.468,135.386,120.072,127.532,124.989,118.151,106.734,129.057,114.929,119.62,117.133,112.329,133.691,137.42,124.085
424.823,138.606,125.497,124.989,128.379,116.794,101.477,130.074,111.199,122.163,120.185,111.651,137.589,131.318,114.251
425.178,136.233,125.836,126.175,142.618,124.085,108.43,128.549,111.877,121.824,128.153,113.686,131.148,136.064,115.099
425.534,134.03,138.38,126.514,138.041,127.306,112.499,116.003,103.229,110.125,132.391,115.381,125.893,127.08,102.381
425.889,127.588,129.735,127.362,142.109,128.492,114.364,111.934,97.633,107.582,125.61,118.772,127.08,121.146,107.299
426.244,125.384,127.023,134.143,144.143,122.728,116.738,107.186,105.773,103.003,120.185,113.516,136.064,126.91,120.524
426.599,125.723,118.716,139.058,142.787,124.424,125.554,114.308,109.164,93.337,115.947,119.451,135.894,119.79,122.22
426.954,120.129,122.107,137.194,133.126,118.49,125.215,122.615,95.937,86.044,104.925,115.381,144.2,112.838,113.403
427.31,120.129,120.242,133.295,138.211,116.116,119.111,125.497,101.194,90.962,97.972,118.264,144.878,109.277,120.863
427.665,120.976,131.431,132.787,139.397,117.303,126.91,124.141,111.877,99.612,94.58,120.807,152.335,121.994,126.458
428.02,117.586,125.836,128.549,141.431,121.542,132.504,120.75,100.686,107.243,95.089,123.011,143.691,125.384,112.725
428.375,119.62,128.888,129.396,137.702,122.728,131.996,111.086,98.481,111.99,97.633,118.264,139.793,128.097,123.406
428.73,126.571,129.057,136.855,144.143,129.34,130.47,101.42,112.216,115.551,106.282,124.706,142.844,132.165,128.831
429.085,137.589,130.413,141.092,140.075,129.001,140.64,108.203,115.268,110.464,111.03,119.451,137.928,140.132,122.05
429.44,146.572,120.92,139.397,140.753,134.934,137.928,115.834,111.03,102.155,116.116,119.111,128.944,129.453,114.929
429.795,153.521,134.482,150.922,141.601,143.748,125.554,118.207,115.777,103.682,113.742,130.64,126.232,117.416,118.829
430.15,145.895,138.041,153.126,134.312,146.629,124.876,118.546,118.829,107.921,116.286,131.657,121.315,119.281,108.486
430.504,147.928,137.363,150.245,122.954,137.646,118.433,121.768,111.199,100.799,112.556,121.655,119.111,119.281,106.112
430.859,146.403,129.227,149.397,117.699,136.29,120.129,120.411,109.334,111.482,103.229,126.741,135.047,115.381,115.947
431.214,139.962,140.075,144.821,121.259,127.306,118.264,122.615,112.216,115.551,107.13,124.367,145.556,115.551,120.016
431.569,137.928,128.04,136.346,117.868,120.355,131.148,120.581,114.421,116.568,122.559,110.803,150.47,127.588,115.947
431.924,137.759,122.276,132.448,130.244,121.033,126.401,115.664,118.32,126.741,117.303,113.347,150.132,128.266,114.082
432.278,131.487,121.937,136.516,133.126,135.951,128.944,117.699,115.777,137.25,125.949,102.834,147.759,133.182,120.694
432.633,134.03,122.276,137.872,132.278,142.392,119.111,121.598,117.642,139.962,131.883,91.641,142.505,137.928,119.338
432.988,139.284,113.968,141.77,125.497,151.713,122.502,124.65,116.625,137.081,132.9,92.997,134.708,143.522,118.659
433.342,139.623,114.647,142.448,130.922,157.983,115.212,124.989,115.099,133.691,129.001,102.834,128.436,140.64,123.576
433.697,142.335,116.681,141.601,123.293,149.68,116.399,124.819,114.421,123.519,125.441,109.786,127.249,137.928,126.797
434.051,145.386,111.934,140.414,124.819,135.781,119.451,123.802,121.881,122.841,117.473,131.657,137.25,128.944,118.998
434.406,140.64,112.612,147.533,136.516,132.561,119.281,121.259,125.441,109.616,123.406,136.742,147.928,129.792,118.829
434.76,132.504,108.543,147.872,137.702,127.814,114.703,105.49,126.119,108.09,124.932,146.572,152.335,129.114,120.016
435.115,120.807,112.273,147.363,145.838,125.271,114.364,106.338,130.187,104.36,113.403,139.793,150.809,125.723,120.524
435.469,124.876,112.782,144.143,149.228,124.932,116.738,113.799,122.559,103.682,122.05,135.725,159.452,120.976,121.881
435.823,126.062,123.463,144.313,146.347,126.967,116.738,116.003,117.812,103.851,120.863,124.537,149.793,124.367,133.069
436.178,117.416,127.532,134.143,136.346,124.932,117.586,108.203,121.542,116.399,113.064,127.419,130.809,124.028,139.341
436.532,129.453,131.6,133.634,143.974,128.153,121.655,114.816,125.102,124.706,106.282,119.451,130.131,119.79,138.493
436.886,140.471,138.041,132.448,130.244,124.763,127.419,118.546,124.593,137.25,107.977,122.502,133.352,131.318,128.662
437.241,136.742,135.668,134.482,131.092,133.408,131.657,117.868,131.374,131.487,104.247,120.468,134.538,133.691,120.863
437.595,138.606,123.293,129.735,142.957,135.951,134.877,113.46,141.205,126.401,100.516,132.843,132.843,122.333,116.964
437.949,138.776,122.954,127.532,151.431,137.307,136.742,118.716,136.459,116.399,112.895,142.844,142.335,113.686,116.964
438.303,128.605,127.532,132.278,148.55,131.374,138.776,115.325,135.781,105.377,113.064,135.555,148.098,120.807,117.812
438.657,131.318,109.899,130.413,149.567,137.646,133.352,111.256,130.526,102.664,121.372,127.249,156.063,118.942,127.136
439.012,128.775,107.864,131.431,148.55,139.51,136.572,119.055,134.764,103.003,123.576,125.723,158.774,130.131,134.595
439.366,123.35,115.494,143.465,139.736,142.561,129.114,128.888,131.035,102.664,130.866,117.586,156.232,143.352,131.544
439.72,128.775,116.173,149.736,131.77,135.951,123.35,130.074,136.968,107.412,118.998,109.786,158.096,152.504,126.967
440.074,129.622,107.356,145.499,132.956,145.951,117.755,138.55,132.222,113.516,119.168,114.534,154.877,148.606,127.306
440.428,128.266,110.916,132.278,135.838,145.612,119.281,143.296,132.9,111.482,110.521,115.89,150.301,137.589,127.136
440.782,133.352,117.02,130.922,134.482,141.036,98.764,137.363,126.288,115.212,110.351,118.772,150.979,125.554,128.831
441.135,135.386,107.186,124.989,136.855,138.324,98.255,127.871,123.745,125.045,100.855,115.89,164.705,129.961,133.747
