WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
192.363	8009.835	8023.275	7998.757	0		
192.734	6044.038	6058.555	6048.651	0		
193.105	4847.009	4864.941	4849.486	0		
193.475	5118.775	5142.952	5129.951	0		
193.846	-65.517	-49.883	-53.735	0		
194.217	-54.981	-49.373	-44.559	0		
194.587	-48.524	-38.499	-55.944	0		
194.958	-39.859	-28.816	-34.365	0		
195.329	-29.665	-23.041	-26.381	0		
195.699	-24.909	-12.340	-17.719	0		
196.070	-27.457	-10.642	-8.717	0		
196.440	-21.682	-10.642	8.094	0		
196.811	-10.982	-9.793	3.849	0		
197.182	-10.132	-4.528	5.207	0		
197.552	-3.849	2.094	6.735	0		
197.923	8.716	4.811	13.187	0		
198.293	20.091	7.018	14.715	0		
198.663	21.789	14.489	16.922	0		
199.034	39.781	27.560	21.166	0		
199.404	49.454	31.804	34.916	0		
199.775	47.588	41.139	39.838	0		
200.145	38.763	49.624	48.323	0		
200.516	50.982	51.830	57.147	0		
200.886	48.776	51.491	70.720	0		
201.256	50.303	56.581	69.872	0		
201.627	57.090	69.137	68.684	0		
201.997	72.699	79.994	69.363	0		
202.367	77.280	80.503	78.524	0		
202.737	83.047	96.107	78.184	0		
203.108	86.100	95.937	84.460	0		
203.478	82.029	92.545	92.093	0		
203.848	79.315	89.832	96.502	0		
204.218	82.029	98.990	88.022	0		
204.588	76.601	90.849	91.245	0		
204.959	86.609	101.364	93.280	0		
205.329	94.241	101.025	93.789	0		
205.699	100.177	103.399	99.894	0		
206.069	93.054	98.820	109.560	0		
206.439	108.656	101.364	104.303	0		
206.809	97.124	100.516	106.847	0		
207.179	90.849	112.386	107.016	0		
207.549	95.598	116.286	99.555	0		
207.919	97.463	123.576	92.771	0		
208.289	97.294	115.777	94.298	0		
208.659	94.920	115.099	102.947	0		
209.029	90.680	103.060	99.046	0		
209.399	85.591	100.346	101.929	0		
209.769	81.690	101.364	110.069	0		
210.139	84.404	93.732	117.360	0		
210.509	89.492	100.007	108.712	0		
210.879	88.644	104.416	116.512	0		
211.249	89.662	99.668	122.107	0		
211.618	86.270	90.680	114.308	0		
211.988	74.565	105.773	103.795	0		
212.358	73.547	98.990	109.560	0		
212.728	81.351	97.803	97.350	0		
213.098	69.476	95.768	96.672	0		
213.467	78.637	102.212	103.116	0		
213.837	77.280	98.990	111.764	0		
214.207	72.699	98.651	107.525	0		
214.576	76.940	97.294	108.373	0		
214.946	83.725	105.603	101.251	0		
215.316	77.788	112.556	99.725	0		
215.685	75.414	104.416	95.146	0		
216.055	81.011	102.551	95.315	0		
216.425	75.074	110.351	99.555	0		
216.794	70.155	101.025	110.747	0		
217.164	66.592	86.270	109.730	0		
217.533	67.270	84.234	108.373	0		
217.903	68.797	93.054	107.186	0		
218.272	65.913	88.814	102.947	0		
218.642	66.422	90.680	89.379	0		
219.011	64.047	94.241	86.326	0		
219.381	76.092	100.855	91.075	0		
219.750	74.056	94.241	91.584	0		
220.120	80.842	94.241	92.263	0		
220.489	86.100	97.294	98.029	0		
220.858	89.323	99.159	101.081	0		
221.228	86.439	97.633	97.520	0		
221.597	87.966	101.703	100.912	0		
221.966	89.662	98.651	105.490	0		
222.336	86.270	96.276	105.660	0		
222.705	86.948	88.983	103.286	0		
223.074	82.538	101.703	109.899	0		
223.443	81.181	83.895	107.186	0		
223.813	78.128	87.118	108.034	0		
224.182	83.895	86.948	112.782	0		
224.551	81.351	97.803	118.885	0		
224.920	80.163	81.690	115.155	0		
225.289	86.439	91.528	108.712	0		
225.658	83.895	94.920	114.986	0		
226.027	79.146	91.019	106.338	0		
226.397	79.824	90.171	108.034	0		
226.766	77.788	94.750	104.812	0		
227.135	70.833	92.884	102.777	0		
227.504	70.324	86.270	86.835	0		
227.873	73.039	98.990	88.362	0		
228.242	74.396	101.703	78.863	0		
228.611	78.806	107.808	79.372	0		
228.980	74.735	117.981	87.853	0		
229.349	66.931	121.881	94.637	0		
229.717	64.047	110.860	86.665	0		
230.086	69.306	96.955	94.467	0		
230.455	59.296	86.948	92.432	0		
230.824	65.235	88.475	89.210	0		
231.193	78.128	84.404	93.280	0		
231.562	77.619	85.930	100.742	0		
231.931	75.583	101.873	94.976	0		
232.299	81.011	114.760	98.368	0		
232.668	75.244	101.873	97.859	0		
233.037	74.056	103.908	93.959	0		
233.406	74.226	107.299	102.099	0		
233.774	70.494	103.229	110.238	0		
234.143	68.967	86.948	112.273	0		
234.512	69.476	100.686	111.425	0		
234.880	71.342	99.668	113.968	0		
235.249	73.039	94.580	105.829	0		
235.617	77.449	91.358	103.116	0		
235.986	73.039	102.042	99.725	0		
236.355	70.494	93.902	101.590	0		
236.723	67.610	92.884	104.134	0		
237.092	77.110	99.159	104.642	0		
237.460	74.396	97.633	92.263	0		
237.829	87.118	95.259	93.111	0		
238.197	97.463	94.920	100.742	0		
238.566	96.107	103.738	100.912	0		
238.934	83.386	98.481	108.882	0		
239.302	82.708	101.703	119.394	0		
239.671	81.181	108.995	120.242	0		
240.039	73.547	109.164	107.695	0		
240.407	74.396	99.668	100.403	0		
240.776	83.725	102.551	99.725	0		
241.144	85.761	99.159	93.450	0		
241.512	78.976	94.580	85.478	0		
241.881	86.948	100.516	97.520	0		
242.249	87.796	98.990	102.608	0		
242.617	82.538	102.042	90.227	0		
242.985	83.725	105.434	99.725	0		
243.353	93.563	113.742	102.438	0		
243.722	91.358	104.586	100.233	0		
244.090	93.563	109.843	106.847	0		
244.458	87.457	99.838	110.408	0		
244.826	92.545	100.686	106.847	0		
245.194	86.439	90.849	113.799	0		
245.562	88.305	98.311	105.999	0		
245.930	85.930	94.920	95.485	0		
246.298	97.294	98.142	97.859	0		
246.666	86.100	92.036	94.128	0		
247.034	84.404	97.633	89.888	0		
247.402	79.994	96.785	87.683	0		
247.770	80.503	91.188	90.736	0		
248.138	73.378	93.902	93.619	0		
248.506	73.717	96.785	99.894	0		
248.874	71.172	84.574	100.064	0		
249.242	75.922	83.047	96.333	0		
249.610	81.011	85.930	98.198	0		
249.977	89.662	86.948	95.315	0		
250.345	90.001	85.252	86.157	0		
250.713	92.376	92.545	90.397	0		
251.081	90.001	92.206	94.128	0		
251.448	83.217	93.393	90.906	0		
251.816	74.396	93.054	96.163	0		
252.184	78.637	92.206	103.455	0		
252.551	74.226	85.591	92.432	0		
252.919	74.565	84.234	98.538	0		
253.287	70.155	90.680	105.829	0		
253.654	77.110	88.983	96.842	0		
254.022	83.556	90.171	93.959	0		
254.390	92.884	95.598	102.099	0		
254.757	88.135	100.007	99.385	0		
255.125	89.492	95.937	97.520	0		
255.492	85.591	102.212	103.964	0		
255.860	82.199	98.990	103.286	0		
256.227	78.467	94.072	97.350	0		
256.595	89.492	87.627	108.373	0		
256.962	95.598	87.627	114.477	0		
257.329	101.873	85.761	120.242	0		
257.697	104.416	88.983	126.006	0		
258.064	103.399	90.001	131.092	0		
258.431	95.428	91.867	110.577	0		
258.799	95.428	87.966	104.812	0		
259.166	84.913	84.234	92.602	0		
259.533	79.315	84.913	83.782	0		
259.901	78.297	92.545	85.309	0		
260.268	74.905	102.551	93.450	0		
260.635	77.449	105.603	91.754	0		
261.002	78.637	107.638	97.690	0		
261.369	82.029	106.282	108.543	0		
261.737	87.966	100.686	109.221	0		
262.104	87.287	88.135	118.716	0		
262.471	79.315	92.545	118.377	0		
262.838	82.708	97.294	117.190	0		
263.205	81.690	103.060	110.069	0		
263.572	76.262	110.860	115.155	0		
263.939	79.146	119.846	116.512	0		
264.306	84.065	121.033	115.664	0		
264.673	77.788	112.895	119.224	0		
265.040	66.252	111.030	125.158	0		
265.407	74.735	112.725	119.733	0		
265.774	76.601	108.825	111.934	0		
266.141	64.386	116.794	110.916	0		
266.508	68.967	120.355	102.947	0		
266.874	80.672	121.542	104.473	0		
267.241	79.654	115.608	105.490	0		
267.608	82.199	125.271	102.099	0		
267.975	92.206	108.825	102.777	0		
268.342	94.580	111.708	109.221	0		
268.708	88.475	109.503	94.976	0		
269.075	90.340	112.047	89.888	0		
269.442	87.457	95.768	97.520	0		
269.808	90.849	97.294	99.725	0		
270.175	91.528	91.528	104.473	0		
270.542	95.089	87.118	113.968	0		
270.908	85.761	80.333	121.937	0		
271.275	87.796	82.029	117.190	0		
271.641	86.609	83.895	117.529	0		
272.008	81.351	82.877	105.151	0		
272.375	89.153	79.994	106.169	0		
272.741	94.580	86.948	101.081	0		
273.107	97.124	93.224	114.138	0		
273.474	96.276	94.580	114.308	0		
273.840	94.241	92.884	123.802	0		
274.207	95.937	107.130	117.868	0		
274.573	92.715	100.177	123.463	0		
274.940	86.439	90.171	103.455	0		
275.306	91.358	86.439	105.999	0		
275.672	97.633	91.697	93.959	0		
276.039	95.428	89.832	93.789	0		
276.405	97.294	97.124	90.906	0		
276.771	91.019	98.990	94.128	0		
277.137	90.510	108.995	93.789	0		
277.504	89.662	111.708	96.502	0		
277.870	78.128	108.995	97.350	0		
278.236	77.619	100.686	92.602	0		
278.602	92.545	112.047	96.333	0		
278.968	95.259	110.182	89.210	0		
279.334	92.036	104.077	100.912	0		
279.700	99.499	103.568	108.034	0		
280.066	101.703	111.708	113.290	0		
280.432	95.089	107.638	114.477	0		
280.798	88.983	108.995	118.377	0		
281.164	92.206	107.130	110.747	0		
281.530	87.457	109.503	107.186	0		
281.896	83.556	102.890	100.742	0		
282.262	86.609	105.434	102.947	0		
282.628	82.029	107.130	110.577	0		
282.994	81.181	110.351	114.477	0		
283.360	86.779	104.247	115.155	0		
283.726	87.627	101.364	129.566	0		
284.092	87.966	98.651	120.242	0		
284.457	96.785	89.662	118.377	0		
284.823	95.768	91.528	114.308	0		
285.189	95.259	88.305	110.069	0		
285.555	90.171	105.434	93.789	0		
285.920	95.259	114.082	106.169	0		
286.286	93.732	118.998	105.321	0		
286.652	93.732	116.964	109.560	0		
287.017	92.715	120.694	120.920	0		
287.383	97.124	106.451	129.735	0		
287.749	86.948	96.107	124.989	0		
288.114	87.457	95.089	112.103	0		
288.480	89.323	98.820	111.086	0		
288.845	92.715	99.159	97.690	0		
289.211	99.499	93.732	91.923	0		
289.576	106.621	93.732	98.198	0		
289.942	107.130	92.715	103.116	0		
290.307	104.077	94.241	107.864	0		
290.672	98.481	103.908	118.546	0		
291.038	97.463	104.925	128.888	0		
291.403	94.580	110.182	123.802	0		
291.768	89.492	111.538	132.956	0		
292.134	97.463	112.386	120.242	0		
292.499	95.937	106.790	112.951	0		
292.864	99.329	117.133	111.425	0		
293.230	97.124	119.677	107.016	0		
293.595	98.481	118.490	97.181	0		
293.960	98.481	113.403	107.356	0		
294.325	92.884	107.469	105.660	0		
294.690	88.135	104.077	105.151	0		
295.055	91.188	97.972	105.151	0		
295.421	97.972	101.025	111.256	0		
295.786	95.259	104.247	102.268	0		
296.151	105.264	114.251	116.512	0		
296.516	101.194	109.503	117.020	0		
296.881	98.311	111.369	125.328	0		
297.246	91.867	104.416	117.529	0		
297.611	92.715	100.007	127.871	0		
297.976	100.007	94.072	126.684	0		
298.341	109.673	95.089	122.107	0		
298.705	111.538	93.224	111.595	0		
299.070	108.995	100.516	123.632	0		
299.435	101.703	108.316	122.954	0		
299.800	97.803	107.299	120.242	0		
300.165	89.832	105.773	117.360	0.603184664303263		
300.530	87.966	108.147	129.566	0.500556441580617		
300.894	97.972	110.860	126.175	0.264739171980006		
301.259	100.346	110.521	126.175	0.207719677438936		
301.624	95.768	117.642	122.954	0.268450228109981		
301.988	96.616	125.441	126.854	0.224235340549962		
302.353	93.902	117.812	124.989	0.211074013761164		
302.718	84.404	114.590	123.293	0.263010035642371		
303.082	83.725	114.251	116.173	0.278683335869863		
303.447	81.520	113.912	112.782	0.35872609073027		
303.811	73.547	115.777	112.273	0.559869254967263		
304.176	73.887	124.763	108.373	0.258727038500647		
304.541	81.860	126.458	110.069	0.210427111068861		
304.905	87.966	118.320	111.256	0.195489876610949		
305.270	89.492	116.116	111.086	0.220472063213725		
305.634	90.171	119.168	106.338	0.159871493878344		
305.998	95.089	119.168	111.425	0.180150170471893		
306.363	84.913	114.421	112.273	0.243729417796112		
306.727	79.994	115.268	116.681	0.421545241011795		
307.091	89.662	111.708	119.224	0.585213048154742		
307.456	105.434	106.112	122.615	0.2956304498338		
307.820	101.703	108.316	117.529	0.176356054704674		
308.184	104.756	108.486	108.373	0.0259054923071863		
308.549	107.638	118.490	104.303	-0.0226331923765911		
308.913	99.159	123.067	104.134	0.0403395488121446		
309.277	90.001	124.085	103.286	0.115039004741154		
309.641	92.036	121.881	99.555	0.048354284369038		
310.005	90.340	117.303	108.203	0.115218332680141		
310.370	99.159	114.929	110.069	0.0711785343530504		
310.734	104.247	117.133	107.356	0.0259668251782157		
311.098	104.756	120.355	114.816	0.0897896676832674		
311.462	102.551	120.863	119.564	0.124637465515728		
311.826	107.299	133.069	122.785	0.100190014242497		
312.190	97.803	136.120	120.072	0.153704516049285		
312.554	99.329	130.866	123.124	0.182351801807099		
312.918	98.481	135.273	120.411	0.198980713493147		
313.282	102.381	138.663	117.529	0.119603852779106		
313.646	104.416	132.561	106.338	0.0145584552136716		
314.010	111.708	127.306	110.577	-0.00875565752355313		
314.373	106.790	125.949	112.951	0.0549766088088222		
314.737	105.095	114.251	105.490	0.00449601844700535		
315.101	105.434	105.773	105.660	0.00202207710042958		
315.465	110.521	101.873	113.121	0.0202300402925798		
315.829	100.855	105.943	108.543	0.0716776402856495		
316.192	100.007	101.025	108.543	0.0808501034249626		
316.556	98.481	99.838	111.934	0.207344209543509		
316.920	92.376	101.364	107.525	0.358940137311095		
317.283	82.368	108.486	100.573	0.244478071648054		
317.647	84.234	102.551	110.747	0.368026699140095		
318.011	83.386	104.416	109.730	0.403061357452927		
318.374	81.351	99.668	110.069	0.401699729256675		
