WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
252.919	89.555	101.816	106.056	0		
253.287	86.323	103.163	103.512	0		
253.654	93.357	99.991	102.494	0		
254.022	93.895	95.023	104.021	0		
254.390	91.681	92.628	106.395	0		
254.757	96.828	89.815	109.447	0		
255.125	100.330	87.899	114.364	0		
255.492	97.038	86.073	104.529	0		
255.860	96.260	91.790	102.664	0		
256.227	96.948	95.292	103.342	0		
256.595	93.746	99.602	95.881	0		
256.962	96.409	99.093	94.863	0		
257.329	99.312	100.170	99.103	0		
257.697	98.325	96.818	110.295	0		
258.064	100.958	96.100	104.360	0		
258.431	101.497	96.788	110.125	0		
258.799	100.749	94.664	107.751	0		
259.166	97.606	91.281	110.803	0		
259.533	100.719	90.803	93.845	0		
259.901	97.726	86.463	101.477	0		
260.268	97.696	83.858	106.395	0		
260.635	99.402	90.354	106.903	0		
261.002	98.863	93.197	112.499	0		
261.369	95.601	92.389	125.045	0		
261.737	96.768	92.269	124.537	0		
262.104	99.282	91.850	120.129	0		
262.471	94.733	90.503	124.028	0		
262.838	96.589	92.000	112.499	0		
263.205	95.930	94.693	109.447	0		
263.572	93.746	98.764	109.786	0		
263.939	91.172	99.632	117.586	0		
264.306	94.524	100.440	111.482	0		
264.673	97.217	102.804	116.399	0		
265.040	98.923	98.824	113.347	0		
265.407	98.893	100.888	105.547	0		
265.774	95.871	102.115	89.775	0		
266.141	94.075	101.337	95.202	0		
266.508	94.284	99.931	88.927	0		
266.874	92.698	99.991	96.898	0		
267.241	95.691	98.524	105.208	0		
267.608	98.714	97.567	116.060	0		
267.975	95.511	96.369	118.094	0		
268.342	90.693	95.202	121.824	0		
268.708	92.189	99.242	108.938	0		
269.075	89.256	98.225	99.272	0		
269.442	90.962	96.519	83.669	0		
269.808	94.823	96.310	79.937	0		
270.175	92.519	96.429	84.687	0		
270.542	94.344	97.567	86.552	0		
270.908	100.420	95.472	96.898	0		
271.275	99.881	95.741	115.551	0		
271.641	96.499	95.891	113.855	0		
272.008	100.060	95.681	99.442	0		
272.375	99.582	95.083	107.751	0		
272.741	100.090	96.459	104.190	0		
273.107	100.809	96.938	94.185	0		
273.474	104.579	94.215	97.577	0		
273.840	107.781	95.950	109.786	0		
274.207	105.986	94.125	109.956	0		
274.573	105.627	95.322	107.073	0		
274.940	102.844	96.010	107.243	0		
275.306	98.714	96.489	109.108	0		
275.672	97.487	95.053	114.534	0		
276.039	101.736	95.591	110.295	0		
276.405	98.564	96.399	111.482	0		
276.771	101.527	93.796	109.616	0		
277.137	105.208	98.315	106.903	0		
277.504	100.779	102.026	92.319	0		
277.870	97.187	97.776	86.552	0		
278.236	96.110	96.848	92.149	0		
278.602	96.739	99.422	88.927	0		
278.968	97.487	97.028	89.945	0		
279.334	99.642	93.017	99.442	0		
279.700	102.155	99.721	104.869	0		
280.066	100.240	102.594	102.664	0		
280.432	100.898	103.791	102.494	0		
280.798	100.450	104.031	96.389	0		
281.164	97.966	103.103	92.997	0		
281.530	95.721	96.908	89.775	0		
281.896	100.988	95.561	94.354	0		
282.262	97.936	92.479	100.120	0		
282.628	92.938	94.933	103.512	0		
282.994	96.260	99.482	98.764	0		
283.360	96.409	103.791	103.512	0		
283.726	90.573	102.265	96.220	0		
284.092	90.034	100.230	88.927	0		
284.457	95.362	96.609	88.588	0		
284.823	92.489	96.369	96.220	0		
285.189	91.950	100.110	97.237	0		
285.555	95.362	100.888	98.764	0		
285.920	98.325	101.696	106.903	0		
286.286	92.878	102.774	103.512	0		
286.652	95.841	97.896	102.325	0		
287.017	100.210	92.868	104.360	0		
287.383	98.385	90.414	107.921	0		
287.749	99.103	94.723	104.360	0		
288.114	103.263	94.215	100.290	0		
288.480	102.664	93.706	95.372	0		
288.845	100.120	96.010	90.114	0		
289.211	103.771	93.945	73.491	0		
289.576	102.993	92.329	81.294	0		
289.942	103.592	89.725	94.693	0		
290.307	102.095	94.125	98.764	0		
290.672	101.287	93.796	98.085	0		
291.038	99.761	98.285	101.477	0		
291.403	99.103	101.457	96.220	0		
291.768	95.841	106.754	91.301	0		
292.134	99.252	106.036	97.916	0		
292.499	106.076	105.198	95.711	0		
292.864	107.632	102.594	107.921	0		
293.230	107.991	99.063	113.855	0		
293.595	112.958	98.045	118.603	0		
293.960	109.457	96.280	116.907	0		
294.325	104.849	94.514	127.249	0		
294.690	101.976	94.005	117.077	0		
295.055	97.517	98.794	115.551	0		
295.421	96.200	97.177	113.177	0		
295.786	100.210	98.494	114.195	0		
296.151	100.869	98.943	108.599	0		
296.516	105.477	104.480	110.803	0		
296.881	106.644	99.332	109.956	0		
297.246	107.482	100.589	115.381	0		
297.611	104.190	101.816	104.699	0		
297.976	103.861	103.552	102.155	0		
298.341	101.886	99.302	103.851	0		
298.705	104.071	102.295	103.682	0		
299.070	102.125	102.774	94.863	0		
299.435	100.839	102.235	101.816	0		
299.800	98.175	100.918	105.377	0		
300.165	98.744	102.923	100.460	0.03759625997599		
300.530	96.320	104.360	98.255	0.0232870280685357		
300.894	100.360	102.594	95.202	-0.0484129109902073		
301.259	103.741	103.791	88.249	-0.124595594111449		
301.624	107.991	106.245	86.213	-0.215037389637802		
301.988	107.691	104.300	94.185	-0.100161815759042		
302.353	113.496	102.983	88.757	-0.167974376661004		
302.718	111.372	105.766	95.541	-0.107061991820728		
303.082	111.970	103.582	105.886	-0.0522577320218907		
303.447	105.896	102.804	111.651	0.0660420167230196		
303.811	103.412	105.078	108.430	0.0725375403530298		
304.176	96.140	103.612	120.129	0.179971328169837		
304.541	91.591	104.928	120.129	0.212880287825898		
304.905	87.430	107.382	112.669	0.211844618051591		
305.270	85.006	108.250	105.547	0.209723552758866		
305.634	84.347	112.529	107.921	0.233105781559618		
305.998	88.119	112.948	93.167	0.0556712484471289		
306.363	86.892	108.041	94.015	0.0634569399923676		
306.727	86.742	102.295	98.424	0.134233591931504		
307.091	94.195	100.799	106.395	0.241509660664682		
307.456	95.212	94.484	104.699	0.163232946801868		
307.820	94.763	92.838	109.956	0.169295547626404		
308.184	101.108	97.716	108.599	0.0536455625257587		
308.549	106.614	103.342	107.582	0.00656646311604504		
308.913	105.926	100.948	106.903	0.00792720070103861		
309.277	107.183	102.504	111.143	0.0342901512167371		
309.641	108.410	103.043	108.938	0.00339984249616903		
310.005	105.926	102.744	103.003	-0.0188514657887932		
310.370	101.766	100.589	97.237	-0.0295494079964072		
310.734	101.976	100.350	102.325	0.00291619897770859		
311.098	102.275	98.704	96.220	-0.0540414354817709		
311.462	98.953	99.602	106.903	0.0582449982361707		
311.826	98.804	97.148	109.108	0.0666667170391834		
312.190	98.295	99.332	114.534	0.112080838469437		
312.554	99.552	102.175	104.869	0.0407453801237081		
312.918	102.634	102.235	105.377	0.0248894313957504		
313.282	106.195	101.816	104.529	-0.0131530081996125		
313.646	110.085	103.672	110.634	0.00415569137548866		
314.010	108.021	102.534	109.447	0.0110479253037306		
314.373	105.627	102.235	112.669	0.0628394772601188		
314.737	100.599	101.248	113.177	0.142925086146538		
315.101	98.355	103.013	113.177	0.132564620238416		
315.465	96.260	103.761	106.903	0.0828196627207644		
315.829	102.095	103.462	111.482	0.087517510201798		
316.192	100.839	102.564	118.094	0.163452955498177		
316.556	99.193	106.365	123.350	0.372329308178951		
316.920	100.450	104.928	109.956	0.225228219211255		
317.283	99.073	101.547	117.246	0.244067791727803		
317.647	96.798	99.811	116.738	0.27678287232105		
318.011	96.739	104.091	108.090	0.173686771037868		
318.374	100.509	102.385	105.886	0.0752067120287609		
318.738	100.539	103.881	118.433	0.291727680443878		
319.101	99.791	105.617	119.959	0.307790938029201		
319.465	102.215	106.036	119.281	0.205028122535705		
319.828	101.078	100.918	120.807	0.267058089910352		
320.192	101.168	102.325	129.453	0.443732820364762		
320.555	101.437	101.098	134.030	0.455723326395821		
320.919	104.160	99.632	132.843	0.335586025973662		
321.282	101.736	102.953	128.605	0.245526100832249		
321.646	106.345	105.826	129.961	0.174350817635924		
322.009	103.622	103.672	119.281	0.115513317993755		
322.372	102.664	100.469	110.125	0.060153523135279		
322.736	101.796	103.013	105.716	0.0363712494696012		
323.099	106.375	105.527	98.764	-0.093909809556633		
323.462	106.195	106.365	96.389	-0.145821550059442		
323.825	108.021	106.873	106.056	-0.0269319609842627		
324.189	108.649	110.105	107.921	-0.0105745260539897		
324.552	109.786	107.382	112.669	0.0430438736343151		
324.915	103.293	102.504	125.723	0.423203898903169		
325.278	98.923	100.080	119.111	0.369815655566092		
325.641	97.128	98.674	120.298	0.309774601813225		
326.004	97.187	98.015	126.232	0.32501321606833		
326.367	96.828	99.512	114.703	0.232771174237649		
326.730	101.108	98.973	118.094	0.205564285370447		
327.093	103.771	99.661	139.115	0.418909951844515		
327.456	103.263	100.469	129.283	0.241362672641859		
327.819	102.754	98.345	119.111	0.142391345231151		
328.182	100.928	98.105	125.893	0.248630906232795		
328.545	100.689	96.399	114.195	0.164191986990997		
328.908	103.083	95.023	90.284	-0.164366388808322		
329.271	106.165	98.794	94.185	-0.180117212782456		
329.634	106.046	102.684	105.038	-0.0132553027246192		
329.996	103.771	102.056	106.564	0.0388401505161103		
330.359	102.993	104.360	106.734	0.0470801248087499		
330.722	102.066	105.826	112.160	0.0947162316489725		
331.085	103.023	106.395	108.769	0.0614443661302534		
331.447	103.532	106.724	105.716	0.0215018729700771		
331.810	108.021	107.382	102.664	-0.0550952773539919		
332.173	106.165	107.711	116.738	0.153236972582797		
332.535	104.460	105.377	120.468	0.293033958946106		
332.898	105.268	103.342	125.723	0.310540661265791		
333.260	106.345	100.859	119.790	0.25607800336438		
333.623	106.824	101.427	122.163	0.253243606347674		
333.985	104.998	98.434	112.329	0.144169550530665		
334.348	105.268	100.559	118.603	0.189518423654608		
334.710	104.759	98.015	112.329	0.0975065919797226		
335.073	105.447	102.056	118.264	0.142522847131897		
335.435	104.370	102.085	124.706	0.277716149268976		
335.798	108.858	102.564	117.925	0.147577638520809		
336.160	107.961	99.063	115.212	0.106642412544838		
336.522	106.465	101.038	118.772	0.195335392461583		
336.885	103.023	97.267	119.281	0.418977940805561		
337.247	101.048	98.853	107.921	0.120521895987414		
337.609	101.258	102.295	118.264	0.26771623060302		
337.971	104.669	107.861	110.295	0.0682515328480217		
338.334	102.754	108.160	117.246	0.160105652590749		
338.696	106.285	109.267	116.060	0.103884248731121		
339.058	104.669	111.871	117.925	0.130089965630638		
339.420	102.485	111.751	108.769	0.0561210422670302		
339.782	100.569	111.631	112.499	0.12821362219422		
340.144	100.958	109.836	110.973	0.114533132814428		
340.506	100.509	108.699	110.464	0.15710965949674		
340.868	103.741	104.300	110.803	0.0910344230817654		
341.230	105.238	100.799	119.111	0.174615735099877		
341.592	106.824	97.477	119.451	0.142229258214065		
341.954	106.554	96.998	114.195	0.0889018567348543		
342.316	109.218	95.202	108.430	-0.00747527003723115		
342.678	110.265	94.753	107.751	-0.0250840156525267		
343.040	112.659	96.340	108.599	-0.0415867410384143		
343.402	112.778	97.177	105.547	-0.0696544574024625		
343.764	113.676	96.070	98.594	-0.149005278279061		
344.126	109.577	98.135	98.255	-0.110978194699779		
344.487	110.953	97.477	107.751	-0.0312023333634702		
344.849	109.666	97.028	108.430	-0.0152709623531733		
345.211	107.751	97.447	113.008	0.0575591163122499		
345.572	110.863	104.450	116.738	0.0574298797158465		
345.934	112.689	103.701	120.976	0.101613618342784		
346.296	107.901	104.719	118.603	0.116738615789078		
346.657	106.644	105.886	111.143	0.0502470394948269		
347.019	105.208	103.761	104.190	-0.0109701002279209		
