t   Th  Tc
0                        293.1500009958118        293.1500000000821
0.6                      293.2230986858294        293.1499999449319
1.2                      293.28693428690974       293.1499999164039
2.4                      293.38171424715665       293.1500000373497
4.8                      293.4899304889514        293.1500010270856
9.6                      293.6363018455142        293.1500440063137
19.2                     293.84585124384574       293.1513423132085
38.4                     294.1326610374041        293.16836762949345
76.8                     294.5471287298162        293.26940998018244
136.8                    295.0420215204335        293.53178524195374
196.8                    295.4728936018322        293.8443501981498
256.8                    295.8626672809312        294.1870404428485
316.8                    296.2299016168489        294.54205023751933
376.8                    296.5837833444931        294.8994903481501
436.8                    296.92834986143265       295.25451087100294
496.8                    297.2664304624907        295.6062909256404
556.8                    297.59672649288484       295.95192355701005
616.8                    297.92094179821765       296.29316994794
