t   Th  Tc
0                        293.1500014522979        293.15000000012293
0.6                      293.2695513869072        293.14999979942985
1.2                      293.38121044052974       293.1499993836205
2.4                      293.55714430968214       293.1499997092108
4.8                      293.75298898714664       293.1500003992895
9.6                      294.04256907670003       293.15000546958476
19.2                     294.43391896709693       293.1502787253199
38.4                     294.9940522828878        293.15683830809763
76.8                     295.7847244760689        293.2229608164448
136.8                    296.69368827261417       293.46249312783647
196.8                    297.4351149424548        293.8070194937548
256.8                    298.0896817628255        294.21557687465156
316.8                    298.6799302822238        294.6715345885262
376.8                    299.2320674480195        295.1540689238828
436.8                    299.7564149638992        295.6530585405558
496.8                    300.26044007194065       296.16044855620777
556.8                    300.75048035573616       296.6700951370037
616.8                    301.2316178285007        297.17806835877076
