t   R1  R2  R3  R4
0                        300.00040148895476       300.0003265050372        300.00016317206695       300.0000793370453
5                        300.3660391273987        300.29816755492004       300.1492771492905        300.0725196440345
10                       300.7171546750131        300.5854787609415        300.29399670193044       300.14284659450954
15                       301.0644407615437        300.87062292218786       300.4383453707554        300.2130592897093
20                       301.3931561589611        301.1426765860074        300.5779076067234        300.28131535916697
25                       301.7172288841001        301.4114576254702        300.71627323447717       300.3490822721892
30                       302.0413016092392        301.6802386649329        300.8546388622309        300.4168491852114
35                       302.3403890052214        301.93116496517416       300.986551372454         300.48228935699814
40                       302.6228195150992        302.1701881059345        301.11416180432354       300.54617836796103
45                       302.90525002497685       302.40921124669484       301.241772236193         300.61006737892393
50                       303.18768053485456       302.6482343874552        301.3693826680624        300.6739563898868
55                       303.4701110447322        302.8872575282155        301.4969930999319        300.7378454008498
60                       303.75254155460993       303.1262806689759        301.6246035318013        300.8017344118127
65                       304.0232250736667        303.35657240881574       301.7488401185566        300.86445680640577
70                       304.2469206294398        303.5519385449737        301.85958132485484       300.9225127355195
75                       304.4706161852129        303.74730468113177       301.97032253115316       300.9805686646332
80                       304.694311740986         303.9426708172897        302.0810637374514        301.038624593747
85                       304.91800729675913       304.1380369534477        302.1918049437498        301.0966805228607
90                       305.1417028525322        304.33340308960567       302.30254615004804       301.15473645197443
95                       305.36539840830534       304.5287692257637        302.4132873563463        301.2127923810882
100                      305.58909396407836       304.72413536192164       302.5240285626446        301.2708483102019
105                      305.8127895198515        304.9195014980796        302.6347697689429        301.32890423931565
110                      306.03648507562457       305.11486763423767       302.7455109752412        301.38696016842937
115                      306.2601806313977        305.31023377039566       302.85625218153945       301.44501609754315
120                      306.4838761871708        305.5055999065536        302.96699338783776       301.50307202665687
125                      306.7075717429439        305.70096604271157       303.077734594136         301.5611279557706
130                      306.90137046319296       305.8726886271393        303.177951858997         301.61506537321384
135                      307.0503239301559        306.00894588397165       303.26238321170206       301.66282502315136
140                      307.1992773971189        306.14520314080397       303.34681456440705       301.7105846730888
145                      307.34823086408187       306.2814603976363        303.43124591711216       301.75834432302634
150                      307.4971843310448        306.4177176544687        303.5156772698172        301.8061039729638
155                      307.6461377980079        306.553974911301         303.60010862252227       301.8538636229013
160                      307.79509126497084       306.6902321681333        303.6845399752273        301.9016232728388
165                      307.94404473193384       306.82648942496564       303.7689713279323        301.94938292277635
170                      308.0929981988968        306.96274668179797       303.85340268063743       301.9971425727138
175                      308.2419516658598        307.0990039386303        303.9378340333425        302.04490222265133
180                      308.39090513282275       307.2352611954626        304.02226538604754       302.09266187258885
185                      308.5398585997858        307.37151845229494       304.10669673875253       302.1404215225263
190                      308.68881206674877       307.50777570912726       304.1911280914576        302.1881811724638
195                      308.8377655337118        307.6440329659596        304.27555944416264       302.2359408224013
200                      308.9867190006747        307.7802902227919        304.35999079686775       302.2837004723388
205                      309.13567246763773       307.9165474796243        304.4444221495728        302.33146012227627
210                      309.2846259346007        308.0528047364566        304.5288535022778        302.37921977221384
215                      309.4335794015637        308.18906199328893       304.61328485498285       302.4269794221513
220                      309.58253286852664       308.32531925012125       304.6977162076879        302.4747390720888
225                      309.7314863354896        308.4615765069536        304.782147560393         302.5224987220263
230                      309.88043980245266       308.5978337637859        304.86657891309807       302.5702583719638
235                      310.0293932694156        308.7340910206182        304.95101026580306       302.61801802190126
240                      310.1783467363786        308.87034827745055       305.0354416185081        302.6657776718388
245                      310.32730020334157       309.00660553428287       305.11987297121317       302.71353732177624
250                      310.4762536703046        309.1428627911152        305.2043043239183        302.76129697171376
255                      310.6252071372675        309.2791200479475        305.2887356766233        302.8090566216513
260                      310.7231217016255        309.37202526647354       305.3504979124764        302.84625127523594
265                      310.80827654033214       309.454092475423         305.4065928691165        302.8808046797324
270                      310.89343137903876       309.5361596843725        305.4626878257566        302.9153580842289
275                      310.97858621774543       309.618226893322         305.5187827823966        302.94991148872543
280                      311.06374105645205       309.70029410227147       305.57487773903665       302.9844648932219
285                      311.1488958951588        309.78236131122094       305.6309726956768        303.0190182977184
290                      311.2340507338654        309.8644285201704        305.68706765231684       303.0535717022149
295                      311.319205572572         309.9464957291199        305.7431626089569        303.08812510671135
300                      311.4043604112787        310.02856293806934       305.79925756559703       303.1226785112079
305                      311.4895152499853        310.1106301470189        305.85535252223707       303.1572319157044
310                      311.57467008869196       310.1926973559684        305.91144747887716       303.19178532020084
315                      311.6598249273986        310.27476456491786       305.96754243551726       303.22633872469737
320                      311.74497976610525       310.3568317738673        306.0236373921573        303.26089212919385
325                      311.83013460481186       310.4388989828168        306.0797323487974        303.2954455336903
330                      311.91528944351853       310.52096619176626       306.13582730543743       303.32999893818686
335                      312.00044428222515       310.60303340071573       306.1919222620776        303.36455234268334
340                      312.0855991209318        310.68510060966526       306.2480172187176        303.3991057471798
345                      312.17075395963843       310.7671678186147        306.30411217535766       303.43365915167635
350                      312.2559087983451        310.8492350275642        306.3602071319978        303.4682125561728
355                      312.3410636370517        310.93130223651366       306.41630208863785       303.5027659606693
360                      312.42621847575845       311.0133694454631        306.47239704527794       303.5373193651658
365                      312.51137331446506       311.0954366544126        306.52849200191804       303.57187276966226
370                      312.59652815317173       311.1775038633621        306.5845869585581        303.6064261741588
375                      312.68168299187835       311.2595710723116        306.6406819151982        303.6409795786553
380                      312.766837830585         311.34163828126105       306.6967768718382        303.67553298315175
385                      312.85199266929163       311.4237054902105        306.7528718284783        303.7100863876483
390                      312.9371475079983        311.50577269916          306.8089667851184        303.74463979214477
395                      313.0223023467049        311.58783990810946       306.86506174175844       303.77919319664124
400                      313.1074571854116        311.669907117059         306.9211566983986        303.8137466011378
405                      313.1926120241182        311.75197432600845       306.97725165503863       303.84830000563426
410                      313.2777668628249        311.8340415349579        307.03334661167867       303.88285341013074
415                      313.3629217015315        311.9161087439074        307.0894415683188        303.9174068146272
420                      313.44807654023816       311.99817595285685       307.14553652495886       303.9519602191237
425                      313.53323137894483       312.0802431618063        307.20163148159895       303.9865136236202
430                      313.61838621765156       312.1623103707558        307.25772643823905       304.0210670281167
435                      313.7035410563582        312.2443775797053        307.3138213948791        304.0556204326132
440                      313.78869589506485       312.3264447886548        307.3699163515192        304.0901738371097
445                      313.87385073377146       312.40851199760425       307.4260113081592        304.1247272416062
450                      313.95900557247813       312.4905792065537        307.48210626479937       304.1592806461027
455                      314.04416041118475       312.5726464155032        307.5382012214394        304.19383405059915
460                      314.10067656212436       312.62883509931555       307.5788831311297        304.22017076311744
465                      314.15003304112224       312.6785541518436        307.6157117790825        304.24445330264126
470                      314.1993895201201        312.7282732043717        307.65254042703543       304.26873584216503
475                      314.24874599911794       312.7779922568998        307.68936907498824       304.2930183816888
480                      314.2981024781159        312.8277113094279        307.7261977229411        304.31730092121256
485                      314.3474589571137        312.87743036195593       307.7630263708939        304.34158346073633
490                      314.3968154361115        312.92714941448406       307.7998550188468        304.3658660002601
495                      314.4461719151094        312.97686846701214       307.8366836667996        304.39014853978387
500                      314.4955283941073        313.0265875195402        307.8735123147525        304.41443107930763
505                      314.54488487310516       313.0763065720683        307.9103409627053        304.43871361883146
510                      314.594241352103         313.12602562459637       307.9471696106582        304.46299615835517
515                      314.6435978311008        313.17574467712444       307.983998258611         304.487278697879
520                      314.69295431009874       313.2254637296526        308.0208269065638        304.5115612374027
525                      314.74231078909656       313.2751827821806        308.05765555451666       304.5358437769265
530                      314.7916672680944        313.3249018347087        308.0944842024695        304.56012631645035
535                      314.84102374709227       313.3746208872368        308.1313128504224        304.58440885597406
540                      314.89038022609014       313.4243399397649        308.1681414983752        304.6086913954979
545                      314.939736705088         313.47405899229295       308.2049701463281        304.6329739350216
550                      314.98909318408585       313.5237780448211        308.2417987942809        304.6572564745454
555                      315.0384496630838        313.5734970973491        308.2786274422337        304.68153901406913
560                      315.0878061420816        313.62321614987724       308.31545609018656       304.70582155359295
565                      315.1371626210794        313.67293520240526       308.3522847381394        304.7301040931167
570                      315.1865191000773        313.7226542549334        308.3891133860923        304.7543866326405
575                      315.2358755790752        313.77237330746146       308.4259420340451        304.77866917216426
580                      315.285232058073         313.82209235998954       308.46277068199794       304.802951711688
585                      315.3345885370709        313.8718114125176        308.4995993299508        304.8272342512118
590                      315.3839450160687        313.92153046504575       308.5364279779036        304.8515167907356
595                      315.43330149506664       313.97124951757377       308.57325662585646       304.8757993302593
600                      315.48265797406447       314.0209685701019        308.61008527380926       304.90008186978315
605                      315.5320144530623        314.07068762263          308.6469139217622        304.92436440930686
610                      315.5813709320602        314.12040667515805       308.683742569715         304.9486469488307
615                      315.63072741105805       314.1701257276861        308.72057121766784       304.9729294883544
620                      315.68008389005587       314.2198447802142        308.75739986562064       304.9972120278782
625                      315.72944036905375       314.2695638327423        308.79422851357356       305.02149456740204
630                      315.7787968480516        314.3192828852704        308.83105716152636       305.04577710692575
635                      315.8281533270495        314.36900193779843       308.86788580947916       305.0700596464496
640                      315.8775098060473        314.41872099032656       308.9047144574321        305.0943421859733
645                      315.92686628504515       314.46844004285464       308.9415431053849        305.1186247254971
650                      315.9762227640431        314.5181590953827        308.97837175333774       305.1429072650209
655                      316.0255792430409        314.5678781479108        309.01520040129054       305.16718980454465
660                      316.05876176239985       314.6021640895221        309.04179290360366       305.1854183812026
665                      316.087900791849         314.6325917534042        309.06582636950674       305.2021334671441
670                      316.11703982129814       314.6630194172863        309.08985983540987       305.21884855308565
675                      316.1461788507473        314.6934470811684        309.11389330131294       305.2355636390272
680                      316.1753178801964        314.7238747450505        309.137926767216         305.2522787249687
685                      316.20445690964556       314.75430240893263       309.16196023311915       305.2689938109102
690                      316.23359593909464       314.78473007281474       309.1859936990222        305.28570889685176
695                      316.2627349685438        314.81515773669685       309.21002716492535       305.3024239827933
700                      316.2918739979929        314.8455854005789        309.2340606308284        305.3191390687348
705                      316.32101302744206       314.876013064461         309.2580940967315        305.3358541546764
710                      316.3501520568912        314.9064407283431        309.2821275626346        305.35256924061787
715                      316.37929108634034       314.9368683922252        309.3061610285377        305.36928432655935
720                      316.4084301157895        314.96729605610733       309.3301944944409        305.38599941250095
725                      316.4375691452386        314.99772371998944       309.35422796034396       305.40271449844244
730                      316.46670817468777       315.02815138387155       309.3782614262471        305.419429584384
735                      316.4958472041369        315.05857904775365       309.40229489215017       305.4361446703255
740                      316.52498623358605       315.08900671163576       309.42632835805324       305.45285975626706
745                      316.5541252630352        315.11943437551787       309.45036182395637       305.46957484220854
750                      316.58326429248433       315.1498620394           309.47439528985944       305.48628992815003
755                      316.61240332193347       315.1802897032821        309.4984287557626        305.5030050140916
760                      316.6415423513826        315.21071736716425       309.52246222166565       305.5197201000331
765                      316.67068138083175       315.24114503104636       309.5464956875687        305.5364351859747
770                      316.6998204102809        315.27157269492847       309.57052915347185       305.5531502719162
775                      316.7289594397301        315.3020003588106        309.5945626193749        305.56986535785774
780                      316.7580984691791        315.3324280226927        309.61859608527806       305.5865804437992
785                      316.78723749862826       315.3628556865748        309.64262955118113       305.60329552974076
790                      316.81637652807746       315.39328335045684       309.66666301708426       305.6200106156823
795                      316.8455155575266        315.42371101433895       309.69069648298733       305.6367257016238
800                      316.87465458697574       315.45413867822106       309.7147299488904        305.6534407875654
805                      316.9037936164249        315.48456634210316       309.7387634147936        305.67015587350687
810                      316.932932645874         315.5149940059853        309.76279688069667       305.68687095944847
815                      316.96207167532316       315.5454216698674        309.7868303465998        305.70358604538995
820                      316.9912107047723        315.5758493337495        309.8108638125029        305.72030113133144
825                      317.02034973422144       315.6062769976316        309.83489727840595       305.737016217273
830                      317.0494887636706        315.6367046615137        309.8589307443091        305.7537313032145
835                      317.0786277931197        315.6671323253958        309.88296421021215       305.77044638915606
840                      317.10776682256886       315.6975599892779        309.9069976761153        305.78716147509755
845                      317.136905852018         315.72798765316          309.93103114201836       305.80387656103915
850                      317.16604488146714       315.75841531704214       309.9550646079215        305.82059164698063
855                      317.1951839109163        315.78884298092424       309.97909807382456       305.8373067329222
860                      317.2150049827515        315.8099662688799        309.99640552393004       305.8497172942703
865                      317.2324965651834        315.82876346285417       310.0120314700862        305.86105172447014
870                      317.2499881476152        315.8475606568283        310.0276574162423        305.8723861546699
875                      317.267479730047         315.86635785080244       310.0432833623983        305.88372058486976
880                      317.28497131247883       315.8851550447767        310.0589093085544        305.89505501506954
885                      317.3024628949107        315.90395223875083       310.07453525471055       305.9063894452694
890                      317.3199544773425        315.92274943272497       310.09016120086665       305.91772387546916
895                      317.3374460597743        315.9415466266991        310.1057871470227        305.92905830566906
900                      317.3549376422061        315.96034382067336       310.1214130931788        305.94039273586884
905                      317.372429224638         315.9791410146475        310.1370390393349        305.9517271660686
910                      317.3899208070698        315.99793820862163       310.15266498549096       305.96306159626846
915                      317.4074123895016        316.0167354025959        310.16829093164705       305.97439602646824
