t,R1,R2,R3,R4
0.000000,25.842728,25.709966,25.536009,25.252493
1.417767,26.669607,26.232671,25.760741,25.409059
2.842580,27.487291,26.732098,25.956549,25.569002
4.260587,28.267203,27.212254,26.178795,25.722240
5.685872,29.012398,27.680733,26.384107,25.828199
7.098495,29.691655,28.107012,26.574523,25.944073
8.505622,30.362935,28.584889,26.754989,26.093946
9.932899,30.968501,28.940592,26.933010,26.161525
11.349359,31.583541,29.348536,27.129215,26.245978
12.772124,32.146602,29.703284,27.283872,26.361235
14.197793,32.660016,30.047892,27.451836,26.447839
15.623147,33.180638,30.375972,27.594518,26.540884
17.032524,33.613297,30.701025,27.700814,26.624549
18.470254,34.100670,31.023503,27.870809,26.701623
19.881538,34.502267,31.325067,28.023160,26.780180
21.310660,34.917325,31.595530,28.140139,26.855954
22.726201,35.294119,31.845663,28.260478,26.900137
24.159092,35.661370,32.096494,28.361162,26.956343
25.575663,35.995336,32.348522,28.501744,27.018546
26.990257,36.335890,32.584241,28.613425,27.074633
28.411995,36.664248,32.805026,28.719893,27.108260
29.836749,36.985789,33.021361,28.814052,27.198075
31.265516,37.244429,33.187738,28.904791,27.214556
32.681707,37.509193,33.399023,28.994453,27.266322
34.124680,37.786309,33.604418,29.086602,27.308015
35.542198,38.057119,33.794327,29.188251,27.373236
36.964723,38.248759,33.964193,29.262754,27.406094
38.379579,38.524297,34.141529,29.360625,27.454502
39.805573,38.677217,34.254935,29.398143,27.446520
41.230569,38.889605,34.417349,29.469886,27.500855
42.645566,39.106375,34.558977,29.565658,27.566750
44.062463,39.279428,34.697836,29.634542,27.573985
45.477994,39.460674,34.818375,29.696999,27.594799
46.901670,39.635042,34.960906,29.777531,27.636104
48.344530,39.806549,35.082685,29.810692,27.633560
49.762096,39.965613,35.197889,29.875706,27.690954
51.185382,40.116502,35.297071,29.948637,27.716730
52.603892,40.225092,35.388391,29.969144,27.694034
54.027088,40.374396,35.493343,30.029865,27.719660
55.443438,40.529980,35.632602,30.099355,27.780174
56.867111,40.616793,35.700584,30.128275,27.757097
58.293440,40.755629,35.806919,30.175156,27.798158
59.707820,40.869673,35.915697,30.226844,27.824036
61.133055,40.990613,35.980179,30.304123,27.854695
62.558787,41.078831,36.046866,30.306764,27.842920
63.975173,41.197082,36.156254,30.376241,27.875986
65.396945,41.292838,36.226452,30.401441,27.892475
66.823505,41.407060,36.297017,30.455262,27.912140
68.245113,41.459841,36.374584,30.491641,27.940335
69.669118,41.571364,36.468047,30.527456,27.960054
71.084531,41.666542,36.525344,30.568793,27.973227
72.509652,41.768995,36.608747,30.614346,28.013909
73.933968,41.834559,36.666766,30.630971,28.001311
75.350665,41.901446,36.715155,30.675798,28.034751
76.774484,41.968250,36.789055,30.728409,28.038336
78.199131,42.055695,36.838120,30.757268,28.054795
79.624044,42.144603,36.919740,30.781621,28.095568
81.039590,42.203561,36.998048,30.828076,28.122746
82.464488,42.239034,37.036177,30.835698,28.109942
83.884089,42.343254,37.103129,30.878529,28.143712
85.309105,42.405726,37.166260,30.906857,28.154991
86.722884,42.476305,37.229823,30.967076,28.145321
88.133219,42.557058,37.276734,30.986846,28.187999
89.557883,42.613491,37.324181,31.023347,28.217736
90.984331,42.652097,37.330333,31.023106,28.205866
92.400203,42.709567,37.376096,31.047731,28.230636
93.843383,42.790054,37.471594,31.100553,28.234472
95.261145,42.830805,37.498635,31.117315,28.260170
96.685209,42.895031,37.551687,31.148412,28.271456
98.103076,42.916890,37.563287,31.133353,28.260956
99.526690,42.978189,37.621141,31.190122,28.283189
100.943995,43.021786,37.632362,31.188088,28.298348
102.368766,43.071693,37.712458,31.235044,28.336287
103.797535,43.111846,37.745291,31.275707,28.315820
105.217902,43.156756,37.783388,31.275492,28.336528
106.634324,43.227848,37.845216,31.286851,28.334472
108.058031,43.271097,37.888021,31.333467,28.372540
109.483345,43.356204,37.932561,31.351807,28.392388
110.898321,43.383554,37.972062,31.374284,28.403846
112.325311,43.450337,38.045497,31.424690,28.439222
113.749120,43.480864,38.051285,31.402836,28.419557
115.168639,43.550790,38.099642,31.449081,28.467948
116.586333,43.571843,38.142801,31.489133,28.450144
118.010844,43.625302,38.195476,31.486634,28.494114
119.435156,43.635808,38.205184,31.526963,28.466830
120.852983,43.684054,38.239376,31.528830,28.487302
122.277546,43.719946,38.287050,31.566075,28.494570
123.691043,43.741220,38.306278,31.590187,28.510934
125.100556,43.746166,38.300800,31.588328,28.511853
126.520962,43.785534,38.351986,31.627289,28.537584
127.934598,43.831559,38.388947,31.649983,28.559029
129.343278,43.839907,38.425170,31.673315,28.567174
130.760621,43.877139,38.434113,31.698543,28.579553
132.185325,43.961550,38.477094,31.715338,28.600174
133.601748,43.934511,38.480271,31.719944,28.587615
135.025687,43.963875,38.512689,31.742192,28.595602
136.448137,44.005286,38.547266,31.772633,28.611836
137.872995,44.036275,38.571309,31.791469,28.611743
139.290357,44.060283,38.595125,31.790688,28.637444
140.717096,44.065925,38.619951,31.820938,28.640012
142.133390,44.100790,38.645636,31.829439,28.650429
143.557098,44.156070,38.681945,31.861640,28.670297
144.982348,44.164837,38.704465,31.854010,28.678879
146.399948,44.181166,38.738724,31.868441,28.703162
147.824037,44.224993,38.770286,31.906447,28.707502
149.240245,44.273932,38.796548,31.930771,28.712475
150.664348,44.315313,38.841568,31.938120,28.738456
152.091096,44.312251,38.845754,31.928981,28.721358
153.508266,44.317286,38.837647,31.967372,28.740029
154.953367,44.385022,38.897480,31.999899,28.756513
156.370854,44.373779,38.876103,31.976835,28.751878
157.789971,44.415899,38.937796,32.010330,28.806036
159.216611,44.449593,38.953206,32.040724,28.815730
160.629587,44.455201,38.987993,32.065391,28.815479
162.034739,44.474517,39.011160,32.080582,28.821482
163.451178,44.521830,39.037156,32.082494,28.854528
164.866668,44.544654,39.052042,32.100822,28.842324
166.291015,44.553644,39.052942,32.102196,28.848352
167.714744,44.610990,39.114104,32.147621,28.888510
169.132161,44.618248,39.109161,32.128306,28.866742
170.553882,44.653674,39.160895,32.171553,28.915391
171.976411,44.678025,39.182330,32.184069,28.897340
173.400080,44.697481,39.181081,32.171731,28.902567
174.819417,44.711089,39.222579,32.220282,28.890145
176.245806,44.745579,39.235166,32.226132,28.949442
177.661857,44.722577,39.213729,32.210845,28.895968
179.087045,44.764668,39.267651,32.230486,28.928749
180.513219,44.782451,39.280628,32.264866,28.956863
181.931044,44.816491,39.293219,32.285940,28.961828
183.354347,44.810255,39.289642,32.261096,28.954460
184.778444,44.835375,39.327314,32.310839,28.989221
186.197394,44.832163,39.343162,32.296939,28.975689
187.621305,44.853007,39.388328,32.348751,28.997677
189.038374,44.884642,39.370305,32.325395,28.987161
190.464673,44.878886,39.391306,32.351311,28.999326
191.892536,44.909422,39.403086,32.374327,29.024360
193.308432,44.916380,39.416938,32.368090,29.031544
194.726078,44.911271,39.399046,32.379451,29.029055
196.151436,44.919005,39.419138,32.393376,28.997110
197.575054,44.897803,39.436796,32.398838,29.038363
198.992981,44.945893,39.431321,32.434321,29.029985
200.417270,44.914880,39.441332,32.409434,29.018853
201.842211,44.916215,39.435863,32.430167,29.018374
203.259923,44.956936,39.482030,32.454867,29.027926
204.680493,44.962717,39.490601,32.440509,29.085895
206.109216,44.976783,39.501639,32.451706,29.060958
207.526139,45.019377,39.540154,32.486167,29.088233
208.944635,44.982144,39.526601,32.478411,29.072066
210.370316,44.998719,39.519271,32.468670,29.081755
211.796381,44.998681,39.508779,32.494908,29.082180
213.214063,45.023435,39.557890,32.506924,29.073854
214.638739,45.015804,39.555174,32.521686,29.100327
216.054784,45.023827,39.517385,32.493035,29.066830
217.479213,44.413968,39.166020,32.351090,28.960562
218.904047,43.592770,38.638118,32.149003,28.809082
220.320467,42.804730,38.159509,31.934092,28.697233
221.744798,42.000181,37.652713,31.711338,28.547350
223.164002,41.214124,37.168536,31.489716,28.393083
224.590406,40.534557,36.740326,31.338001,28.286431
226.003999,39.882528,36.273170,31.115822,28.167509
227.418211,39.213420,35.858827,30.941324,28.067780
228.837336,38.649884,35.503173,30.754201,27.952602
230.260850,38.051880,35.127903,30.596988,27.866619
231.690315,37.532298,34.760807,30.416778,27.750099
233.107831,37.024910,34.456293,30.264238,27.680529
234.524662,36.578646,34.133136,30.165773,27.620185
235.948143,36.117380,33.828200,30.005709,27.510044
237.372995,35.651465,33.515618,29.824174,27.430063
238.789334,35.259418,33.263640,29.727931,27.397170
240.214287,34.888574,33.022077,29.597308,27.336740
241.639050,34.505953,32.740752,29.470339,27.237602
243.055660,34.173227,32.495338,29.378253,27.191231
244.479548,33.843245,32.256010,29.258520,27.132952
245.904392,33.553950,32.076518,29.186536,27.120321
247.317749,33.213594,31.859313,29.046499,27.062207
248.742489,32.954841,31.672341,28.945749,26.985753
250.167011,32.707388,31.476901,28.877873,26.972159
251.591278,32.456507,31.291936,28.783897,26.963152
253.007059,32.174767,31.103379,28.678001,26.890433
254.426214,31.975174,30.964853,28.623359,26.850513
255.834682,31.747614,30.780769,28.513219,26.806673
257.260082,31.540941,30.642177,28.478108,26.796627
258.679244,31.341081,30.495181,28.369972,26.745030
260.101862,31.123957,30.335562,28.304518,26.721812
261.526216,30.966895,30.207888,28.261881,26.676233
262.948633,30.798846,30.095635,28.205919,26.684012
264.364631,30.600428,29.941883,28.124136,26.601035
265.778534,30.478418,29.871157,28.083382,26.601687
267.184793,30.325390,29.772179,28.039871,26.591175
268.591394,30.195227,29.647896,27.998901,26.556148
269.998435,30.041767,29.524411,27.892212,26.522888
271.404557,29.929710,29.440069,27.869489,26.514569
272.810651,29.792829,29.343419,27.823727,26.491550
274.217122,29.667165,29.262656,27.771572,26.477994
275.623439,29.610210,29.215864,27.757223,26.487879
