R0,R4,U
11.0,132.0,2.725
11.2,132.2,1.426
11.3,132.3,1.318
11.3,132.3,1.363
11.3,132.3,1.352
11.3,133.0,2.719
11.4,133.0,2.120
11.3,133.0,2.170
11.1,133.0,2.721
11.3,133.0,2.347
