t   Th  Tc
0                        293.1507113970945        293.1500000012661
0.6                      293.32280670231796       293.15000000784147
1.2                      293.4401566217513        293.15000000511594
2.4                      293.6187429643558        293.14999998387094
4.8                      293.8180934380857        293.1500003057567
9.6                      294.10431845438376       293.1500083661196
19.2                     294.51424941662094       293.1502979425621
38.4                     295.0994839211498        293.15717023673056
76.8                     295.93310501037837       293.22710054499447
136.8                    296.9073509378583        293.4817043436587
196.8                    297.71584024793646       293.8496085386249
256.8                    298.4314709008546        294.2950461455352
316.8                    299.0977437417371        294.7857739956817
376.8                    299.7281927883458        295.3106431269564
436.8                    300.3383521169791        295.8554209680941
496.8                    300.9354549243506        296.4136401950941
556.8                    301.5246653097709        296.9804601563201
616.8                    302.1093791850986        297.55231135987094
