t   Th  Tc
0                        293.1505653491341        293.15000000098286
0.6                      293.2494856245493        293.1500000017045
1.2                      293.311583271828         293.1499999939921
2.4                      293.40134392000766       293.1500000156781
4.8                      293.52686266284024       293.1500015507247
9.6                      293.6871512783496        293.1500517708077
19.2                     293.87844966048795       293.15162004829676
38.4                     294.16711072298114       293.1699351743908
76.8                     294.5974935968477        293.27657447295456
136.8                    295.1280868382733        293.5538707688872
196.8                    295.5905432555545        293.8916338443086
256.8                    296.02124256989725       294.2567025246235
316.8                    296.4305011220926        294.6387513468379
376.8                    296.828985105326         295.0286525202497
436.8                    297.22360292585734       295.42163760882835
496.8                    297.6180113122533        295.8157650764028
556.8                    298.01360557639595       296.2105300844215
616.8                    298.41030506612327       296.6053482244486
