f,UR,I,T,dT,dphi
100,0.311,,,2.2e-3,
300,0.825,,,528e-6,
600,1.266,,,178e-6,
1000,1.498,,,52.8e-6,
3000,1.477,,,-20.4e-6,
6000,1.093,,,-16.6e-6,
10000,0.752,,,-17e-6
30000,0.269,,,-8.4e-6
60000,0.131,,,-4.4e-6
100000,0.069,,,-2.48e-6
300000,0.013,,,-840e-9
