Wavelength    Value   
589.24    4605      
589.24    4511      
589.25    4436      
589.26    4394      
589.26    3994      
589.26    3225      
589.27    2988      
589.28    2788      
589.28    2711      
589.29    2534      
589.29    2448      
589.30    2207      
589.30    2048      
589.31    1959      
589.31    1933      
589.31    1749      
589.32    1725      
589.33    1563      
589.33    1566      
589.34    1495      
589.34    1498      
589.35    1374      
589.35    1312      
589.36    1323      
589.36    1252      
589.36    1280      
589.37    1121      
589.38    1111      
589.38    1064      
589.38    1032      
589.39    1007      
589.40    979       
589.40    921       
589.41    897       
589.41    911       
589.42    937       
589.42    940       
589.43    862       
589.43    902       
589.43    893       
589.44    844       
589.45    918       
589.45    1072      
589.46    829       
589.46    903       
589.47    821       
589.47    904       
589.48    821       
589.48    876       
589.48    921       
589.49    831       
589.50    998       
589.50    858       
589.51    941       
589.51    826       
589.52    849       
589.52    839       
589.53    859       
589.53    826       
589.54    827       
589.54    873       
589.55    860       
589.55    864       
589.55    850       
589.56    926       
589.57    882       
589.57    913       
589.58    979       
589.58    1102      
589.59    1146      
589.59    1203      
589.60    1252      
589.60    1330      
589.60    1510      
589.61    1669      
589.62    1761      
589.62    1914      
589.63    2042      
589.63    2221      
589.64    2551      
589.64    2806      
589.65    3101      
589.65    3220      
589.66    4329      
589.66    4418      
589.67    4439      
589.67    4387      
589.67    4473      
589.68    4451      
589.69    4439      
589.69    4388      
589.70    4427      
589.70    4517      
589.71    4426      
589.71    4440      
589.72    4513      
589.72    4507      
589.72    4539      
589.73    4490      
589.74    4574      
589.74    4494      
589.75    4552      
589.75    4453      
589.76    4536      
589.76    4575      
589.77    4436      
589.77    4536      
589.77    4450      
589.78    4376      
589.79    4443      
589.79    4458      
589.79    4382      
589.80    4402      
589.81    4401      
589.81    4405      
589.82    4404      
589.82    4375      
589.83    4316      
589.83    4227      
589.84    4100      
589.84    3905      
589.84    3147      
589.85    2892      
589.86    2785      
589.86    2685      
589.87    2550      
589.87    2413      
589.88    2315      
589.88    2364      
589.89    2187      
589.89    2067      
589.89    2030      
589.90    1905      
589.91    1846      
589.91    1689      
589.91    1612      
589.92    1505      
589.93    1464      
589.93    1484      
589.94    1414      
589.94    1349      
589.95    1240      
589.95    1221      
589.96    1198      
589.96    1143      
589.96    1148      
589.97    1041      
589.98    999       
589.98    1084      
589.99    1090      
589.99    966       
590.00    996       
590.00    947       
590.01    893       
590.01    906       
590.01    922       
590.02    898       
590.03    892       
590.03    874       
590.04    840       
590.04    849       
590.05    849       
590.05    857       
590.06    857       
590.06    823       
590.07    820       
590.07    906       
590.08    865       
590.08    860       
590.08    854       
590.09    834       
590.10    925       
590.10    783       
590.11    828       
590.11    796       
590.12    866       
590.12    878       
590.13    794       
590.13    834       
590.13    820       
590.14    800       
590.15    853       
590.15    771       
590.16    873       
590.16    855       
590.17    819       
590.17    810       
590.18    804       
590.18    822       
590.19    799       
590.19    867       
590.20    803       
590.20    821       
590.20    841       
590.21    839       
590.22    827       
590.22    823       
590.23    818       
590.23    901       
590.24    778       
590.24    843       
590.25    871       
590.25    833       
590.25    880       
590.26    805       
590.27    812       
590.27    777       
590.28    770       
590.28    928       
590.29    847       
590.29    856       
590.30    826       
590.30    815       
590.31    832       
590.31    807       
590.32    813       
590.32    824       
590.32    832       
590.33    858       
590.34    845       
590.34    881       
590.35    923       
590.35    898       
590.36    810       
590.36    813       
590.37    842       
590.37    824       
590.37    809       
590.38    834       
590.39    845       
590.39    821       
590.40    785       
590.40    811       
590.41    791       
590.41    854       
590.42    785       
590.42    805       
590.42    810       
590.43    805       
590.44    880       
590.44    813       
590.44    848       
590.45    837       
590.46    835       
590.46    820       
590.47    877       
590.47    889       
590.48    797       
590.48    845       
590.49    846       
590.49    845       
590.49    809       
590.50    895       
590.51    787       
590.51    902       
590.52    809       
590.52    975       
590.53    851       
590.53    836       
590.54    801       
590.54    795       
590.54    804       
590.55    848       
590.56    844       
590.56    764       
590.56    837       
590.57    866       
590.58    781       
590.58    867       
590.59    906       
590.59    806       
590.60    765       
590.60    812       
590.61    777       
590.61    824       
590.61    813       
590.62    792       
590.63    786       
590.63    886       
590.64    828       
590.64    901       
590.65    818       
590.65    868       
590.66    819       
590.66    834       
590.66    790       
590.67    826       
590.68    839       
590.68    856       
590.68    809       
590.69    779       
590.70    774       
590.70    804       
590.71    847       
590.71    785       
590.72    808       
590.72    789       
590.73    823       
590.73    839       
590.73    874       
590.74    846       
590.75    784       
590.75    797       
590.76    791       
590.76    790       
590.77    809       
590.77    801       
590.78    773       
590.78    812       
590.78    794       
590.79    852       
590.80    823       
590.80    818       
590.80    825       
590.81    806       
590.82    822       
590.82    855       
590.83    793       
590.83    849       
590.84    866       
590.84    825       
590.85    786       
590.85    802       
590.85    842       
590.86    765       
590.87    756       
590.87    760       
590.88    846       
590.88    818       
590.89    776       
590.89    811       
590.90    786       
590.90    797       
590.90    832       
590.91    782       
590.92    821       
590.92    762       
590.93    782       
590.93    814       
590.94    817       
590.94    805       
590.95    780       
590.95    810       
590.96    756       
590.96    789       
590.97    835       
590.97    768       
590.97    787       
590.98    835       
590.99    799       
590.99    813       
591.00    822       
591.00    791       
