t   R1  R2  R3  R4
0                        300.0001784395355        300.0001451133499        300.0000725209186        300.000035260909
5                        300.16268405662186       300.1325189132975        300.0663453996846        300.03223095290423
10                       300.3187354111181        300.26021278263875       300.13066520085795       300.0634873753376
15                       300.473084782909         300.3869435209714        300.1948201647802        300.09469301764864
20                       300.6191805150942        300.50785626044717       300.2568478252104        300.1250290485187
25                       300.76321283737803       300.6273145002088        300.3183436597676        300.15514767652854
30                       300.9072451596619        300.7467727399703        300.3798394943248        300.18526630453846
35                       301.04118239945825       300.8590169436826        300.4387280086676        300.21444483507935
40                       301.16838958426285       300.9664517900287        300.4958783095343        300.2429966339744
45                       301.2955967690675        301.07388663637477       300.5530286104009        300.27154843286934
50                       301.4228039538721        301.1813214827208        300.6101789112675        300.3001002317643
55                       301.5500111386767        301.2887563290669        300.66732921213406       300.32865203065927
60                       301.6772183234814        301.39619117541304       300.7244795130007        300.35720382955424
65                       301.79882942610743       301.4994806951846        300.7800368899841        300.3852029623931
70                       301.89805620001954       301.58618890865796       300.82922257143525       300.41099143100786
75                       301.9972829739316        301.6728971221314        300.8784082528864        300.4367798996225
80                       302.0965097478436        301.7596053356048        300.92759393433755       300.46256836823716
85                       302.1957365217557        301.8463135490783        300.9767796157886        300.4883568368518
90                       302.29496329566774       301.9330217625517        301.02596529723974       300.5141453054665
95                       302.39419006957985       302.01972997602513       301.0751509786909        300.53993377408113
100                      302.49341684349184       302.10643818949853       301.1243366601419        300.5657222426958
105                      302.5926436174039        302.193146402972         301.17352234159307       300.59151071131043
110                      302.691870391316         302.2798546164454        301.2227080230442        300.61729917992517
115                      302.79109716522805       302.3665628299188        301.2718937044953        300.6430876485398
120                      302.8903239391401        302.4532710433922        301.3210793859464        300.66887611715447
125                      302.98955071305215       302.53997925686565       301.37026506739755       300.6946645857691
130                      303.0755195587357        302.6161962108015        301.4147781515877        300.7186265638972
135                      303.1416015120765        302.67667627543096       301.45228233988655       300.7398488062956
140                      303.2076834654172        302.7371563400605        301.48978652818533       300.76107104869385
145                      303.2737654187579        302.79763640469          301.5272907164842        300.78229329109223
150                      303.33984737209863       302.8581164693195        301.5647949047829        300.8035155334905
155                      303.4059293254394        302.918596533949         301.60229909308174       300.8247377758889
160                      303.47201127878014       302.97907659857856       301.6398032813806        300.8459600182872
165                      303.5380932321209        303.039556663208         301.67730746967936       300.86718226068547
170                      303.60417518546154       303.1000367278375        301.7148116579782        300.88840450308385
175                      303.6702571388023        303.160516792467         301.75231584627704       300.9096267454821
180                      303.73633909214306       303.2209968570965        301.7898200345758        300.9308489878805
185                      303.8024210454838        303.28147692172604       301.82732422287467       300.95207123027876
190                      303.86850299882457       303.3419569863555        301.8648284111735        300.97329347267714
195                      303.9345849521653        303.40243705098504       301.9023325994723        300.9945157150754
200                      304.000666905506         303.46291711561446       301.93983678777107       301.0157379574738
205                      304.0667488588467        303.523397180244         301.9773409760699        301.03696019987206
210                      304.1328308121875        303.58387724487346       302.0148451643687        301.05818244227044
215                      304.19891276552823       303.644357309503         302.05234935266753       301.0794046846687
220                      304.264994718869         303.7048373741325        302.0898535409663        301.1006269270671
225                      304.3310766722097        303.765317438762         302.12735772926516       301.12184916946535
230                      304.39715862555045       303.8257975033915        302.164861917564         301.14307141186373
235                      304.46324057889115       303.88627756802094       302.2023661058628        301.164293654262
240                      304.5293225322319        303.9467576326505        302.2398702941616        301.1855158966604
245                      304.59540448557266       304.00723769728          302.27737448246046       301.20673813905864
250                      304.66148643891336       304.0677177619095        302.31487867075924       301.227960381457
255                      304.7275683922541        304.128197826539         302.352382859058         301.2491826238553
260                      304.77101382018526       304.1694386614889        302.3798170883974        301.26571017206066
265                      304.808800116764         304.205869689019         302.4047338279968        301.2810640467177
270                      304.8465864133428        304.242300716549         302.42965056759635       301.29641792137465
275                      304.88437270992154       304.27873174407904       302.45456730719576       301.3117717960317
280                      304.9221590065003        304.3151627716091        302.4794840467952        301.3271256706887
285                      304.9599453030791        304.3515937991391        302.5044007863947        301.3424795453457
290                      304.99773159965787       304.38802482666915       302.52931752599414       301.35783342000275
295                      305.0355178962366        304.4244558541992        302.5542342655936        301.3731872946598
300                      305.0733041928154        304.4608868817292        302.57915100519307       301.3885411693168
305                      305.11109048939414       304.4973179092592        302.60406774479253       301.4038950439738
310                      305.1488767859729        304.5337489367892        302.628984484392         301.4192489186308
315                      305.18666308255166       304.57017996431927       302.65390122399145       301.4346027932878
320                      305.2244493791304        304.6066109918493        302.678817963591         301.4499566679449
325                      305.26223567570923       304.6430420193793        302.70373470319043       301.4653105426019
330                      305.300021972288         304.6794730469094        302.7286514427899        301.48066441725894
335                      305.33780826886675       304.71590407443944       302.75356818238936       301.4960182919159
340                      305.3755945654455        304.75233510196944       302.77848492198876       301.5113721665729
345                      305.41338086202427       304.7887661294995        302.8034016615882        301.52672604122995
350                      305.451167158603         304.82519715702955       302.8283184011877        301.542079915887
355                      305.4889534551818        304.86162818455955       302.85323514078715       301.55743379054405
360                      305.52673975176054       304.8980592120896        302.8781518803866        301.572787665201
365                      305.56452604833936       304.93449023961966       302.90306861998613       301.58814153985804
370                      305.6023123449181        304.97092126714966       302.9279853595856        301.60349541451507
375                      305.6400986414969        305.0073522946797        302.95290209918505       301.6188492891721
380                      305.67788493807564       305.0437833222098        302.9778188387845        301.63420316382906
385                      305.7156712346544        305.0802143497398        303.002735578384         301.64955703848614
390                      305.75345753123315       305.11664537726983       303.02765231798344       301.66491091314316
395                      305.7912438278119        305.1530764047999        303.0525690575829        301.6802647878002
400                      305.82903012439067       305.1895074323299        303.0774857971823        301.69561866245715
405                      305.8668164209695        305.22593845985995       303.10240253678177       301.7109725371142
410                      305.90460271754824       305.26236948738995       303.12731927638123       301.7263264117712
415                      305.942389014127         305.29880051492          303.15223601598075       301.7416802864283
420                      305.98017531070576       305.33523154245006       303.1771527555802        301.7570341610853
425                      306.0179616072845        305.37166256998006       303.20206949517967       301.77238803574227
430                      306.0557479038633        305.4080935975101        303.22698623477913       301.7877419103993
435                      306.09353420044204       305.4445246250402        303.2519029743786        301.8030957850563
440                      306.1313204970208        305.4809556525702        303.27681971397806       301.81844965971334
445                      306.1691067935996        305.51738668010023       303.3017364535775        301.8338035343704
450                      306.20689309017837       305.5538177076303        303.326653193177         301.8491574090274
455                      306.2446793867571        305.5902487351603        303.35156993277644       301.8645112836844
460                      306.2697604102779        305.6151931354122        303.3696397226656        301.8762132110791
465                      306.2916651155342        305.6372658788446        303.3859977751272        301.8870021516582
470                      306.3135698207905        305.6593386222769        303.4023558275888        301.89779109223724
475                      306.33547452604677       305.68141136570927       303.41871388005035       301.9085800328163
480                      306.3573792313031        305.7034841091417        303.43507193251196       301.9193689733953
485                      306.37928393655943       305.725556852574         303.4514299849735        301.93015791397437
490                      306.40118864181574       305.7476295960064        303.4677880374352        301.94094685455343
495                      306.42309334707204       305.76970233943877       303.48414608989674       301.9517357951325
500                      306.44499805232834       305.7917750828711        303.50050414235835       301.96252473571155
505                      306.4669027575846        305.81384782630346       303.5168621948199        301.9733136762906
510                      306.48880746284095       305.8359205697359        303.5332202472815        301.9841026168697
515                      306.51071216809726       305.85799331316827       303.54957829974313       301.99489155744874
520                      306.53261687335356       305.8800660566006        303.5659363522047        302.0056804980278
525                      306.55452157860987       305.90213880003296       303.5822944046663        302.0164694386068
530                      306.5764262838661        305.92421154346533       303.59865245712786       302.02725837918587
535                      306.5983309891224        305.9462842868977        303.61501050958947       302.0380473197649
540                      306.6202356943788        305.9683570303301        303.6313685620511        302.048836260344
545                      306.6421403996351        305.99042977376246       303.6477266145127        302.05962520092305
550                      306.6640451048914        306.0125025171948        303.66408466697425       302.0704141415021
555                      306.6859498101477        306.03457526062715       303.68044271943586       302.0812030820812
560                      306.70785451540394       306.0566480040595        303.6968007718974        302.09199202266024
565                      306.72975922066024       306.07872074749196       303.713158824359         302.1027809632393
570                      306.75166392591655       306.1007934909243        303.7295168768206        302.1135699038183
575                      306.7735686311729        306.12286623435665       303.7458749292822        302.12435884439736
580                      306.7954733364292        306.14493897778897       303.76223298174375       302.1351477849765
585                      306.8173780416855        306.16701172122134       303.7785910342054        302.14593672555554
590                      306.83928274694176       306.1890844646538        303.79494908666703       302.1567256661346
595                      306.86118745219807       306.21115720808615       303.8113071391286        302.16751460671367
600                      306.88309215745437       306.23322995151847       303.8276651915902        302.1783035472927
605                      306.90499686271073       306.25530269495084       303.84402324405175       302.1890924878718
610                      306.92690156796704       306.2773754383832        303.86038129651337       302.19988142845085
615                      306.9488062732233        306.29944818181554       303.8767393489749        302.21067036902986
620                      306.9707109784796        306.32152092524797       303.89309740143653       302.2214593096089
625                      306.9926156837359        306.34359366868034       303.9094554538981        302.232248250188
630                      307.0145203889922        306.36566641211266       303.9258135063597        302.24303719076704
635                      307.03642509424856       306.38773915554503       303.9421715588213        302.2538261313461
640                      307.05832979950486       306.4098118989774        303.9585296112829        302.26461507192516
645                      307.0802345047611        306.43188464240984       303.9748876637445        302.2754040125042
650                      307.1021392100174        306.45395738584216       303.9912457162061        302.2861929530833
655                      307.1240439152737        306.47603012927453       304.00760376866765       302.29698189366235
660                      307.13877185199345       306.4912520026151        304.01941492146966       302.30508043664435
665                      307.151705596579         306.50476115843287       304.03008934935673       302.312506380227
670                      307.1646393411645        306.5182703142505        304.04076377724385       302.3199323238096
675                      307.17757308575005       306.5317794700682        304.051438205131         302.3273582673923
