idx,1,2,3,4,5
a1,110.0,204.1,241.2,169.3,81.5
a2,299.0,394.5,430.7,358.2,269.5
b1,128.5,276.2,56.1,157.8,31.5
b2,318.0,466.1,245.5,348.7,219.7
