uTc,udT
-0.003,-0.010
0.005,0.037
0.008,0.046
0.013,0.056
0.019,0.062
0.027,0.066
0.035,0.067
0.044,0.068
0.052,0.069
0.062,0.070
0.071,0.070
0.080,0.071
0.089,0.071
0.098,0.071
0.108,0.072
0.116,0.071
0.125,0.072
0.135,0.072
0.143,0.072
0.152,0.072
0.161,0.072
0.170,0.072
0.179,0.072
0.187,0.072
0.196,0.072
0.204,0.072
0.213,0.072
0.221,0.072
0.230,0.072
0.238,0.072
0.247,0.072
